Module	Section	Sample Name	Source
FastQC	all_sections	PID-2861-24_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-24_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-25_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-25_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-25_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-25_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-26_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-26_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-26_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-26_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-27_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-27_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-27_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-27_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-28_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-28_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-28_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-28_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-29_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-29_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-29_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-29_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-30_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-30_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-30_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-30_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-31_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-31_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-31_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-31_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-32_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-32_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-32_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-32_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-33_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-33_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-33_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-33_R2.trimmed_fastqc.zip
