Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PID-2861-15_R1	(1, 39.2404044249595)	(2, 38.65612576117195)	(3, 39.01396927750381)	(4, 38.81010705483214)	(5, 39.12397064568003)	(6, 39.16226371695805)	(7, 39.1615102286044)	(8, 39.24737617509483)	(9, 39.1901983062375)	(10, 39.19700890465511)	(15, 39.39750788522955)	(20, 39.462485178002765)	(25, 39.45544041656257)	(30, 39.41580733307527)	(35, 39.425842357961294)	(40, 39.44531805857646)	(45, 39.46708009236545)	(50, 39.48387904035046)	(55, 39.46087639678319)	(60, 39.448140285828586)	(65, 39.45897217841397)	(70, 39.433554490613844)	(75, 39.4206530685081)	(80, 39.3624432629563)	(85, 39.33418418627714)	(90, 39.36479060437333)	(95, 39.407882363036904)	(100, 39.39380772324858)	(105, 39.371750793731465)	(110, 39.3097177103043)	(115, 39.29315885426186)	(120, 39.225851293086684)	(125, 39.02844217111129)	(130, 38.973489424377036)	(135, 39.192742625264884)	(140, 39.242948950576135)	(145, 39.30511746005235)	(150, 39.10195427169046)
PID-2861-15_R2	(1, 38.8335207139897)	(2, 38.223345845205735)	(3, 38.62264708390093)	(4, 38.308482097711575)	(5, 38.6047854441913)	(6, 38.89114274440287)	(7, 38.762454865056185)	(8, 39.05001774663359)	(9, 38.81917270944498)	(10, 38.854329877339)	(15, 38.95748605535242)	(20, 39.01008649304605)	(25, 39.05102256909331)	(30, 39.041964877696806)	(35, 39.015990130606795)	(40, 38.999182329312)	(45, 39.01888101741893)	(50, 39.05879461785139)	(55, 39.01869780852127)	(60, 38.94764021854138)	(65, 38.93894537106324)	(70, 38.86651713167675)	(75, 38.79924242165568)	(80, 38.78558621748186)	(85, 38.81039063869872)	(90, 38.777151621609974)	(95, 38.78971800481848)	(100, 38.749280959849806)	(105, 38.70420628007106)	(110, 38.64989709445622)	(115, 38.555665084462234)	(120, 38.53851009585996)	(125, 38.55946028161088)	(130, 38.46954945656114)	(135, 38.37321144748663)	(140, 38.116053711342126)	(145, 38.29663097071625)	(150, 37.98249259377103)
PID-2861-16_R1	(1, 38.76738446011913)	(2, 37.7678671332507)	(3, 38.30451189679571)	(4, 37.891815399466864)	(5, 38.48071501442534)	(6, 38.59694599545848)	(7, 38.576580480259764)	(8, 38.81248148838842)	(9, 38.68752399653353)	(10, 38.72020206452463)	(15, 39.052958249341664)	(20, 39.17236571466183)	(25, 39.18901111145107)	(30, 39.160448337886145)	(35, 39.19063911801508)	(40, 39.20144256144323)	(45, 39.240808541862705)	(50, 39.270084492237835)	(55, 39.25070492561234)	(60, 39.22901034606893)	(65, 39.24893560034531)	(70, 39.21419113000062)	(75, 39.194036214788845)	(80, 39.1309552258657)	(85, 39.088432677341345)	(90, 39.134393003898545)	(95, 39.19491715930181)	(100, 39.17529479750742)	(105, 39.15613583638644)	(110, 39.07640909404923)	(115, 39.06574245959947)	(120, 38.96226266920622)	(125, 38.66457410165167)	(130, 38.56004410185293)	(135, 38.897118669041106)	(140, 38.98346029456558)	(145, 39.06569977917442)	(150, 38.840159481541434)
PID-2861-16_R2	(1, 38.873951008677146)	(2, 38.29776544279775)	(3, 38.73006505117432)	(4, 38.38069746267511)	(5, 38.80054629822617)	(6, 38.86382035783631)	(7, 38.90423326276067)	(8, 39.12859399510745)	(9, 38.95766188747134)	(10, 38.990446362948255)	(15, 39.0739215752263)	(20, 39.12422099968735)	(25, 39.174395987148486)	(30, 39.17665651379487)	(35, 39.15429574794432)	(40, 39.14721611062628)	(45, 39.164151044637336)	(50, 39.19326459624365)	(55, 39.16159321715146)	(60, 39.09229814222335)	(65, 39.08997409726982)	(70, 39.02045155381904)	(75, 38.95547881088926)	(80, 38.94175646353742)	(85, 38.97103263315579)	(90, 38.929142575776076)	(95, 38.94600455140376)	(100, 38.91031374587781)	(105, 38.86683317663807)	(110, 38.81505699321303)	(115, 38.724758848373845)	(120, 38.6992994481444)	(125, 38.71984493532499)	(130, 38.63513090304894)	(135, 38.54209797848232)	(140, 38.28568422366152)	(145, 38.45523692798442)	(150, 38.16114712263107)
PID-2861-17_R1	(1, 38.6772852126295)	(2, 37.68897377121542)	(3, 38.27229162614968)	(4, 37.982098958321956)	(5, 38.48946849726961)	(6, 38.56483118347475)	(7, 38.557453996376964)	(8, 38.79281598332266)	(9, 38.587342967088915)	(10, 38.6892782129559)	(15, 39.04437126468178)	(20, 39.15807042673633)	(25, 39.168341277524505)	(30, 39.14313987088643)	(35, 39.17465473302259)	(40, 39.188065751048136)	(45, 39.230716928881215)	(50, 39.25377306091134)	(55, 39.23098210429011)	(60, 39.21454622046285)	(65, 39.23775877563439)	(70, 39.20655554076239)	(75, 39.181704621291416)	(80, 39.11730284867667)	(85, 39.07608152695183)	(90, 39.12328892110436)	(95, 39.18075202154368)	(100, 39.16384718950826)	(105, 39.14295171428146)	(110, 39.06093117934775)	(115, 39.05086792686046)	(120, 38.94860980085881)	(125, 38.64094267569767)	(130, 38.540508595104484)	(135, 38.88295783671117)	(140, 38.96723782660857)	(145, 39.05063102875566)	(150, 38.8296533954492)
PID-2861-17_R2	(1, 38.917563867516556)	(2, 38.34344564459702)	(3, 38.779058053829864)	(4, 38.5567416258219)	(5, 38.837380661543136)	(6, 39.02304715412333)	(7, 38.954427951147984)	(8, 39.20648038686529)	(9, 38.99788692537809)	(10, 39.04713226160628)	(15, 39.1443308385687)	(20, 39.20230582060183)	(25, 39.24481469239003)	(30, 39.23878244933622)	(35, 39.212095082186416)	(40, 39.19532321716202)	(45, 39.21416209910792)	(50, 39.24277737907334)	(55, 39.20957264061032)	(60, 39.14741050567002)	(65, 39.14040943428943)	(70, 39.07555270863217)	(75, 39.01317103645365)	(80, 38.99492286601203)	(85, 39.01511612899547)	(90, 38.97891525338106)	(95, 38.9913436110899)	(100, 38.95652518734894)	(105, 38.92259944367941)	(110, 38.865616239702334)	(115, 38.77936584281268)	(120, 38.75391675846278)	(125, 38.7715188259787)	(130, 38.68525238128815)	(135, 38.607249831771064)	(140, 38.358393865697565)	(145, 38.52420872338181)	(150, 38.23444429604624)
PID-2861-18_R1	(1, 39.2260752343831)	(2, 38.56420297546068)	(3, 38.973964210701816)	(4, 38.77660459148922)	(5, 39.123318754917925)	(6, 39.15391512800337)	(7, 39.11699940832373)	(8, 39.275283994445154)	(9, 39.13614450727192)	(10, 39.19244982106425)	(15, 39.37700184463368)	(20, 39.45121323897706)	(25, 39.44142617749896)	(30, 39.39934388313601)	(35, 39.4198858619657)	(40, 39.43814736749452)	(45, 39.45888415020544)	(50, 39.47424675129354)	(55, 39.450977929937245)	(60, 39.437536467818646)	(65, 39.45243078678038)	(70, 39.42390660221835)	(75, 39.40804102781401)	(80, 39.35224137565994)	(85, 39.32560020292349)	(90, 39.35814659188426)	(95, 39.401141268317346)	(100, 39.38772393864498)	(105, 39.3686108594508)	(110, 39.30725756399989)	(115, 39.291420694326625)	(120, 39.21835356247111)	(125, 39.019788476214785)	(130, 38.96367718117396)	(135, 39.18594645809843)	(140, 39.237328129557014)	(145, 39.30695580026641)	(150, 39.11247783097987)
PID-2861-18_R2	(1, 38.644085372176576)	(2, 37.95018533090156)	(3, 38.42819062955576)	(4, 38.10385850194074)	(5, 38.60162700809031)	(6, 38.776820116180005)	(7, 38.689992131315535)	(8, 39.000355819064985)	(9, 38.746333538691765)	(10, 38.80870913866205)	(15, 38.93456076699869)	(20, 39.005781189877396)	(25, 39.05803639806972)	(30, 39.047855127171474)	(35, 39.02289456427272)	(40, 39.006252122032485)	(45, 39.026388549171955)	(50, 39.06163252798735)	(55, 39.02090357502247)	(60, 38.94473747525525)	(65, 38.94655389947383)	(70, 38.86611500263718)	(75, 38.8051788590771)	(80, 38.796299392167995)	(85, 38.813326524062454)	(90, 38.77943564442685)	(95, 38.79455376744446)	(100, 38.745933420944276)	(105, 38.706774460062455)	(110, 38.65563936805176)	(115, 38.569998838583956)	(120, 38.54896901578263)	(125, 38.57457881433266)	(130, 38.485901120599635)	(135, 38.38732590442241)	(140, 38.12882075201541)	(145, 38.308604178816026)	(150, 38.01345111344154)
PID-2861-19_R1	(1, 39.22892534530609)	(2, 38.57775682307684)	(3, 39.01128339208984)	(4, 38.793244966406995)	(5, 39.12268501155485)	(6, 39.056624126242546)	(7, 39.08433433701588)	(8, 39.26519721826345)	(9, 39.129939386146326)	(10, 39.19012676403459)	(15, 39.386733635186516)	(20, 39.452163493098894)	(25, 39.44213886564487)	(30, 39.40716447730367)	(35, 39.421070648454)	(40, 39.43668370354713)	(45, 39.458467491522775)	(50, 39.473583878333145)	(55, 39.45053649157039)	(60, 39.438502867166285)	(65, 39.44966693488543)	(70, 39.42329790172808)	(75, 39.4040375702366)	(80, 39.35059122119825)	(85, 39.32355046427004)	(90, 39.35684110289428)	(95, 39.40110857641517)	(100, 39.384457331248605)	(105, 39.369011479471396)	(110, 39.30648079378529)	(115, 39.29233528376809)	(120, 39.221024285423425)	(125, 39.01825519183869)	(130, 38.96487565332298)	(135, 39.184908400326655)	(140, 39.243143548887375)	(145, 39.30457084633011)	(150, 39.11770722608195)
PID-2861-19_R2	(1, 38.62936610839057)	(2, 37.97098250163411)	(3, 38.49808728823548)	(4, 38.01403369658784)	(5, 38.542870817840544)	(6, 38.65052202208101)	(7, 38.671638645707205)	(8, 38.9658462186885)	(9, 38.73818529908669)	(10, 38.788675174751496)	(15, 38.90335817486717)	(20, 38.96789278497555)	(25, 39.017748728057384)	(30, 39.003605218626134)	(35, 38.98123461069211)	(40, 38.96315868063309)	(45, 38.984433525629925)	(50, 39.022486284404486)	(55, 38.9856414159878)	(60, 38.91113214312911)	(65, 38.91236094536934)	(70, 38.83856843271244)	(75, 38.7697998850683)	(80, 38.759620558045555)	(85, 38.78791014755034)	(90, 38.754102563131894)	(95, 38.770888476715584)	(100, 38.72648420444084)	(105, 38.68543102579837)	(110, 38.63176066834052)	(115, 38.53793500065912)	(120, 38.51978222262808)	(125, 38.54097277700564)	(130, 38.44866529934769)	(135, 38.35599632613017)	(140, 38.09328776157168)	(145, 38.272316329014814)	(150, 37.988028502201075)
