Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PID-2861-34_R1	(1.0, 57.281989257192464)	(2.0, 22.852501722119936)	(3.0, 9.890452369603896)	(4.0, 4.681416200103796)	(5.0, 2.244231546799272)	(6.0, 1.1725925171681675)	(7.0, 0.6639555882805739)	(8.0, 0.4136298534929594)	(9.0, 0.23829964373622636)	('>10', 0.5609313015026752)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-34_R2	(1.0, 58.85883450280621)	(2.0, 22.14067396644824)	(3.0, 9.203554561076075)	(4.0, 4.439128172920979)	(5.0, 2.216967740076948)	(6.0, 1.1114444699663641)	(7.0, 0.5529520896994617)	(8.0, 0.36118978108314465)	(9.0, 0.23608500628142762)	('>10', 0.5555052423628655)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.3236644672782638)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-35_R1	(1.0, 57.527828579352935)	(2.0, 22.75731040195887)	(3.0, 9.586270341606372)	(4.0, 4.3018197988858615)	(5.0, 2.107693847639163)	(6.0, 1.1166732176892507)	(7.0, 0.7430690702571793)	(8.0, 0.43165085663341013)	(9.0, 0.2871237211332602)	('>10', 1.1266044775332937)	('>50', 0.013955687310414269)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-35_R2	(1.0, 59.35898617752312)	(2.0, 21.702680003041923)	(3.0, 9.194450967323158)	(4.0, 4.06711075421484)	(5.0, 1.9634082838163318)	(6.0, 1.0578798206723405)	(7.0, 0.5958730461280591)	(8.0, 0.3889458915206438)	(9.0, 0.27527098121051136)	('>10', 1.0330032993634932)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.3623907751856182)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-36_R1	(1.0, 46.450193175644195)	(2.0, 19.85692250092383)	(3.0, 9.587615874727298)	(4.0, 5.1354397144022075)	(5.0, 3.0276976314076873)	(6.0, 2.2027048617567093)	(7.0, 1.5249004037500247)	(8.0, 1.193025875983763)	(9.0, 0.9619148879551502)	('>10', 8.712531597208969)	('>50', 1.1878863681580856)	('>100', 0.15916710808205775)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-36_R2	(1.0, 48.237835541016686)	(2.0, 19.090866679871613)	(3.0, 9.246105494773577)	(4.0, 4.795720068710929)	(5.0, 2.933634940426214)	(6.0, 1.999233968155939)	(7.0, 1.4632317066494906)	(8.0, 1.1504019386430844)	(9.0, 0.935131781258414)	('>10', 8.439563169295173)	('>50', 1.1510933600753832)	('>100', 0.11017885023140651)	('>500', 0.0)	('>1k', 0.447002500892058)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-37_R1	(1.0, 76.0132907331659)	(2.0, 15.210773363152036)	(3.0, 4.538916190255648)	(4.0, 1.764342079157097)	(5.0, 0.7381769432640107)	(6.0, 0.4231961322724208)	(7.0, 0.27950336405265125)	(8.0, 0.20063971596058203)	(9.0, 0.14169282582649292)	('>10', 0.6894686528931572)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-37_R2	(1.0, 68.55741303617937)	(2.0, 19.233436729109094)	(3.0, 6.09258091368473)	(4.0, 2.4040056580157056)	(5.0, 1.0684096456559629)	(6.0, 0.6274748208850205)	(7.0, 0.36006123240517324)	(8.0, 0.2539541699107961)	(9.0, 0.19544674809628937)	('>10', 0.9815524969679322)	('>50', 0.012101884336052079)	('>100', 0.0)	('>500', 0.21356266475386024)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-38_R1	(1.0, 49.84212223051296)	(2.0, 22.42420947080273)	(3.0, 10.863487778976786)	(4.0, 5.581146713560684)	(5.0, 3.124384977559642)	(6.0, 1.8515472088686622)	(7.0, 1.1356720956135724)	(8.0, 0.8577234019354408)	(9.0, 0.5188367426892713)	('>10', 3.5356433030795684)	('>50', 0.24182072955708567)	('>100', 0.02340534684364084)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-38_R2	(1.0, 51.75767382130435)	(2.0, 21.57280530706059)	(3.0, 10.442757376827474)	(4.0, 5.355928379610404)	(5.0, 2.893363221402069)	(6.0, 1.7242370033199828)	(7.0, 1.0803884568133553)	(8.0, 0.7200383626852971)	(9.0, 0.4980813379662933)	('>10', 3.372973216097909)	('>50', 0.22052660759721163)	('>100', 0.01339021905074148)	('>500', 0.0)	('>1k', 0.34783669026426145)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-39_R1	(1.0, 58.72220507723887)	(2.0, 22.66196374299144)	(3.0, 9.640063119645422)	(4.0, 4.282569805657609)	(5.0, 2.0377499964931003)	(6.0, 1.0396496863090796)	(7.0, 0.5548355450151279)	(8.0, 0.32335989090049044)	(9.0, 0.18241133829049397)	('>10', 0.5551917974583833)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-39_R2	(1.0, 60.60966113297096)	(2.0, 21.625039324821323)	(3.0, 8.984854955029515)	(4.0, 3.9757379958946624)	(5.0, 1.847830622593261)	(6.0, 0.9575863286748612)	(7.0, 0.5193838902907257)	(8.0, 0.3051877358497126)	(9.0, 0.17861574815719694)	('>10', 0.4702175257029981)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.5258847400147667)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-3_R1	(1.0, 62.574983348134396)	(2.0, 20.866146803135074)	(3.0, 8.093621346288787)	(4.0, 3.425985064461659)	(5.0, 1.6149353706712766)	(6.0, 0.7947619509702141)	(7.0, 0.46466712450237374)	(8.0, 0.26305267914734287)	(9.0, 0.11970472437991633)	('>10', 1.3268665370001942)	('>50', 0.25609993393391717)	('>100', 0.1991751173748353)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-3_R2	(1.0, 59.82289670299823)	(2.0, 21.90225468087927)	(3.0, 8.692543806295424)	(4.0, 3.874191798062629)	(5.0, 1.6675083977938752)	(6.0, 0.9096744673109993)	(7.0, 0.4802631488489411)	(8.0, 0.30083631334078237)	(9.0, 0.18020980303132084)	('>10', 1.3406378717336895)	('>50', 0.2936214772480218)	('>100', 0.2438551251720859)	('>500', 0.0)	('>1k', 0.29150640728479454)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-40_R1	(1.0, 57.439625987198326)	(2.0, 23.087624190188127)	(3.0, 9.79076577644243)	(4.0, 4.384391699339774)	(5.0, 2.1115160551848495)	(6.0, 1.2120376364426737)	(7.0, 0.6462511574147816)	(8.0, 0.3711541192311078)	(9.0, 0.22561234739207603)	('>10', 0.7090784334761656)	('>50', 0.021942597689688193)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-40_R2	(1.0, 59.1837817956941)	(2.0, 21.99385266813481)	(3.0, 9.23715528561821)	(4.0, 4.151987150849501)	(5.0, 2.0180580233002416)	(6.0, 1.0763738120656752)	(7.0, 0.563410125874819)	(8.0, 0.2861943786476084)	(9.0, 0.23221369368112407)	('>10', 0.7185496341082384)	('>50', 0.014643805266146575)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.5237796267595307)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-4_R1	(1.0, 59.74813570566558)	(2.0, 22.388956189557423)	(3.0, 9.18007921584757)	(4.0, 3.687417054650281)	(5.0, 1.6877285829601785)	(6.0, 0.8193259493400371)	(7.0, 0.4280921555150861)	(8.0, 0.27975705984526045)	(9.0, 0.16324909350250205)	('>10', 1.251441558846062)	('>50', 0.22397232978984682)	('>100', 0.14184510448021126)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-4_R2	(1.0, 61.42390148175871)	(2.0, 21.493810355262422)	(3.0, 8.469744634460854)	(4.0, 3.503805274360203)	(5.0, 1.5640160724828256)	(6.0, 0.7562265126927852)	(7.0, 0.4062271765839299)	(8.0, 0.2715920084825678)	(9.0, 0.1212464537953634)	('>10', 1.237357991373969)	('>50', 0.19454912992062076)	('>100', 0.13832732071707501)	('>500', 0.0)	('>1k', 0.41919558810866425)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-5_R1	(1.0, 61.57773586604461)	(2.0, 21.750055364070878)	(3.0, 8.182345801192353)	(4.0, 3.3457007450206473)	(5.0, 1.5620862338300192)	(6.0, 0.7859997118047339)	(7.0, 0.47804428936178434)	(8.0, 0.31901226913627295)	(9.0, 0.24614380869013683)	('>10', 1.5068524293566894)	('>50', 0.15944288753181568)	('>100', 0.0865805939600525)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-5_R2	(1.0, 62.96702079669132)	(2.0, 20.74584987398563)	(3.0, 7.772393173772901)	(4.0, 3.1400514439820566)	(5.0, 1.5016111508899783)	(6.0, 0.7649965503129335)	(7.0, 0.46518970890464467)	(8.0, 0.2984811847332391)	(9.0, 0.20726125101928794)	('>10', 1.4420837354778495)	('>50', 0.183933769462764)	('>100', 0.05277315988784691)	('>500', 0.0)	('>1k', 0.4583542008795679)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-6_R1	(1.0, 58.60539511244155)	(2.0, 20.93955560998846)	(3.0, 8.28733655221743)	(4.0, 3.6963013474028092)	(5.0, 1.9125754840127764)	(6.0, 1.214511167654442)	(7.0, 0.6973032917885519)	(8.0, 0.5782333463086764)	(9.0, 0.4524365400581541)	('>10', 3.1914414371051003)	('>50', 0.2820903818853195)	('>100', 0.14281972913673227)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-6_R2	(1.0, 60.12060465656748)	(2.0, 20.173189311237607)	(3.0, 7.902610532905473)	(4.0, 3.4687375093103467)	(5.0, 1.7296482129652582)	(6.0, 1.0251579939429885)	(7.0, 0.7593323593588803)	(8.0, 0.4954353984928726)	(9.0, 0.4355026659071957)	('>10', 3.0890908601972757)	('>50', 0.27944620634957984)	('>100', 0.11002966664611878)	('>500', 0.0)	('>1k', 0.4112146261189384)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-7_R1	(1.0, 57.26321253808585)	(2.0, 22.497979738176976)	(3.0, 9.460522547225079)	(4.0, 4.176103275533333)	(5.0, 2.0175193913843703)	(6.0, 1.1354168568377472)	(7.0, 0.603879029225697)	(8.0, 0.39014368171572195)	(9.0, 0.25084627892727285)	('>10', 1.766062965823408)	('>50', 0.2614421788755391)	('>100', 0.17687151818896799)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-7_R2	(1.0, 58.623906649990744)	(2.0, 21.691264213827775)	(3.0, 9.046881612123805)	(4.0, 4.049040341032988)	(5.0, 1.9199906216100404)	(6.0, 0.9733694609036346)	(7.0, 0.6141053252289236)	(8.0, 0.35903692264766157)	(9.0, 0.23647703720666913)	('>10', 1.6785514940671424)	('>50', 0.2536518738175761)	('>100', 0.13364576812982096)	('>500', 0.0)	('>1k', 0.4200786794132022)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-8_R1	(1.0, 58.06822926833769)	(2.0, 22.1781914403829)	(3.0, 9.24483416810669)	(4.0, 3.9528961145110975)	(5.0, 2.0407609500379733)	(6.0, 1.0635340258635873)	(7.0, 0.593249037125876)	(8.0, 0.3631182587596374)	(9.0, 0.27096447209483904)	('>10', 1.831244111172286)	('>50', 0.23199915092488266)	('>100', 0.16097900268257165)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-8_R2	(1.0, 60.99755325376302)	(2.0, 20.47510555957018)	(3.0, 8.459284606236572)	(4.0, 3.592568596627673)	(5.0, 1.7488882343269345)	(6.0, 0.9385026338652198)	(7.0, 0.5215436960380374)	(8.0, 0.31371352541135183)	(9.0, 0.23560987527001245)	('>10', 1.7089282448327712)	('>50', 0.23831166085284522)	('>100', 0.14640421151737587)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.6235859016880448)	('>10k+', 0.0)
PID-2861-9_R1	(1.0, 55.27791524846464)	(2.0, 23.575769538347227)	(3.0, 10.800075304798185)	(4.0, 5.00000933199847)	(5.0, 2.3686503453589904)	(6.0, 1.2269432761697388)	(7.0, 0.6641032084634126)	(8.0, 0.396093087034949)	(9.0, 0.24331916212543592)	('>10', 0.4471214972389762)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-9_R2	(1.0, 56.9556873402469)	(2.0, 22.88563910267026)	(3.0, 10.134864761529768)	(4.0, 4.6039715032514295)	(5.0, 2.255253634327358)	(6.0, 1.1335834933696574)	(7.0, 0.6755255158263491)	(8.0, 0.3629323030384572)	(9.0, 0.21185150968884517)	('>10', 0.43528686382610987)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.34540397222488595)	('>5k', 0.0)	('>10k+', 0.0)
