Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
PID-2861-1_R2 - polyg	(1, 0.4158397413721599)	(2, 0.41634550607828025)	(3, 0.4182674119615376)	(4, 0.4197847060798987)	(5, 0.4236285178464134)	(6, 0.42727002373048)	(7, 0.4312149884382188)	(8, 0.43435072961616505)	(9, 0.43789108255900755)	(10, 0.44171466373727747)	(15, 0.44602377903342294)	(20, 0.44790522374019065)	(25, 0.4496450543292448)	(30, 0.4503935860943029)	(35, 0.450697044917975)	(40, 0.4509802731534024)	(45, 0.4513444237418092)	(50, 0.45162765197723653)	(55, 0.4521334166833569)	(60, 0.4525177978600084)	(65, 0.45269987315421173)	(70, 0.4527605649189462)	(75, 0.4529224096249047)	(80, 0.4531651766838424)	(85, 0.4534686355075147)	(90, 0.4537316331546973)	(95, 0.453873247272411)	(100, 0.45399463080187985)	(105, 0.4540755531548591)	(110, 0.4542373978608176)	(115, 0.45437901197853126)	(120, 0.4544599343315106)	(125, 0.4548240849199172)	(130, 0.45496569903763096)	(135, 0.45498592962587575)	(140, 0.4550870825670998)
PID-2861-20_R2 - polyg	(1, 0.6803526855875012)	(2, 0.6809304798003143)	(3, 0.6822786662968784)	(4, 0.6837231518289113)	(5, 0.6886344026378232)	(6, 0.6931604573048596)	(7, 0.6968198206526763)	(8, 0.7002865859295553)	(9, 0.7028866598872145)	(10, 0.7085683029798774)	(15, 0.7151166373917598)	(20, 0.717562632892669)	(25, 0.718814520353764)	(30, 0.7197197312871714)	(35, 0.7204708637638285)	(40, 0.7212027364333917)	(45, 0.721530153153986)	(50, 0.7217227512249236)	(55, 0.7220694277526116)	(60, 0.7226087023512372)	(65, 0.7227820406150812)	(70, 0.7231479769498629)	(75, 0.7232635357924255)	(80, 0.7237835505839573)	(85, 0.7241109673045515)	(90, 0.7243806046038642)	(95, 0.7244576438322394)	(100, 0.7245539428677082)	(105, 0.7246695017102709)	(110, 0.724996918430865)	(115, 0.7251702566947089)	(120, 0.7254398939940219)	(125, 0.7256517518720532)	(130, 0.7258636097500848)	(135, 0.7260754676281163)	(140, 0.72609472743521)
PID-2861-21_R2 - polyg	(1, 0.6665254064020639)	(2, 0.6672688814789206)	(3, 0.6684770284788129)	(4, 0.6703357161709547)	(5, 0.6740530915552383)	(6, 0.6778634013241291)	(7, 0.679722089016271)	(8, 0.6835323987851617)	(9, 0.6866921678618029)	(10, 0.6946659380610913)	(15, 0.7015244956450948)	(20, 0.7047400253525001)	(25, 0.7059295854754708)	(30, 0.7069704505830703)	(35, 0.707936968182984)	(40, 0.7087362038906051)	(45, 0.7093309839520906)	(50, 0.7096841346135974)	(55, 0.7100744590289472)	(60, 0.7105763047058254)	(65, 0.7110781503827038)	(70, 0.7113011929057609)	(75, 0.7116357566903463)	(80, 0.7117286910749534)	(85, 0.7119145598441676)	(90, 0.7123792317672031)	(95, 0.7125836874133388)	(100, 0.7127323824287101)	(105, 0.7129182511979242)	(110, 0.7131041199671385)	(115, 0.713178467474824)	(120, 0.7132528149825098)	(125, 0.7133643362440383)	(130, 0.7133643362440383)	(135, 0.7133643362440383)	(140, 0.7133643362440383)
PID-2861-22_R2 - polyg	(1, 0.5885573637240786)	(2, 0.5891535724328992)	(3, 0.590942198559361)	(4, 0.593923242103464)	(5, 0.5993884886009864)	(6, 0.6022701640269527)	(7, 0.6065429931068337)	(8, 0.6107164540685779)	(9, 0.6133000251401339)	(10, 0.6190435023684391)	(15, 0.6241907708879237)	(20, 0.6266153529704608)	(25, 0.6278475176353567)	(30, 0.6284238527205501)	(35, 0.6288411988167245)	(40, 0.6292386712892715)	(45, 0.6296162701381912)	(50, 0.6299342481162289)	(55, 0.6300733634816205)	(60, 0.6302720997178939)	(65, 0.6303714678360307)	(70, 0.6304907095777949)	(75, 0.6307490666849505)	(80, 0.631067044662988)	(85, 0.6311465391574975)	(90, 0.631285654522889)	(95, 0.631345275393771)	(100, 0.6314048962646531)	(105, 0.6316036325009267)	(110, 0.631683126995436)	(115, 0.6318023687372001)	(120, 0.6319812313498463)	(125, 0.6320408522207284)	(130, 0.6322395884570019)	(135, 0.6323787038223934)	(140, 0.6323787038223934)
PID-2861-23_R2 - polyg	(1, 0.6505117366926451)	(2, 0.6512255388909179)	(3, 0.6533669454857365)	(4, 0.6556273191136004)	(5, 0.659553231204101)	(6, 0.6651446817572383)	(7, 0.6684757586825115)	(8, 0.6715689015416938)	(9, 0.6740672092356487)	(10, 0.6807769498994134)	(15, 0.6850597630890504)	(20, 0.6869156488045598)	(25, 0.6884384268275417)	(30, 0.6892236092456419)	(35, 0.6895567169381692)	(40, 0.689984998257133)	(45, 0.6903181059496604)	(50, 0.6903656927628785)	(55, 0.6903656927628785)	(60, 0.690437072982706)	(65, 0.6908415608950602)	(70, 0.691246048807415)	(75, 0.6915315696867241)	(80, 0.6916743301263787)	(85, 0.6916981235329878)	(90, 0.6920788180387334)	(95, 0.692483305951088)	(100, 0.6929829674898789)	(105, 0.6931495213361425)	(110, 0.6934826290286699)	(115, 0.6936967696881517)	(120, 0.6938157367211972)	(125, 0.6940536707872881)	(130, 0.6940774641938972)	(135, 0.6941726378203336)	(140, 0.6944105718864245)
PID-2861-24_R2 - polyg	(1, 0.6057629507496458)	(2, 0.6061756660967755)	(3, 0.6073106333013822)	(4, 0.6090646735266836)	(5, 0.6129854693244159)	(6, 0.6164935497750186)	(7, 0.6200016302256212)	(8, 0.6222715646348346)	(9, 0.6236128895130062)	(10, 0.6291845466992574)	(15, 0.6352720980694209)	(20, 0.6372531317356435)	(25, 0.6382642843361113)	(30, 0.6389246288915188)	(35, 0.6390897150303707)	(40, 0.6391516223324402)	(45, 0.6393373442386485)	(50, 0.6395643376795699)	(55, 0.6398738741899171)	(60, 0.6400183245614126)	(65, 0.6402040464676209)	(70, 0.6404723114432553)	(75, 0.6407405764188896)	(80, 0.640967569859811)	(85, 0.6411532917660193)	(90, 0.6412771063701582)	(95, 0.6415866428805054)	(100, 0.6419580866929222)	(105, 0.642246987435913)	(110, 0.6425565239462603)	(115, 0.6427009743177557)	(120, 0.6429898750607466)	(125, 0.6430517823628159)	(130, 0.6431755969669549)	(135, 0.6433819546405197)	(140, 0.6434232261752327)
PID-2861-25_R2 - polyg	(1, 0.5596445684269639)	(2, 0.5604555006036377)	(3, 0.5623814645232378)	(4, 0.5641046953986695)	(5, 0.5684634558482908)	(6, 0.5742413476070912)	(7, 0.5787014745787967)	(8, 0.5827561354621654)	(9, 0.5854930315584393)	(10, 0.5913317432304902)	(15, 0.5972718214246253)	(20, 0.5996640713458129)	(25, 0.6004344569136529)	(30, 0.6011845691770762)	(35, 0.6015494886565793)	(40, 0.6017927683095815)	(45, 0.602096867875834)	(50, 0.6023198742244193)	(55, 0.6027861602260067)	(60, 0.6029888932701752)	(65, 0.6030294398790089)	(70, 0.6030902597922594)	(75, 0.6033335394452616)	(80, 0.6034551792717627)	(85, 0.6036781856203479)	(90, 0.6037390055335985)	(95, 0.6037795521424322)	(100, 0.604043105099851)	(105, 0.6040633784042679)	(110, 0.6041444716219353)	(115, 0.6041444716219353)	(120, 0.6041444716219353)	(125, 0.6041444716219353)	(130, 0.6041444716219353)	(135, 0.6042052915351859)	(140, 0.6042458381440196)
PID-2861-26_R2 - polyg	(1, 0.5123824349634392)	(2, 0.5127197505888266)	(3, 0.5134787107459482)	(4, 0.5149966310601914)	(5, 0.5200563654410022)	(6, 0.524610126383732)	(7, 0.5278146248249121)	(8, 0.5300071763899301)	(9, 0.5332116748311103)	(10, 0.5402615714017067)	(15, 0.545574292501558)	(20, 0.5477837098478454)	(25, 0.5492678985995498)	(30, 0.5500774561004796)	(35, 0.5508364162576012)	(40, 0.5512917923518742)	(45, 0.5515616448521841)	(50, 0.5518146315712247)	(55, 0.5520338867277264)	(60, 0.5521856787591507)	(65, 0.5524555312594606)	(70, 0.5527759811035786)	(75, 0.5528265784473868)	(80, 0.5529615046975418)	(85, 0.553062699385158)	(90, 0.553113296728966)	(95, 0.553113296728966)	(100, 0.5531638940727741)	(105, 0.5533156861041986)	(110, 0.5535349412607002)	(115, 0.5538385253235489)	(120, 0.554024048917512)	(125, 0.5541252436051282)	(130, 0.5541252436051282)	(135, 0.5541758409489363)	(140, 0.5542095725114751)
PID-2861-27_R2 - polyg	(1, 0.4785945541125828)	(2, 0.4790916230626738)	(3, 0.480251450612886)	(4, 0.4817426574631589)	(5, 0.4849736056387502)	(6, 0.487458950389205)	(7, 0.4882045538143414)	(8, 0.49052420891476595)	(9, 0.4930923984902359)	(10, 0.4975328811110485)	(15, 0.5013768809917519)	(20, 0.5030503464570583)	(25, 0.503978208497228)	(30, 0.5048895015723949)	(35, 0.5052871567324675)	(40, 0.5055191222425099)	(45, 0.5059167774025828)	(50, 0.5061321739476222)	(55, 0.5064801222126858)	(60, 0.5068612084077556)	(65, 0.5070931739177981)	(70, 0.5070931739177981)	(75, 0.5071925877078163)	(80, 0.5072588635678283)	(85, 0.5073748463228496)	(90, 0.507606811832892)	(95, 0.5077725014829223)	(100, 0.5079547600979557)	(105, 0.508070742852977)	(110, 0.5082695704330134)	(115, 0.5083524152580285)	(120, 0.5084849669780527)	(125, 0.5085843807680709)	(130, 0.5085843807680709)	(135, 0.5086672255930861)	(140, 0.5088329152431165)
PID-2861-28_R2 - polyg	(1, 0.44894034086249035)	(2, 0.4494529468694126)	(3, 0.4502731164804882)	(4, 0.45119580729294817)	(5, 0.45334875252202156)	(6, 0.45652690976493937)	(7, 0.4589874185981661)	(8, 0.46175549103554614)	(9, 0.46349835145908175)	(10, 0.4676402079950133)	(15, 0.4715770221281761)	(20, 0.4734634122336499)	(25, 0.4743450945655562)	(30, 0.4749602217738628)	(35, 0.4754523235405082)	(40, 0.47569837442383084)	(45, 0.47590341682659965)	(50, 0.4761084592293686)	(55, 0.4762929973918607)	(60, 0.47688762035989035)	(65, 0.4770721585223824)	(70, 0.4772361924445975)	(75, 0.47750274756819716)	(80, 0.47770778997096597)	(85, 0.4777487984515198)	(90, 0.4779333366140118)	(95, 0.47817938749733446)	(100, 0.47836392565982644)	(105, 0.47836392565982644)	(110, 0.478445942620934)	(115, 0.47873300198481045)	(120, 0.47887653166674865)	(125, 0.4789585486278563)	(130, 0.47920459951117894)	(135, 0.47938913767367086)	(140, 0.47949165887505535)
