Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
PID-2861-29_R2 - polyg	(1, 0.4974160645791278)	(2, 0.4978691878445153)	(3, 0.4992285576406778)	(4, 0.5003613658041466)	(5, 0.5046660368253277)	(6, 0.5095371119282434)	(7, 0.5119160090715278)	(8, 0.5147480294801996)	(9, 0.5179198923379121)	(10, 0.5236745578083334)	(15, 0.5279792288295146)	(20, 0.5297690657277953)	(25, 0.5307432807483784)	(30, 0.5313096848301128)	(35, 0.5319440574016553)	(40, 0.5321479628710797)	(45, 0.5323971806670428)	(50, 0.5326917107895446)	(55, 0.5328503039324303)	(60, 0.5331221778916627)	(65, 0.5332807710345484)	(70, 0.5333487395243565)	(75, 0.5338471751162828)	(80, 0.5341417052387846)	(85, 0.534345610708209)	(90, 0.5346174846674414)	(95, 0.5349799832797515)	(100, 0.5351385764226372)	(105, 0.5351612325859065)	(110, 0.535433106545139)	(115, 0.5357049805043715)	(120, 0.5357276366676409)	(125, 0.5358182613207184)	(130, 0.5359315421370653)	(135, 0.5359315421370653)	(140, 0.5359315421370653)
PID-2861-2_R2 - polyg	(1, 0.5548170110334358)	(2, 0.5556557366736979)	(3, 0.5571235065441568)	(4, 0.5596396834649434)	(5, 0.5646720373065165)	(6, 0.568551143392729)	(7, 0.571801205248745)	(8, 0.574107700759466)	(9, 0.576938399795351)	(10, 0.5825788297261141)	(15, 0.5871918207475562)	(20, 0.589037017156133)	(25, 0.5896241251043165)	(30, 0.5899386472194148)	(35, 0.5902951056165262)	(40, 0.5908193091416901)	(45, 0.5910709268337688)	(50, 0.5913015763848408)	(55, 0.5916370666409458)	(60, 0.5917419073459784)	(65, 0.5920983657430898)	(70, 0.5923919197171817)	(75, 0.5924548241402013)	(80, 0.5925806329862408)	(85, 0.5928112825373129)	(90, 0.5929370913833522)	(95, 0.5932725816394571)	(100, 0.5935451674725423)	(105, 0.5937548488826077)	(110, 0.594027434715693)	(115, 0.5941113072797192)	(120, 0.5942371161257585)	(125, 0.5942790524077717)	(130, 0.594404861253811)	(135, 0.5945306700998503)	(140, 0.5946564789458896)
PID-2861-30_R2 - polyg	(1, 0.39174155339406525)	(2, 0.3923841740525201)	(3, 0.3935408912377388)	(4, 0.3946976084229575)	(5, 0.39778218758354067)	(6, 0.40099529087581487)	(7, 0.4030516769828703)	(8, 0.40549363548499867)	(9, 0.40767854572374507)	(10, 0.41197125172222326)	(15, 0.41636677702605435)	(20, 0.41821752452240435)	(25, 0.4195798803183286)	(30, 0.42078800715622366)	(35, 0.4213792181620021)	(40, 0.42163626642538404)	(45, 0.4220475436467951)	(50, 0.4222017726048243)	(55, 0.422561640173559)	(60, 0.42276727878426457)	(65, 0.4228443932632791)	(70, 0.4228443932632791)	(75, 0.4228700980896173)	(80, 0.42297291739497006)	(85, 0.42297291739497006)	(90, 0.42317855600567567)	(95, 0.423229965658352)	(100, 0.42325567048469026)	(105, 0.42358983322708665)	(110, 0.42374406218511596)	(115, 0.4239754056221596)	(120, 0.4242067490592033)	(125, 0.4244637973225854)	(130, 0.4245923214542763)	(135, 0.424695140759629)	(140, 0.42490077937033455)
PID-2861-31_R2 - polyg	(1, 0.6553993277470056)	(2, 0.6567248970316716)	(3, 0.6597547696823368)	(4, 0.6633527434550016)	(5, 0.6677081853903328)	(6, 0.6735785636509966)	(7, 0.6785021067083274)	(8, 0.6830469156843252)	(9, 0.6855086872129906)	(10, 0.6930833688396534)	(15, 0.7007337972825829)	(20, 0.7029304549543153)	(25, 0.7039909103820479)	(30, 0.7046347583203143)	(35, 0.7050892392179141)	(40, 0.705316479666714)	(45, 0.7058845807887139)	(50, 0.7065663021351134)	(55, 0.7068314159920466)	(60, 0.7070965298489797)	(65, 0.7072858968896464)	(70, 0.707588884154713)	(75, 0.7078539980116461)	(80, 0.7079676182360461)	(85, 0.7082327320929792)	(90, 0.7082327320929792)	(95, 0.7082327320929792)	(100, 0.7082706055011125)	(105, 0.708573592766179)	(110, 0.7088008332149789)	(115, 0.7089902002556455)	(120, 0.7089902002556455)	(125, 0.7092931875207121)	(130, 0.7094825545613785)	(135, 0.7097476684183118)	(140, 0.7097476684183118)
PID-2861-32_R2 - polyg	(1, 0.4079021558112975)	(2, 0.4085562644639776)	(3, 0.4096028383082657)	(4, 0.41208845118845)	(5, 0.41640556829613856)	(6, 0.41967611155953893)	(7, 0.4219000809786512)	(8, 0.4238624069366914)	(9, 0.4268713067390198)	(10, 0.4312407525389227)	(15, 0.43550554095439686)	(20, 0.4378864964501523)	(25, 0.43856676944893963)	(30, 0.4393516998321557)	(35, 0.44000580848483584)	(40, 0.4403721093303366)	(45, 0.44047676671476543)	(50, 0.4405814240991942)	(55, 0.44071224582973023)	(60, 0.4409215605985879)	(65, 0.4412355327518743)	(70, 0.44131402579019596)	(75, 0.44165416228958965)	(80, 0.44181114836623286)	(85, 0.4419158057506617)	(90, 0.4419158057506617)	(95, 0.4420727918273049)	(100, 0.44220361355784094)	(105, 0.44230827094226965)	(110, 0.44230827094226965)	(115, 0.4423867639805913)	(120, 0.4424390926728057)	(125, 0.4427269004799849)	(130, 0.44283155786441375)	(135, 0.44283155786441375)	(140, 0.44283155786441375)
PID-2861-33_R2 - polyg	(1, 0.48624537851701655)	(2, 0.48665139503214433)	(3, 0.4877070379714765)	(4, 0.4894935106380387)	(5, 0.4947717253346997)	(6, 0.5002935499404374)	(7, 0.502729649031204)	(8, 0.5057341712431495)	(9, 0.5088198967581206)	(10, 0.514146833436597)	(15, 0.520025952575647)	(20, 0.5229167901633567)	(25, 0.5242972463147911)	(30, 0.5250767980238364)	(35, 0.5255315365207796)	(40, 0.5256939431268306)	(45, 0.5259537936965124)	(50, 0.5260674783207482)	(55, 0.526311088229825)	(60, 0.5266521421025322)	(65, 0.5268795113510037)	(70, 0.527074399278265)	(75, 0.5273667311691571)	(80, 0.5277240257024695)	(85, 0.5281950048600177)	(90, 0.5285035774115148)	(95, 0.5289095939266426)	(100, 0.529266888459955)	(105, 0.5293156104417703)	(110, 0.5294942577084265)	(115, 0.5295917016720572)	(120, 0.5297865895993186)	(125, 0.529851552241739)	(130, 0.5298840335629492)	(135, 0.5301276434720259)	(140, 0.5302575687568668)
PID-2861-34_R2 - polyg	(1, 0.411509992513863)	(2, 0.4119650768296096)	(3, 0.4131027876189761)	(4, 0.4142404984083426)	(5, 0.41776740185537875)	(6, 0.42072544990773164)	(7, 0.4239110401179578)	(8, 0.4267553170913741)	(9, 0.42846188327542384)	(10, 0.4332175143749758)	(15, 0.43754081537456846)	(20, 0.4396114490112155)	(25, 0.44052161764270875)	(30, 0.441158735684754)	(35, 0.4419096248057358)	(40, 0.4422281838267585)	(45, 0.4424329717688445)	(50, 0.44277428500565447)	(55, 0.44279703922144176)	(60, 0.44279703922144176)	(65, 0.44279703922144176)	(70, 0.44297907294774036)	(75, 0.44302458137931505)	(80, 0.44309284402667704)	(85, 0.443365894616125)	(90, 0.4434796656950616)	(95, 0.4435706825582109)	(100, 0.44379822471608427)	(105, 0.44409402952131954)	(110, 0.44423055481604357)	(115, 0.44427606324761826)	(120, 0.44427606324761826)	(125, 0.44427606324761826)	(130, 0.4445036054054915)	(135, 0.4445036054054915)	(140, 0.4445036054054915)
PID-2861-35_R2 - polyg	(1, 0.45025045471354497)	(2, 0.4510619256669422)	(3, 0.4525689431518227)	(4, 0.45442373390244495)	(5, 0.45882886193517275)	(6, 0.46277029228024497)	(7, 0.4655524784061783)	(8, 0.4681028156882839)	(9, 0.47181239718952833)	(10, 0.4765884833723805)	(15, 0.48124864513331883)	(20, 0.4835439486872139)	(25, 0.4851205208252428)	(30, 0.4857233278191949)	(35, 0.4860479162005539)	(40, 0.4866043534257406)	(45, 0.48699849646024773)	(50, 0.4870680511133961)	(55, 0.4872767150728411)	(60, 0.48746219414790326)	(65, 0.48755493368543446)	(70, 0.4879258918355589)	(75, 0.48825048021691775)	(80, 0.48871417790457333)	(85, 0.4889692116327839)	(90, 0.4891546907078461)	(95, 0.4893865395516738)	(100, 0.4895256488579706)	(105, 0.48966475816426724)	(110, 0.48973431281741553)	(115, 0.4898734221237122)	(120, 0.48989660700809506)	(125, 0.49005890119877443)	(130, 0.49024438027383666)	(135, 0.49024438027383666)	(140, 0.49024438027383666)
PID-2861-36_R2 - polyg	(1, 0.5198145364628277)	(2, 0.5205632790432567)	(3, 0.5210312431560249)	(4, 0.522247949849222)	(5, 0.5263660340415814)	(6, 0.5297353756535119)	(7, 0.5318880105722452)	(8, 0.5350701665390685)	(9, 0.5369420229901409)	(10, 0.5422768138756975)	(15, 0.5479485389224472)	(20, 0.5501760480992233)	(25, 0.5514676290504633)	(30, 0.5522163716308924)	(35, 0.552852802824257)	(40, 0.5531710184209394)	(45, 0.5536577010982182)	(50, 0.5541256652109864)	(55, 0.5542941322915829)	(60, 0.5545936293237544)	(65, 0.5549305634849475)	(70, 0.5553798090332049)	(75, 0.5556231503718443)	(80, 0.556109833049123)	(85, 0.5564842043393377)	(90, 0.5566339528554235)	(95, 0.5568772941940627)	(100, 0.5570083241456378)	(105, 0.5572329469197665)	(110, 0.5574950068229167)	(115, 0.5576447553390025)	(120, 0.5577757852905776)	(125, 0.5578506595486206)	(130, 0.5579068152421527)	(135, 0.5580004080647063)	(140, 0.5580004080647063)
PID-2861-37_R2 - polyg	(1, 0.2670685797971267)	(2, 0.26729319592815876)	(3, 0.26729319592815876)	(4, 0.26796704432125495)	(5, 0.2684162765833191)	(6, 0.2704378217626077)	(7, 0.2717855185488001)	(8, 0.2731332153349925)	(9, 0.27403167985912075)	(10, 0.27560399277634523)	(15, 0.2772661521459825)	(20, 0.27767046118184024)	(25, 0.27829938634873)	(30, 0.2787036953845877)	(35, 0.2789732347418262)	(40, 0.27906308119423906)	(45, 0.2791978508728583)	(50, 0.2792876973252711)	(55, 0.27942246700389034)	(60, 0.2795572366825096)	(65, 0.2796470831349224)	(70, 0.2796470831349224)	(75, 0.2796470831349224)	(80, 0.27987169926595445)	(85, 0.2802760083018122)	(90, 0.2805904708852571)	(95, 0.28077016379008274)	(100, 0.28077016379008274)	(105, 0.2809947799211148)	(110, 0.2809947799211148)	(115, 0.28117447282594055)	(120, 0.2812193960521469)	(125, 0.2812193960521469)	(130, 0.2812193960521469)	(135, 0.2812193960521469)	(140, 0.2812193960521469)
PID-2861-38_R2 - polyg	(1, 0.4083574406300529)	(2, 0.40872409153073086)	(3, 0.41028235785861206)	(4, 0.41156563601098484)	(5, 0.41541547046810323)	(6, 0.4211902221537807)	(7, 0.42522338206123805)	(8, 0.4273316247401362)	(9, 0.43099813374691553)	(10, 0.43594792090606777)	(15, 0.4399994133585589)	(20, 0.44234597912289775)	(25, 0.44331760400969433)	(30, 0.44395924308588064)	(35, 0.4445642170719992)	(40, 0.44478420761240595)	(45, 0.44494920051771103)	(50, 0.4450958608779823)	(55, 0.44524252123825336)	(60, 0.44531585141838903)	(65, 0.4455908395938975)	(70, 0.4458841603144398)	(75, 0.44615914848994825)	(80, 0.4463058088502194)	(85, 0.4463058088502194)	(90, 0.4464891343005585)	(95, 0.4465807970257279)	(100, 0.4466907922959312)	(105, 0.44681912011116853)	(110, 0.44694744792640584)	(115, 0.44694744792640584)	(120, 0.4469657804714397)	(125, 0.447094108286677)	(130, 0.44727743373701595)	(135, 0.4473690964621855)	(140, 0.44740576155225326)
PID-2861-39_R2 - polyg	(1, 0.6071356589036215)	(2, 0.6076132671941372)	(3, 0.6089505704075814)	(4, 0.6108610035696443)	(5, 0.6152549998423893)	(6, 0.6200310827475468)	(7, 0.6228012108325381)	(8, 0.6261444688661484)	(9, 0.6297742918740681)	(10, 0.6380082588025596)	(15, 0.644752087864642)	(20, 0.6464332690472575)	(25, 0.647846989587184)	(30, 0.6486111628520093)	(35, 0.6491078754741457)	(40, 0.6492607101271106)	(45, 0.6494899621065582)	(50, 0.6498911530705914)	(55, 0.6502159267081422)	(60, 0.6505407003456929)	(65, 0.6508845783148642)	(70, 0.6512857692788974)	(75, 0.651457708263483)	(80, 0.6516487515796894)	(85, 0.6516487515796894)	(90, 0.6519353165539988)	(95, 0.6525657594974797)	(100, 0.6527950114769272)	(105, 0.6528905331350304)	(110, 0.6530815764512367)	(115, 0.6530815764512367)	(120, 0.6531197851144779)	(125, 0.6531770981093398)	(130, 0.6533299327623048)	(135, 0.6534827674152699)	(140, 0.6536547063998556)
PID-2861-3_R2 - polyg	(1, 0.34012872249784726)	(2, 0.3403556262486797)	(3, 0.3406959818749284)	(4, 0.34137669312742575)	(5, 0.34443989376366385)	(6, 0.3463685756457397)	(7, 0.34750309439990196)	(8, 0.3490914206557291)	(9, 0.349999035659059)	(10, 0.3529714747949641)	(15, 0.3554901064292043)	(20, 0.3562388888069514)	(25, 0.3564884829328671)	(30, 0.35696498080961525)	(35, 0.35714650381028124)	(40, 0.3572826460607807)	(45, 0.3574868594365299)	(50, 0.35755493056177967)	(55, 0.3577364535624456)	(60, 0.3579179765631116)	(65, 0.35834909368969325)	(70, 0.35868944931594193)	(75, 0.35905249531727385)	(80, 0.3591886375677733)	(85, 0.3591886375677733)	(90, 0.3591886375677733)	(95, 0.3592340183179398)	(100, 0.35930208944318953)	(105, 0.3593928509435225)	(110, 0.35941554131860576)	(115, 0.35941554131860576)	(120, 0.3595516835691052)	(125, 0.35975589694485444)	(130, 0.35975589694485444)	(135, 0.35977858731993767)	(140, 0.35986934882027066)
PID-2861-40_R2 - polyg	(1, 0.6036482303960664)	(2, 0.6045889808849954)	(3, 0.6058433148702339)	(4, 0.6074112323517822)	(5, 0.6109651786432915)	(6, 0.6152508197595232)	(7, 0.6189092938831358)	(8, 0.622463240174645)	(9, 0.6254945473056384)	(10, 0.630846372309323)	(15, 0.6350065800270308)	(20, 0.6368671754384682)	(25, 0.637870642626659)	(30, 0.6382469428222306)	(35, 0.6385814318849607)	(40, 0.6389159209476911)	(45, 0.6392295044440008)	(50, 0.6395430879403105)	(55, 0.6398148603037788)	(60, 0.6400866326672472)	(65, 0.6404838384292393)	(70, 0.6409437608904935)	(75, 0.6412991555196444)	(80, 0.6414454944845889)	(85, 0.6414873056174302)	(90, 0.6415500223166921)	(95, 0.6416127390159541)	(100, 0.6417799835473192)	(105, 0.6419263225122638)	(110, 0.6421144726100495)	(115, 0.6423026227078353)	(120, 0.642323528274256)	(125, 0.642323528274256)	(130, 0.642323528274256)	(135, 0.642323528274256)	(140, 0.6424280561063591)
PID-2861-4_R2 - polyg	(1, 0.5103925615984407)	(2, 0.51083104318057)	(3, 0.5114887655537639)	(4, 0.5121464879269577)	(5, 0.5152158590018624)	(6, 0.5187237116588964)	(7, 0.520696878778478)	(8, 0.5240951110399796)	(9, 0.5258490373684966)	(10, 0.5312423608286864)	(15, 0.5362848990231727)	(20, 0.5380388253516897)	(25, 0.5391131052279063)	(30, 0.5395735108891421)	(35, 0.5401654610250164)	(40, 0.5404066258951875)	(45, 0.5408231833982103)	(50, 0.5411081964265942)	(55, 0.5417001465624688)	(60, 0.54194131143264)	(65, 0.5420509318281722)	(70, 0.542182476302811)	(75, 0.5426867301222595)	(80, 0.5428401986760049)	(85, 0.5432567561790276)	(90, 0.543607541444731)	(95, 0.5438048581566891)	(100, 0.5440240989477538)	(105, 0.544265263817925)	(110, 0.5446379731627348)	(115, 0.5451422269821835)	(120, 0.5453395436941415)	(125, 0.5456245567225256)	(130, 0.5459095697509095)	(135, 0.5460191901464418)	(140, 0.5460191901464418)
PID-2861-5_R2 - polyg	(1, 0.5448354407927595)	(2, 0.5454189013204879)	(3, 0.547169282903673)	(4, 0.5492697408034951)	(5, 0.5541708092364135)	(6, 0.5589551855637862)	(7, 0.5631561013634305)	(8, 0.5658400197909811)	(9, 0.5693407829573514)	(10, 0.5756188182357087)	(15, 0.5811266856174646)	(20, 0.5841140035194339)	(25, 0.5849541866793627)	(30, 0.5856543393126368)	(35, 0.5864711840514565)	(40, 0.587077983000294)	(45, 0.5875447514224768)	(50, 0.5880348582657685)	(55, 0.5883849345824056)	(60, 0.5886883340568245)	(65, 0.588781687741261)	(70, 0.5891551024790072)	(75, 0.5893651482689893)	(80, 0.5898319166911721)	(85, 0.5900653009022634)	(90, 0.5902520082711364)	(95, 0.5905787461666643)	(100, 0.5907887919566466)	(105, 0.591045514588847)	(110, 0.5910921914310653)	(115, 0.5913489140632657)	(120, 0.5913955909054841)	(125, 0.5914889445899207)	(130, 0.5916289751165754)	(135, 0.5916289751165754)	(140, 0.5916289751165754)
PID-2861-6_R2 - polyg	(1, 0.48440081939979623)	(2, 0.48539096415896005)	(3, 0.4864911250024754)	(4, 0.4875912858459907)	(5, 0.490341687954779)	(6, 0.49331212223227033)	(7, 0.49749273343762856)	(8, 0.5009032320525261)	(9, 0.5031035537395567)	(10, 0.5098365381018705)	(15, 0.5154913648375393)	(20, 0.5170755964522014)	(25, 0.517845709042662)	(30, 0.5181977605125869)	(35, 0.5185718151993821)	(40, 0.5194739470910646)	(45, 0.5198039953441194)	(50, 0.5201340435971739)	(55, 0.5204860950670989)	(60, 0.5207281304526722)	(65, 0.5210801819225971)	(70, 0.5216082591274843)	(75, 0.5218282912961876)	(80, 0.5220263202480203)	(85, 0.5221363363323718)	(90, 0.5223343652842045)	(95, 0.5225103910191671)	(100, 0.522576400669778)	(105, 0.5227304231878701)	(110, 0.523016465007184)	(115, 0.5232364971758872)	(120, 0.5234785325614605)	(125, 0.5236765615132932)	(130, 0.5238305840313854)	(135, 0.5239846065494775)	(140, 0.5241166258506994)
PID-2861-7_R2 - polyg	(1, 0.5131525681380689)	(2, 0.5137721928933171)	(3, 0.5150114424038136)	(4, 0.5167670458770168)	(5, 0.519865169653258)	(6, 0.5238927305623714)	(7, 0.5278170206789435)	(8, 0.53132822762535)	(9, 0.5340132682314257)	(10, 0.5402301699424161)	(15, 0.5452284763014185)	(20, 0.5473971629447874)	(25, 0.5489049165158912)	(30, 0.5499582785998133)	(35, 0.5504952867210284)	(40, 0.5512801447443427)	(45, 0.5516312654389834)	(50, 0.5523541609867729)	(55, 0.5529324774250047)	(60, 0.5531183648515792)	(65, 0.5532835981196454)	(70, 0.5536553729727943)	(75, 0.5538619145578771)	(80, 0.5542130352525177)	(85, 0.5546467725811915)	(90, 0.5548739683247825)	(95, 0.5550805099098652)	(100, 0.5551837807024066)	(105, 0.5551837807024066)	(110, 0.555287051494948)	(115, 0.5553490139704728)	(120, 0.5553903222874894)	(125, 0.5553903222874894)	(130, 0.5553903222874894)	(135, 0.5555349013970473)	(140, 0.5558034054576548)
PID-2861-8_R2 - polyg	(1, 0.7338953022327287)	(2, 0.7345079878892469)	(3, 0.7363460448588015)	(4, 0.7399200445218244)	(5, 0.7450257583261428)	(6, 0.7515610719956703)	(7, 0.7564625572478161)	(8, 0.7627936423651709)	(9, 0.7671845562368848)	(10, 0.7770692181620452)	(15, 0.7853608973802582)	(20, 0.7874236057572028)	(25, 0.7887715142015429)	(30, 0.7895475826997993)	(35, 0.7898743483832759)	(40, 0.7903032283428384)	(45, 0.7904461883293593)	(50, 0.7905891483158803)	(55, 0.7909159139993566)	(60, 0.7913039482484849)	(65, 0.7915898682215268)	(70, 0.7921821310228276)	(75, 0.7924476281406523)	(80, 0.7928356623897803)	(85, 0.7932236966389086)	(90, 0.793325810914995)	(95, 0.7935708851776022)	(100, 0.793632153743254)	(105, 0.7937138451641232)	(110, 0.7937342680193404)	(115, 0.7938772280058612)	(120, 0.7939384965715132)	(125, 0.7939384965715132)	(130, 0.7940406108475996)	(135, 0.7941427251236859)	(140, 0.7941427251236859)
PID-2861-9_R2 - polyg	(1, 0.416537795298964)	(2, 0.4170165743740203)	(3, 0.4192189581192792)	(4, 0.42036802789941424)	(5, 0.4251558186499771)	(6, 0.42936907451047235)	(7, 0.4331035512959113)	(8, 0.4370295397113728)	(9, 0.43932767927164296)	(10, 0.44645191190848044)	(15, 0.45298245849224805)	(20, 0.45551041200854525)	(25, 0.4566594817886804)	(30, 0.45742552830877037)	(35, 0.45792345854682887)	(40, 0.45822987715486496)	(45, 0.4585362957629009)	(50, 0.4588235632079347)	(55, 0.4592448887939843)	(60, 0.4595513074020202)	(65, 0.46014499345509013)	(70, 0.46045141206312606)	(75, 0.4605280167151351)	(80, 0.4608727376491756)	(85, 0.46096849346418683)	(90, 0.46131321439822737)	(95, 0.46148557486524755)	(100, 0.4617728423102814)	(105, 0.4619260516142994)	(110, 0.46215586557032645)	(115, 0.4622516213853377)	(120, 0.4624048306893557)	(125, 0.46250058650436693)	(130, 0.46251973766736915)	(135, 0.46269209813438944)	(140, 0.46269209813438944)
