Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
PID-2861-15_R2	(10, 2.0)	(15, 1.0)	(20, 0.0)	(25, 0.0)	(30, 6.0)	(35, 7.0)	(40, 45.0)	(45, 55.0)	(50, 110.0)	(55, 120.0)	(60, 175.0)	(65, 160.0)	(70, 250.0)	(75, 248.0)	(80, 278.0)	(85, 428.0)	(90, 388.0)	(95, 519.0)	(100, 540.0)	(105, 701.0)	(110, 550.0)	(115, 849.0)	(120, 670.0)	(125, 1013.0)	(130, 928.0)	(135, 1511.0)	(140, 1278.0)	(145, 39554.0)	(150, 453935.0)
PID-2861-16_R1	(15, 4.0)	(20, 1.0)	(25, 5.0)	(30, 14.0)	(35, 17.0)	(40, 105.0)	(45, 93.0)	(50, 178.0)	(55, 216.0)	(60, 247.0)	(65, 254.0)	(70, 320.0)	(75, 352.0)	(80, 464.0)	(85, 445.0)	(90, 495.0)	(95, 642.0)	(100, 604.0)	(105, 776.0)	(110, 742.0)	(115, 1048.0)	(120, 979.0)	(125, 1265.0)	(130, 1210.0)	(135, 1935.0)	(140, 1583.0)	(145, 56152.0)	(150, 659126.0)	
PID-2861-16_R2	(15, 4.0)	(20, 1.0)	(25, 5.0)	(30, 14.0)	(35, 17.0)	(40, 105.0)	(45, 93.0)	(50, 178.0)	(55, 216.0)	(60, 247.0)	(65, 254.0)	(70, 320.0)	(75, 352.0)	(80, 464.0)	(85, 445.0)	(90, 495.0)	(95, 642.0)	(100, 604.0)	(105, 776.0)	(110, 742.0)	(115, 1048.0)	(120, 979.0)	(125, 1265.0)	(130, 1210.0)	(135, 1933.0)	(140, 1581.0)	(145, 55934.0)	(150, 659348.0)	
PID-2861-17_R1	(10, 4.0)	(15, 1.0)	(20, 0.0)	(25, 7.0)	(30, 35.0)	(35, 86.0)	(40, 202.0)	(45, 221.0)	(50, 332.0)	(55, 283.0)	(60, 501.0)	(65, 467.0)	(70, 625.0)	(75, 638.0)	(80, 766.0)	(85, 875.0)	(90, 886.0)	(95, 1077.0)	(100, 1060.0)	(105, 1281.0)	(110, 1194.0)	(115, 1614.0)	(120, 1441.0)	(125, 1991.0)	(130, 1611.0)	(135, 2714.0)	(140, 2216.0)	(145, 69481.0)	(150, 823645.0)
PID-2861-17_R2	(10, 4.0)	(15, 1.0)	(20, 0.0)	(25, 7.0)	(30, 35.0)	(35, 86.0)	(40, 202.0)	(45, 221.0)	(50, 332.0)	(55, 283.0)	(60, 501.0)	(65, 467.0)	(70, 625.0)	(75, 638.0)	(80, 766.0)	(85, 875.0)	(90, 886.0)	(95, 1077.0)	(100, 1060.0)	(105, 1281.0)	(110, 1194.0)	(115, 1614.0)	(120, 1441.0)	(125, 1991.0)	(130, 1611.0)	(135, 2714.0)	(140, 2223.0)	(145, 70101.0)	(150, 823018.0)
PID-2861-18_R1	(10, 1.0)	(15, 2.0)	(20, 3.0)	(25, 7.0)	(30, 33.0)	(35, 82.0)	(40, 189.0)	(45, 221.0)	(50, 371.0)	(55, 341.0)	(60, 568.0)	(65, 477.0)	(70, 704.0)	(75, 666.0)	(80, 816.0)	(85, 867.0)	(90, 968.0)	(95, 1188.0)	(100, 1081.0)	(105, 1368.0)	(110, 1252.0)	(115, 1769.0)	(120, 1583.0)	(125, 2190.0)	(130, 1943.0)	(135, 3230.0)	(140, 2565.0)	(145, 75621.0)	(150, 883540.0)
PID-2861-18_R2	(10, 1.0)	(15, 2.0)	(20, 3.0)	(25, 7.0)	(30, 33.0)	(35, 82.0)	(40, 189.0)	(45, 221.0)	(50, 371.0)	(55, 341.0)	(60, 568.0)	(65, 477.0)	(70, 704.0)	(75, 666.0)	(80, 816.0)	(85, 867.0)	(90, 968.0)	(95, 1188.0)	(100, 1081.0)	(105, 1368.0)	(110, 1252.0)	(115, 1769.0)	(120, 1583.0)	(125, 2190.0)	(130, 1943.0)	(135, 3230.0)	(140, 2567.0)	(145, 75131.0)	(150, 884028.0)
PID-2861-19_R1	(15, 3.0)	(20, 2.0)	(25, 12.0)	(30, 45.0)	(35, 94.0)	(40, 232.0)	(45, 252.0)	(50, 414.0)	(55, 426.0)	(60, 573.0)	(65, 601.0)	(70, 722.0)	(75, 768.0)	(80, 932.0)	(85, 1071.0)	(90, 1140.0)	(95, 1312.0)	(100, 1304.0)	(105, 1667.0)	(110, 1467.0)	(115, 2079.0)	(120, 1834.0)	(125, 2444.0)	(130, 2199.0)	(135, 3634.0)	(140, 3057.0)	(145, 86265.0)	(150, 1005327.0)	
PID-2861-19_R2	(15, 3.0)	(20, 2.0)	(25, 12.0)	(30, 45.0)	(35, 94.0)	(40, 232.0)	(45, 252.0)	(50, 414.0)	(55, 426.0)	(60, 573.0)	(65, 601.0)	(70, 722.0)	(75, 768.0)	(80, 932.0)	(85, 1071.0)	(90, 1140.0)	(95, 1312.0)	(100, 1304.0)	(105, 1667.0)	(110, 1467.0)	(115, 2079.0)	(120, 1834.0)	(125, 2444.0)	(130, 2199.0)	(135, 3634.0)	(140, 3040.0)	(145, 85663.0)	(150, 1005946.0)	
PID-2861-1_R1	(10, 2.0)	(15, 1.0)	(20, 2.0)	(25, 14.0)	(30, 36.0)	(35, 79.0)	(40, 224.0)	(45, 209.0)	(50, 383.0)	(55, 302.0)	(60, 567.0)	(65, 430.0)	(70, 703.0)	(75, 669.0)	(80, 820.0)	(85, 962.0)	(90, 1026.0)	(95, 1168.0)	(100, 1129.0)	(105, 1396.0)	(110, 1308.0)	(115, 1717.0)	(120, 1588.0)	(125, 2165.0)	(130, 1831.0)	(135, 3132.0)	(140, 2497.0)	(145, 76338.0)	(150, 887904.0)
