Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
PID-2861-30_R2	(25, 4.0)	(30, 21.0)	(35, 41.0)	(40, 100.0)	(45, 137.0)	(50, 238.0)	(55, 181.0)	(60, 306.0)	(65, 328.0)	(70, 357.0)	(75, 370.0)	(80, 477.0)	(85, 554.0)	(90, 625.0)	(95, 687.0)	(100, 808.0)	(105, 989.0)	(110, 927.0)	(115, 1147.0)	(120, 1101.0)	(125, 1562.0)	(130, 1297.0)	(135, 2265.0)	(140, 1746.0)	(145, 59534.0)	(150, 702262.0)			
PID-2861-31_R1	(15, 1.0)	(20, 3.0)	(25, 2.0)	(30, 22.0)	(35, 44.0)	(40, 126.0)	(45, 101.0)	(50, 211.0)	(55, 170.0)	(60, 196.0)	(65, 160.0)	(70, 167.0)	(75, 300.0)	(80, 350.0)	(85, 353.0)	(90, 324.0)	(95, 431.0)	(100, 541.0)	(105, 664.0)	(110, 470.0)	(115, 608.0)	(120, 547.0)	(125, 730.0)	(130, 703.0)	(135, 1338.0)	(140, 1185.0)	(145, 41242.0)	(150, 477086.0)	
PID-2861-31_R2	(15, 1.0)	(20, 3.0)	(25, 2.0)	(30, 22.0)	(35, 44.0)	(40, 126.0)	(45, 101.0)	(50, 211.0)	(55, 170.0)	(60, 196.0)	(65, 160.0)	(70, 167.0)	(75, 300.0)	(80, 350.0)	(85, 353.0)	(90, 324.0)	(95, 431.0)	(100, 541.0)	(105, 664.0)	(110, 470.0)	(115, 608.0)	(120, 547.0)	(125, 730.0)	(130, 703.0)	(135, 1336.0)	(140, 1173.0)	(145, 40050.0)	(150, 478292.0)	
PID-2861-32_R1	(10, 2.0)	(15, 2.0)	(20, 0.0)	(25, 4.0)	(30, 15.0)	(35, 36.0)	(40, 84.0)	(45, 140.0)	(50, 224.0)	(55, 223.0)	(60, 324.0)	(65, 321.0)	(70, 439.0)	(75, 451.0)	(80, 570.0)	(85, 611.0)	(90, 663.0)	(95, 757.0)	(100, 786.0)	(105, 973.0)	(110, 918.0)	(115, 1230.0)	(120, 1087.0)	(125, 1466.0)	(130, 1390.0)	(135, 2320.0)	(140, 1827.0)	(145, 58578.0)	(150, 688958.0)
PID-2861-32_R2	(10, 2.0)	(15, 2.0)	(20, 0.0)	(25, 4.0)	(30, 15.0)	(35, 36.0)	(40, 84.0)	(45, 140.0)	(50, 224.0)	(55, 223.0)	(60, 324.0)	(65, 321.0)	(70, 439.0)	(75, 451.0)	(80, 570.0)	(85, 611.0)	(90, 663.0)	(95, 757.0)	(100, 786.0)	(105, 973.0)	(110, 918.0)	(115, 1230.0)	(120, 1087.0)	(125, 1466.0)	(130, 1390.0)	(135, 2319.0)	(140, 1839.0)	(145, 58812.0)	(150, 688713.0)
PID-2861-33_R1	(15, 1.0)	(20, 2.0)	(25, 15.0)	(30, 49.0)	(35, 107.0)	(40, 257.0)	(45, 258.0)	(50, 456.0)	(55, 422.0)	(60, 584.0)	(65, 626.0)	(70, 882.0)	(75, 940.0)	(80, 1012.0)	(85, 1117.0)	(90, 1230.0)	(95, 1424.0)	(100, 1437.0)	(105, 1788.0)	(110, 1687.0)	(115, 2284.0)	(120, 2030.0)	(125, 2739.0)	(130, 2288.0)	(135, 3857.0)	(140, 3195.0)	(145, 94514.0)	(150, 1106276.0)	
PID-2861-33_R2	(15, 1.0)	(20, 2.0)	(25, 15.0)	(30, 49.0)	(35, 107.0)	(40, 257.0)	(45, 258.0)	(50, 456.0)	(55, 422.0)	(60, 584.0)	(65, 626.0)	(70, 882.0)	(75, 940.0)	(80, 1012.0)	(85, 1117.0)	(90, 1230.0)	(95, 1424.0)	(100, 1437.0)	(105, 1788.0)	(110, 1687.0)	(115, 2284.0)	(120, 2030.0)	(125, 2739.0)	(130, 2288.0)	(135, 3857.0)	(140, 3195.0)	(145, 94470.0)	(150, 1106320.0)	
PID-2861-34_R1	(10, 1.0)	(15, 0.0)	(20, 1.0)	(25, 4.0)	(30, 41.0)	(35, 62.0)	(40, 185.0)	(45, 189.0)	(50, 341.0)	(55, 303.0)	(60, 423.0)	(65, 348.0)	(70, 474.0)	(75, 481.0)	(80, 556.0)	(85, 571.0)	(90, 780.0)	(95, 911.0)	(100, 1142.0)	(105, 1237.0)	(110, 1104.0)	(115, 1394.0)	(120, 1241.0)	(125, 1772.0)	(130, 1536.0)	(135, 2728.0)	(140, 2258.0)	(145, 68101.0)	(150, 790774.0)
PID-2861-34_R2	(10, 1.0)	(15, 0.0)	(20, 1.0)	(25, 4.0)	(30, 41.0)	(35, 62.0)	(40, 185.0)	(45, 189.0)	(50, 341.0)	(55, 303.0)	(60, 423.0)	(65, 348.0)	(70, 474.0)	(75, 481.0)	(80, 556.0)	(85, 571.0)	(90, 780.0)	(95, 911.0)	(100, 1142.0)	(105, 1237.0)	(110, 1104.0)	(115, 1394.0)	(120, 1241.0)	(125, 1772.0)	(130, 1536.0)	(135, 2728.0)	(140, 2261.0)	(145, 66622.0)	(150, 792250.0)
PID-2861-35_R1	(10, 1.0)	(15, 0.0)	(20, 0.0)	(25, 8.0)	(30, 11.0)	(35, 41.0)	(40, 130.0)	(45, 129.0)	(50, 217.0)	(55, 234.0)	(60, 255.0)	(65, 303.0)	(70, 449.0)	(75, 450.0)	(80, 560.0)	(85, 596.0)	(90, 677.0)	(95, 838.0)	(100, 847.0)	(105, 1066.0)	(110, 988.0)	(115, 1296.0)	(120, 1218.0)	(125, 1638.0)	(130, 1437.0)	(135, 2537.0)	(140, 1928.0)	(145, 66569.0)	(150, 778208.0)
PID-2861-35_R2	(10, 1.0)	(15, 0.0)	(20, 0.0)	(25, 8.0)	(30, 11.0)	(35, 41.0)	(40, 130.0)	(45, 129.0)	(50, 217.0)	(55, 234.0)	(60, 255.0)	(65, 303.0)	(70, 449.0)	(75, 450.0)	(80, 560.0)	(85, 596.0)	(90, 677.0)	(95, 838.0)	(100, 847.0)	(105, 1066.0)	(110, 988.0)	(115, 1296.0)	(120, 1218.0)	(125, 1638.0)	(130, 1437.0)	(135, 2537.0)	(140, 1939.0)	(145, 66504.0)	(150, 778262.0)
PID-2861-36_R1	(15, 4.0)	(20, 2.0)	(25, 4.0)	(30, 18.0)	(35, 65.0)	(40, 169.0)	(45, 185.0)	(50, 326.0)	(55, 283.0)	(60, 428.0)	(65, 452.0)	(70, 567.0)	(75, 649.0)	(80, 704.0)	(85, 811.0)	(90, 862.0)	(95, 1110.0)	(100, 1145.0)	(105, 1565.0)	(110, 1385.0)	(115, 1852.0)	(120, 1564.0)	(125, 2248.0)	(130, 1867.0)	(135, 3365.0)	(140, 2585.0)	(145, 84400.0)	(150, 959843.0)	
PID-2861-36_R2	(15, 4.0)	(20, 2.0)	(25, 4.0)	(30, 18.0)	(35, 65.0)	(40, 169.0)	(45, 185.0)	(50, 326.0)	(55, 283.0)	(60, 428.0)	(65, 452.0)	(70, 567.0)	(75, 649.0)	(80, 704.0)	(85, 811.0)	(90, 862.0)	(95, 1110.0)	(100, 1145.0)	(105, 1565.0)	(110, 1385.0)	(115, 1852.0)	(120, 1564.0)	(125, 2248.0)	(130, 1867.0)	(135, 3365.0)	(140, 2615.0)	(145, 84328.0)	(150, 959885.0)	
PID-2861-37_R1	(35, 4.0)	(40, 23.0)	(45, 28.0)	(50, 41.0)	(55, 34.0)	(60, 83.0)	(65, 77.0)	(70, 90.0)	(75, 124.0)	(80, 155.0)	(85, 152.0)	(90, 175.0)	(95, 202.0)	(100, 221.0)	(105, 284.0)	(110, 303.0)	(115, 404.0)	(120, 360.0)	(125, 494.0)	(130, 480.0)	(135, 920.0)	(140, 739.0)	(145, 34498.0)	(150, 405313.0)					
PID-2861-37_R2	(35, 4.0)	(40, 23.0)	(45, 28.0)	(50, 41.0)	(55, 34.0)	(60, 83.0)	(65, 77.0)	(70, 90.0)	(75, 124.0)	(80, 155.0)	(85, 152.0)	(90, 175.0)	(95, 202.0)	(100, 221.0)	(105, 284.0)	(110, 303.0)	(115, 404.0)	(120, 360.0)	(125, 494.0)	(130, 480.0)	(135, 920.0)	(140, 746.0)	(145, 33805.0)	(150, 405999.0)					
PID-2861-38_R1	(10, 1.0)	(15, 3.0)	(20, 5.0)	(25, 7.0)	(30, 28.0)	(35, 83.0)	(40, 195.0)	(45, 193.0)	(50, 342.0)	(55, 324.0)	(60, 525.0)	(65, 465.0)	(70, 606.0)	(75, 595.0)	(80, 819.0)	(85, 770.0)	(90, 956.0)	(95, 1127.0)	(100, 1128.0)	(105, 1421.0)	(110, 1369.0)	(115, 1785.0)	(120, 1547.0)	(125, 2170.0)	(130, 1859.0)	(135, 3272.0)	(140, 2590.0)	(145, 84812.0)	(150, 981959.0)
PID-2861-38_R2	(10, 1.0)	(15, 3.0)	(20, 5.0)	(25, 7.0)	(30, 28.0)	(35, 83.0)	(40, 195.0)	(45, 193.0)	(50, 342.0)	(55, 324.0)	(60, 525.0)	(65, 465.0)	(70, 606.0)	(75, 595.0)	(80, 819.0)	(85, 770.0)	(90, 956.0)	(95, 1127.0)	(100, 1128.0)	(105, 1421.0)	(110, 1369.0)	(115, 1785.0)	(120, 1547.0)	(125, 2170.0)	(130, 1859.0)	(135, 3271.0)	(140, 2572.0)	(145, 84837.0)	(150, 981953.0)
PID-2861-39_R1	(10, 2.0)	(15, 5.0)	(20, 1.0)	(25, 7.0)	(30, 23.0)	(35, 77.0)	(40, 192.0)	(45, 206.0)	(50, 345.0)	(55, 297.0)	(60, 450.0)	(65, 478.0)	(70, 604.0)	(75, 566.0)	(80, 726.0)	(85, 834.0)	(90, 908.0)	(95, 1047.0)	(100, 1014.0)	(105, 1385.0)	(110, 1259.0)	(115, 1625.0)	(120, 1553.0)	(125, 2024.0)	(130, 1790.0)	(135, 3018.0)	(140, 2376.0)	(145, 80158.0)	(150, 943913.0)
PID-2861-39_R2	(10, 2.0)	(15, 5.0)	(20, 1.0)	(25, 7.0)	(30, 23.0)	(35, 77.0)	(40, 192.0)	(45, 206.0)	(50, 345.0)	(55, 297.0)	(60, 450.0)	(65, 478.0)	(70, 604.0)	(75, 566.0)	(80, 726.0)	(85, 834.0)	(90, 908.0)	(95, 1047.0)	(100, 1014.0)	(105, 1385.0)	(110, 1259.0)	(115, 1625.0)	(120, 1553.0)	(125, 2024.0)	(130, 1790.0)	(135, 3017.0)	(140, 2382.0)	(145, 79676.0)	(150, 944390.0)
PID-2861-3_R1	(15, 2.0)	(20, 0.0)	(25, 9.0)	(30, 37.0)	(35, 84.0)	(40, 200.0)	(45, 228.0)	(50, 302.0)	(55, 343.0)	(60, 457.0)	(65, 439.0)	(70, 607.0)	(75, 620.0)	(80, 747.0)	(85, 858.0)	(90, 950.0)	(95, 1086.0)	(100, 1085.0)	(105, 1336.0)	(110, 1234.0)	(115, 1658.0)	(120, 1541.0)	(125, 1948.0)	(130, 1854.0)	(135, 2870.0)	(140, 2279.0)	(145, 68234.0)	(150, 790423.0)	
PID-2861-3_R2	(15, 2.0)	(20, 0.0)	(25, 9.0)	(30, 37.0)	(35, 84.0)	(40, 200.0)	(45, 228.0)	(50, 302.0)	(55, 343.0)	(60, 457.0)	(65, 439.0)	(70, 607.0)	(75, 620.0)	(80, 747.0)	(85, 858.0)	(90, 950.0)	(95, 1086.0)	(100, 1085.0)	(105, 1336.0)	(110, 1234.0)	(115, 1658.0)	(120, 1541.0)	(125, 1948.0)	(130, 1854.0)	(135, 2870.0)	(140, 2284.0)	(145, 68140.0)	(150, 790512.0)	
PID-2861-40_R1	(10, 2.0)	(15, 1.0)	(20, 3.0)	(25, 5.0)	(30, 28.0)	(35, 45.0)	(40, 158.0)	(45, 152.0)	(50, 271.0)	(55, 265.0)	(60, 351.0)	(65, 367.0)	(70, 473.0)	(75, 461.0)	(80, 620.0)	(85, 675.0)	(90, 785.0)	(95, 894.0)	(100, 969.0)	(105, 1177.0)	(110, 1171.0)	(115, 1512.0)	(120, 1325.0)	(125, 1800.0)	(130, 1535.0)	(135, 2630.0)	(140, 2209.0)	(145, 73388.0)	(150, 863411.0)
PID-2861-40_R2	(10, 2.0)	(15, 1.0)	(20, 3.0)	(25, 5.0)	(30, 28.0)	(35, 45.0)	(40, 158.0)	(45, 152.0)	(50, 271.0)	(55, 265.0)	(60, 351.0)	(65, 367.0)	(70, 473.0)	(75, 461.0)	(80, 620.0)	(85, 675.0)	(90, 785.0)	(95, 894.0)	(100, 969.0)	(105, 1177.0)	(110, 1171.0)	(115, 1512.0)	(120, 1325.0)	(125, 1800.0)	(130, 1535.0)	(135, 2630.0)	(140, 2214.0)	(145, 72999.0)	(150, 863795.0)
PID-2861-4_R1	(10, 1.0)	(15, 0.0)	(20, 0.0)	(25, 12.0)	(30, 31.0)	(35, 66.0)	(40, 208.0)	(45, 230.0)	(50, 340.0)	(55, 276.0)	(60, 427.0)	(65, 414.0)	(70, 507.0)	(75, 547.0)	(80, 652.0)	(85, 705.0)	(90, 804.0)	(95, 1047.0)	(100, 1083.0)	(105, 1333.0)	(110, 1128.0)	(115, 1578.0)	(120, 1325.0)	(125, 1951.0)	(130, 1529.0)	(135, 2977.0)	(140, 2230.0)	(145, 70400.0)	(150, 820438.0)
PID-2861-4_R2	(10, 1.0)	(15, 0.0)	(20, 0.0)	(25, 12.0)	(30, 31.0)	(35, 66.0)	(40, 208.0)	(45, 230.0)	(50, 340.0)	(55, 276.0)	(60, 427.0)	(65, 414.0)	(70, 507.0)	(75, 547.0)	(80, 652.0)	(85, 705.0)	(90, 804.0)	(95, 1047.0)	(100, 1083.0)	(105, 1333.0)	(110, 1128.0)	(115, 1578.0)	(120, 1325.0)	(125, 1951.0)	(130, 1529.0)	(135, 2977.0)	(140, 2245.0)	(145, 69989.0)	(150, 820834.0)
PID-2861-5_R1	(10, 1.0)	(15, 0.0)	(20, 3.0)	(25, 5.0)	(30, 36.0)	(35, 62.0)	(40, 160.0)	(45, 159.0)	(50, 293.0)	(55, 238.0)	(60, 348.0)	(65, 302.0)	(70, 396.0)	(75, 390.0)	(80, 498.0)	(85, 537.0)	(90, 650.0)	(95, 839.0)	(100, 884.0)	(105, 1128.0)	(110, 895.0)	(115, 1280.0)	(120, 1142.0)	(125, 1489.0)	(130, 1378.0)	(135, 2372.0)	(140, 1915.0)	(145, 66121.0)	(150, 773435.0)
PID-2861-5_R2	(10, 1.0)	(15, 0.0)	(20, 3.0)	(25, 5.0)	(30, 36.0)	(35, 62.0)	(40, 160.0)	(45, 159.0)	(50, 293.0)	(55, 238.0)	(60, 348.0)	(65, 302.0)	(70, 396.0)	(75, 390.0)	(80, 498.0)	(85, 537.0)	(90, 650.0)	(95, 839.0)	(100, 884.0)	(105, 1128.0)	(110, 895.0)	(115, 1280.0)	(120, 1142.0)	(125, 1489.0)	(130, 1378.0)	(135, 2372.0)	(140, 1904.0)	(145, 65595.0)	(150, 773972.0)
PID-2861-6_R1	(15, 2.0)	(20, 2.0)	(25, 4.0)	(30, 15.0)	(35, 47.0)	(40, 167.0)	(45, 148.0)	(50, 258.0)	(55, 256.0)	(60, 376.0)	(65, 373.0)	(70, 449.0)	(75, 489.0)	(80, 602.0)	(85, 651.0)	(90, 696.0)	(95, 828.0)	(100, 918.0)	(105, 1193.0)	(110, 1058.0)	(115, 1461.0)	(120, 1237.0)	(125, 1792.0)	(130, 1535.0)	(135, 2584.0)	(140, 2174.0)	(145, 70557.0)	(150, 819086.0)	
PID-2861-6_R2	(15, 2.0)	(20, 2.0)	(25, 4.0)	(30, 15.0)	(35, 47.0)	(40, 167.0)	(45, 148.0)	(50, 258.0)	(55, 256.0)	(60, 376.0)	(65, 373.0)	(70, 449.0)	(75, 489.0)	(80, 602.0)	(85, 651.0)	(90, 696.0)	(95, 828.0)	(100, 918.0)	(105, 1193.0)	(110, 1058.0)	(115, 1461.0)	(120, 1237.0)	(125, 1792.0)	(130, 1535.0)	(135, 2585.0)	(140, 2185.0)	(145, 70707.0)	(150, 818924.0)	
PID-2861-7_R1	(15, 2.0)	(20, 0.0)	(25, 5.0)	(30, 36.0)	(35, 80.0)	(40, 216.0)	(45, 223.0)	(50, 350.0)	(55, 306.0)	(60, 470.0)	(65, 451.0)	(70, 582.0)	(75, 623.0)	(80, 708.0)	(85, 748.0)	(90, 782.0)	(95, 1061.0)	(100, 984.0)	(105, 1328.0)	(110, 1246.0)	(115, 1675.0)	(120, 1482.0)	(125, 2022.0)	(130, 1771.0)	(135, 2965.0)	(140, 2398.0)	(145, 74745.0)	(150, 871069.0)	
PID-2861-7_R2	(15, 2.0)	(20, 0.0)	(25, 5.0)	(30, 36.0)	(35, 80.0)	(40, 216.0)	(45, 223.0)	(50, 350.0)	(55, 306.0)	(60, 470.0)	(65, 451.0)	(70, 582.0)	(75, 623.0)	(80, 708.0)	(85, 748.0)	(90, 782.0)	(95, 1061.0)	(100, 984.0)	(105, 1328.0)	(110, 1246.0)	(115, 1675.0)	(120, 1482.0)	(125, 2022.0)	(130, 1771.0)	(135, 2966.0)	(140, 2395.0)	(145, 74567.0)	(150, 871249.0)	
PID-2861-8_R1	(10, 1.0)	(15, 1.0)	(20, 1.0)	(25, 10.0)	(30, 32.0)	(35, 54.0)	(40, 169.0)	(45, 195.0)	(50, 367.0)	(55, 320.0)	(60, 436.0)	(65, 444.0)	(70, 553.0)	(75, 624.0)	(80, 708.0)	(85, 748.0)	(90, 836.0)	(95, 1025.0)	(100, 1012.0)	(105, 1333.0)	(110, 1226.0)	(115, 1564.0)	(120, 1434.0)	(125, 1951.0)	(130, 1745.0)	(135, 2907.0)	(140, 2402.0)	(145, 75665.0)	(150, 881532.0)
PID-2861-8_R2	(10, 1.0)	(15, 1.0)	(20, 1.0)	(25, 10.0)	(30, 32.0)	(35, 54.0)	(40, 169.0)	(45, 195.0)	(50, 367.0)	(55, 320.0)	(60, 436.0)	(65, 444.0)	(70, 553.0)	(75, 624.0)	(80, 708.0)	(85, 748.0)	(90, 836.0)	(95, 1025.0)	(100, 1012.0)	(105, 1333.0)	(110, 1226.0)	(115, 1564.0)	(120, 1434.0)	(125, 1951.0)	(130, 1745.0)	(135, 2908.0)	(140, 2402.0)	(145, 75210.0)	(150, 881986.0)
PID-2861-9_R1	(10, 1.0)	(15, 2.0)	(20, 5.0)	(25, 2.0)	(30, 38.0)	(35, 92.0)	(40, 247.0)	(45, 227.0)	(50, 400.0)	(55, 363.0)	(60, 550.0)	(65, 479.0)	(70, 698.0)	(75, 669.0)	(80, 837.0)	(85, 956.0)	(90, 1057.0)	(95, 1162.0)	(100, 1206.0)	(105, 1528.0)	(110, 1373.0)	(115, 1860.0)	(120, 1598.0)	(125, 2376.0)	(130, 1885.0)	(135, 3204.0)	(140, 2747.0)	(145, 80492.0)	(150, 938269.0)
PID-2861-9_R2	(10, 1.0)	(15, 2.0)	(20, 5.0)	(25, 2.0)	(30, 38.0)	(35, 92.0)	(40, 247.0)	(45, 227.0)	(50, 400.0)	(55, 363.0)	(60, 550.0)	(65, 479.0)	(70, 698.0)	(75, 669.0)	(80, 837.0)	(85, 956.0)	(90, 1057.0)	(95, 1162.0)	(100, 1206.0)	(105, 1528.0)	(110, 1373.0)	(115, 1860.0)	(120, 1598.0)	(125, 2376.0)	(130, 1885.0)	(135, 3204.0)	(140, 2739.0)	(145, 80479.0)	(150, 938290.0)
