Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
PID-2861-15_R1	(16.0, 3.0)	(17.0, 8.0)	(18.0, 17.0)	(19.0, 45.0)	(20.0, 72.0)	(21.0, 113.0)	(22.0, 172.0)	(23.0, 194.0)	(24.0, 259.0)	(25.0, 309.0)	(26.0, 385.0)	(27.0, 452.0)	(28.0, 627.0)	(29.0, 731.0)	(30.0, 956.0)	(31.0, 1240.0)	(32.0, 1639.0)	(33.0, 2195.0)	(34.0, 3148.0)	(35.0, 4509.0)	(36.0, 6896.0)	(37.0, 12019.0)	(38.0, 32338.0)	(39.0, 345572.0)	(40.0, 90422.0)			
PID-2861-15_R2	(13.0, 4.0)	(14.0, 24.0)	(15.0, 173.0)	(16.0, 509.0)	(17.0, 594.0)	(18.0, 517.0)	(19.0, 457.0)	(20.0, 495.0)	(21.0, 498.0)	(22.0, 547.0)	(23.0, 532.0)	(24.0, 718.0)	(25.0, 752.0)	(26.0, 916.0)	(27.0, 986.0)	(28.0, 1211.0)	(29.0, 1484.0)	(30.0, 1920.0)	(31.0, 2184.0)	(32.0, 2984.0)	(33.0, 3876.0)	(34.0, 5429.0)	(35.0, 7592.0)	(36.0, 11815.0)	(37.0, 21080.0)	(38.0, 59004.0)	(39.0, 337882.0)	(40.0, 40138.0)
PID-2861-16_R1	(15.0, 2.0)	(16.0, 3.0)	(17.0, 13.0)	(18.0, 16.0)	(19.0, 49.0)	(20.0, 107.0)	(21.0, 139.0)	(22.0, 186.0)	(23.0, 257.0)	(24.0, 321.0)	(25.0, 401.0)	(26.0, 542.0)	(27.0, 678.0)	(28.0, 922.0)	(29.0, 1238.0)	(30.0, 1658.0)	(31.0, 2175.0)	(32.0, 2977.0)	(33.0, 4173.0)	(34.0, 6270.0)	(35.0, 9598.0)	(36.0, 16639.0)	(37.0, 32052.0)	(38.0, 93987.0)	(39.0, 499259.0)	(40.0, 55610.0)		
PID-2861-16_R2	(14.0, 27.0)	(15.0, 187.0)	(16.0, 695.0)	(17.0, 691.0)	(18.0, 505.0)	(19.0, 429.0)	(20.0, 437.0)	(21.0, 452.0)	(22.0, 461.0)	(23.0, 480.0)	(24.0, 529.0)	(25.0, 675.0)	(26.0, 805.0)	(27.0, 904.0)	(28.0, 1109.0)	(29.0, 1365.0)	(30.0, 1815.0)	(31.0, 2377.0)	(32.0, 3190.0)	(33.0, 4514.0)	(34.0, 6590.0)	(35.0, 9675.0)	(36.0, 16686.0)	(37.0, 31574.0)	(38.0, 93386.0)	(39.0, 493031.0)	(40.0, 56683.0)	
PID-2861-17_R1	(16.0, 2.0)	(17.0, 6.0)	(18.0, 38.0)	(19.0, 50.0)	(20.0, 112.0)	(21.0, 189.0)	(22.0, 242.0)	(23.0, 339.0)	(24.0, 433.0)	(25.0, 556.0)	(26.0, 726.0)	(27.0, 846.0)	(28.0, 1205.0)	(29.0, 1514.0)	(30.0, 2024.0)	(31.0, 2611.0)	(32.0, 3764.0)	(33.0, 5307.0)	(34.0, 7992.0)	(35.0, 12079.0)	(36.0, 20999.0)	(37.0, 40821.0)	(38.0, 122311.0)	(39.0, 626743.0)	(40.0, 64345.0)			
PID-2861-17_R2	(13.0, 3.0)	(14.0, 43.0)	(15.0, 258.0)	(16.0, 834.0)	(17.0, 803.0)	(18.0, 590.0)	(19.0, 489.0)	(20.0, 548.0)	(21.0, 488.0)	(22.0, 495.0)	(23.0, 555.0)	(24.0, 661.0)	(25.0, 746.0)	(26.0, 914.0)	(27.0, 1009.0)	(28.0, 1301.0)	(29.0, 1512.0)	(30.0, 1935.0)	(31.0, 2599.0)	(32.0, 3685.0)	(33.0, 4874.0)	(34.0, 7450.0)	(35.0, 10882.0)	(36.0, 18956.0)	(37.0, 37480.0)	(38.0, 113497.0)	(39.0, 628627.0)	(40.0, 74020.0)
PID-2861-18_R1	(16.0, 3.0)	(17.0, 15.0)	(18.0, 28.0)	(19.0, 75.0)	(20.0, 110.0)	(21.0, 196.0)	(22.0, 291.0)	(23.0, 360.0)	(24.0, 542.0)	(25.0, 581.0)	(26.0, 810.0)	(27.0, 928.0)	(28.0, 1229.0)	(29.0, 1479.0)	(30.0, 1891.0)	(31.0, 2390.0)	(32.0, 3298.0)	(33.0, 4254.0)	(34.0, 6140.0)	(35.0, 8869.0)	(36.0, 13979.0)	(37.0, 24832.0)	(38.0, 64424.0)	(39.0, 671735.0)	(40.0, 175187.0)			
PID-2861-18_R2	(13.0, 2.0)	(14.0, 27.0)	(15.0, 277.0)	(16.0, 1029.0)	(17.0, 1113.0)	(18.0, 1007.0)	(19.0, 910.0)	(20.0, 996.0)	(21.0, 1029.0)	(22.0, 1087.0)	(23.0, 1105.0)	(24.0, 1277.0)	(25.0, 1591.0)	(26.0, 1668.0)	(27.0, 2057.0)	(28.0, 2433.0)	(29.0, 2843.0)	(30.0, 3667.0)	(31.0, 4335.0)	(32.0, 5912.0)	(33.0, 7619.0)	(34.0, 10953.0)	(35.0, 14926.0)	(36.0, 23407.0)	(37.0, 41142.0)	(38.0, 114996.0)	(39.0, 653306.0)	(40.0, 82932.0)
PID-2861-19_R1	(16.0, 2.0)	(17.0, 22.0)	(18.0, 39.0)	(19.0, 92.0)	(20.0, 169.0)	(21.0, 259.0)	(22.0, 356.0)	(23.0, 387.0)	(24.0, 562.0)	(25.0, 744.0)	(26.0, 846.0)	(27.0, 1089.0)	(28.0, 1407.0)	(29.0, 1740.0)	(30.0, 2119.0)	(31.0, 2711.0)	(32.0, 3731.0)	(33.0, 4928.0)	(34.0, 6945.0)	(35.0, 10158.0)	(36.0, 16040.0)	(37.0, 28016.0)	(38.0, 73103.0)	(39.0, 763238.0)	(40.0, 201173.0)			
PID-2861-19_R2	(13.0, 3.0)	(14.0, 40.0)	(15.0, 349.0)	(16.0, 1148.0)	(17.0, 1456.0)	(18.0, 1190.0)	(19.0, 1083.0)	(20.0, 1232.0)	(21.0, 1212.0)	(22.0, 1344.0)	(23.0, 1282.0)	(24.0, 1597.0)	(25.0, 1831.0)	(26.0, 2131.0)	(27.0, 2380.0)	(28.0, 3003.0)	(29.0, 3466.0)	(30.0, 4396.0)	(31.0, 5267.0)	(32.0, 7013.0)	(33.0, 9082.0)	(34.0, 12317.0)	(35.0, 17081.0)	(36.0, 27249.0)	(37.0, 47448.0)	(38.0, 131265.0)	(39.0, 740515.0)	(40.0, 93496.0)
PID-2861-1_R1	(16.0, 2.0)	(17.0, 22.0)	(18.0, 36.0)	(19.0, 69.0)	(20.0, 141.0)	(21.0, 207.0)	(22.0, 268.0)	(23.0, 366.0)	(24.0, 472.0)	(25.0, 623.0)	(26.0, 733.0)	(27.0, 1000.0)	(28.0, 1210.0)	(29.0, 1517.0)	(30.0, 1849.0)	(31.0, 2350.0)	(32.0, 3402.0)	(33.0, 4481.0)	(34.0, 6284.0)	(35.0, 9297.0)	(36.0, 15017.0)	(37.0, 26901.0)	(38.0, 70934.0)	(39.0, 680054.0)	(40.0, 161367.0)			
PID-2861-1_R2	(13.0, 6.0)	(14.0, 65.0)	(15.0, 382.0)	(16.0, 1179.0)	(17.0, 1192.0)	(18.0, 1092.0)	(19.0, 976.0)	(20.0, 1023.0)	(21.0, 977.0)	(22.0, 1099.0)	(23.0, 1155.0)	(24.0, 1332.0)	(25.0, 1477.0)	(26.0, 1778.0)	(27.0, 2033.0)	(28.0, 2344.0)	(29.0, 2905.0)	(30.0, 3629.0)	(31.0, 4364.0)	(32.0, 5794.0)	(33.0, 7671.0)	(34.0, 10874.0)	(35.0, 15223.0)	(36.0, 24280.0)	(37.0, 43397.0)	(38.0, 120099.0)	(39.0, 654576.0)	(40.0, 77680.0)
PID-2861-20_R1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 15.0)	(18.0, 32.0)	(19.0, 69.0)	(20.0, 160.0)	(21.0, 241.0)	(22.0, 315.0)	(23.0, 362.0)	(24.0, 494.0)	(25.0, 621.0)	(26.0, 804.0)	(27.0, 976.0)	(28.0, 1333.0)	(29.0, 1541.0)	(30.0, 2136.0)	(31.0, 2572.0)	(32.0, 3568.0)	(33.0, 4831.0)	(34.0, 6899.0)	(35.0, 10176.0)	(36.0, 16529.0)	(37.0, 30090.0)	(38.0, 82066.0)	(39.0, 722856.0)	(40.0, 149743.0)		
