Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
PID-2861-29_R1	(15.0, 1.0)	(16.0, 1.0)	(17.0, 15.0)	(18.0, 30.0)	(19.0, 62.0)	(20.0, 126.0)	(21.0, 190.0)	(22.0, 212.0)	(23.0, 286.0)	(24.0, 387.0)	(25.0, 469.0)	(26.0, 617.0)	(27.0, 774.0)	(28.0, 952.0)	(29.0, 1246.0)	(30.0, 1581.0)	(31.0, 2102.0)	(32.0, 2765.0)	(33.0, 3752.0)	(34.0, 5173.0)	(35.0, 7765.0)	(36.0, 12520.0)	(37.0, 22345.0)	(38.0, 60269.0)	(39.0, 607294.0)	(40.0, 151828.0)		
PID-2861-29_R2	(13.0, 6.0)	(14.0, 59.0)	(15.0, 338.0)	(16.0, 994.0)	(17.0, 1171.0)	(18.0, 1037.0)	(19.0, 901.0)	(20.0, 965.0)	(21.0, 1007.0)	(22.0, 1096.0)	(23.0, 1102.0)	(24.0, 1277.0)	(25.0, 1519.0)	(26.0, 1774.0)	(27.0, 2065.0)	(28.0, 2445.0)	(29.0, 3000.0)	(30.0, 3802.0)	(31.0, 4466.0)	(32.0, 6014.0)	(33.0, 7790.0)	(34.0, 10574.0)	(35.0, 15047.0)	(36.0, 23718.0)	(37.0, 42045.0)	(38.0, 114276.0)	(39.0, 570935.0)	(40.0, 63339.0)
PID-2861-2_R1	(16.0, 2.0)	(17.0, 7.0)	(18.0, 28.0)	(19.0, 72.0)	(20.0, 135.0)	(21.0, 190.0)	(22.0, 245.0)	(23.0, 304.0)	(24.0, 411.0)	(25.0, 514.0)	(26.0, 622.0)	(27.0, 838.0)	(28.0, 981.0)	(29.0, 1252.0)	(30.0, 1618.0)	(31.0, 2080.0)	(32.0, 2843.0)	(33.0, 3919.0)	(34.0, 5658.0)	(35.0, 8150.0)	(36.0, 13125.0)	(37.0, 23003.0)	(38.0, 62393.0)	(39.0, 653206.0)	(40.0, 172232.0)			
PID-2861-2_R2	(13.0, 4.0)	(14.0, 62.0)	(15.0, 368.0)	(16.0, 1020.0)	(17.0, 1254.0)	(18.0, 1096.0)	(19.0, 908.0)	(20.0, 931.0)	(21.0, 1015.0)	(22.0, 1043.0)	(23.0, 1077.0)	(24.0, 1301.0)	(25.0, 1465.0)	(26.0, 1654.0)	(27.0, 1929.0)	(28.0, 2289.0)	(29.0, 2715.0)	(30.0, 3504.0)	(31.0, 4087.0)	(32.0, 5399.0)	(33.0, 7254.0)	(34.0, 10023.0)	(35.0, 13996.0)	(36.0, 22428.0)	(37.0, 39848.0)	(38.0, 110759.0)	(39.0, 636673.0)	(40.0, 79726.0)
PID-2861-30_R1	(15.0, 2.0)	(16.0, 5.0)	(17.0, 15.0)	(18.0, 29.0)	(19.0, 42.0)	(20.0, 104.0)	(21.0, 147.0)	(22.0, 189.0)	(23.0, 266.0)	(24.0, 323.0)	(25.0, 424.0)	(26.0, 568.0)	(27.0, 699.0)	(28.0, 971.0)	(29.0, 1273.0)	(30.0, 1563.0)	(31.0, 2181.0)	(32.0, 2961.0)	(33.0, 4122.0)	(34.0, 6228.0)	(35.0, 9285.0)	(36.0, 15864.0)	(37.0, 30345.0)	(38.0, 88611.0)	(39.0, 541271.0)	(40.0, 70576.0)		
PID-2861-30_R2	(13.0, 8.0)	(14.0, 57.0)	(15.0, 260.0)	(16.0, 844.0)	(17.0, 864.0)	(18.0, 603.0)	(19.0, 547.0)	(20.0, 573.0)	(21.0, 539.0)	(22.0, 550.0)	(23.0, 629.0)	(24.0, 693.0)	(25.0, 786.0)	(26.0, 909.0)	(27.0, 1053.0)	(28.0, 1310.0)	(29.0, 1591.0)	(30.0, 2088.0)	(31.0, 2558.0)	(32.0, 3542.0)	(33.0, 4870.0)	(34.0, 7001.0)	(35.0, 10573.0)	(36.0, 17715.0)	(37.0, 34300.0)	(38.0, 100102.0)	(39.0, 524444.0)	(40.0, 59055.0)
PID-2861-31_R1	(15.0, 2.0)	(16.0, 0.0)	(17.0, 5.0)	(18.0, 12.0)	(19.0, 25.0)	(20.0, 43.0)	(21.0, 78.0)	(22.0, 96.0)	(23.0, 133.0)	(24.0, 155.0)	(25.0, 173.0)	(26.0, 272.0)	(27.0, 279.0)	(28.0, 425.0)	(29.0, 511.0)	(30.0, 645.0)	(31.0, 885.0)	(32.0, 1289.0)	(33.0, 1717.0)	(34.0, 2469.0)	(35.0, 3899.0)	(36.0, 6683.0)	(37.0, 12228.0)	(38.0, 33833.0)	(39.0, 361795.0)	(40.0, 100423.0)		
PID-2861-31_R2	(13.0, 7.0)	(14.0, 54.0)	(15.0, 260.0)	(16.0, 739.0)	(17.0, 840.0)	(18.0, 729.0)	(19.0, 585.0)	(20.0, 558.0)	(21.0, 571.0)	(22.0, 626.0)	(23.0, 671.0)	(24.0, 695.0)	(25.0, 845.0)	(26.0, 969.0)	(27.0, 1131.0)	(28.0, 1298.0)	(29.0, 1522.0)	(30.0, 1910.0)	(31.0, 2354.0)	(32.0, 3135.0)	(33.0, 4113.0)	(34.0, 5758.0)	(35.0, 8073.0)	(36.0, 13292.0)	(37.0, 23603.0)	(38.0, 65073.0)	(39.0, 345362.0)	(40.0, 43302.0)
PID-2861-32_R1	(16.0, 1.0)	(17.0, 8.0)	(18.0, 26.0)	(19.0, 44.0)	(20.0, 106.0)	(21.0, 168.0)	(22.0, 205.0)	(23.0, 275.0)	(24.0, 365.0)	(25.0, 448.0)	(26.0, 560.0)	(27.0, 705.0)	(28.0, 907.0)	(29.0, 1151.0)	(30.0, 1434.0)	(31.0, 1802.0)	(32.0, 2395.0)	(33.0, 3382.0)	(34.0, 4851.0)	(35.0, 7021.0)	(36.0, 11361.0)	(37.0, 19802.0)	(38.0, 53066.0)	(39.0, 524803.0)	(40.0, 129513.0)			
PID-2861-32_R2	(13.0, 3.0)	(14.0, 45.0)	(15.0, 259.0)	(16.0, 761.0)	(17.0, 866.0)	(18.0, 853.0)	(19.0, 733.0)	(20.0, 806.0)	(21.0, 810.0)	(22.0, 885.0)	(23.0, 939.0)	(24.0, 1046.0)	(25.0, 1228.0)	(26.0, 1400.0)	(27.0, 1576.0)	(28.0, 2030.0)	(29.0, 2361.0)	(30.0, 2876.0)	(31.0, 3584.0)	(32.0, 4775.0)	(33.0, 6352.0)	(34.0, 8687.0)	(35.0, 12274.0)	(36.0, 19227.0)	(37.0, 34245.0)	(38.0, 93661.0)	(39.0, 503504.0)	(40.0, 58613.0)
PID-2861-33_R1	(16.0, 7.0)	(17.0, 28.0)	(18.0, 57.0)	(19.0, 91.0)	(20.0, 181.0)	(21.0, 242.0)	(22.0, 356.0)	(23.0, 438.0)	(24.0, 550.0)	(25.0, 736.0)	(26.0, 886.0)	(27.0, 1142.0)	(28.0, 1441.0)	(29.0, 1771.0)	(30.0, 2276.0)	(31.0, 2926.0)	(32.0, 3903.0)	(33.0, 5243.0)	(34.0, 7468.0)	(35.0, 10720.0)	(36.0, 16963.0)	(37.0, 29502.0)	(38.0, 78709.0)	(39.0, 839537.0)	(40.0, 226304.0)			
PID-2861-33_R2	(13.0, 7.0)	(14.0, 76.0)	(15.0, 439.0)	(16.0, 1461.0)	(17.0, 1707.0)	(18.0, 1450.0)	(19.0, 1420.0)	(20.0, 1420.0)	(21.0, 1369.0)	(22.0, 1488.0)	(23.0, 1637.0)	(24.0, 1776.0)	(25.0, 2091.0)	(26.0, 2502.0)	(27.0, 2824.0)	(28.0, 3457.0)	(29.0, 4070.0)	(30.0, 4958.0)	(31.0, 6131.0)	(32.0, 7885.0)	(33.0, 10278.0)	(34.0, 14291.0)	(35.0, 19851.0)	(36.0, 30814.0)	(37.0, 54982.0)	(38.0, 151765.0)	(39.0, 808514.0)	(40.0, 92814.0)
PID-2861-34_R1	(16.0, 3.0)	(17.0, 7.0)	(18.0, 23.0)	(19.0, 47.0)	(20.0, 80.0)	(21.0, 112.0)	(22.0, 189.0)	(23.0, 235.0)	(24.0, 291.0)	(25.0, 351.0)	(26.0, 463.0)	(27.0, 591.0)	(28.0, 753.0)	(29.0, 993.0)	(30.0, 1315.0)	(31.0, 1671.0)	(32.0, 2319.0)	(33.0, 2967.0)	(34.0, 4438.0)	(35.0, 6634.0)	(36.0, 10904.0)	(37.0, 19205.0)	(38.0, 53757.0)	(39.0, 603375.0)	(40.0, 168235.0)			
PID-2861-34_R2	(13.0, 3.0)	(14.0, 60.0)	(15.0, 302.0)	(16.0, 967.0)	(17.0, 1074.0)	(18.0, 873.0)	(19.0, 757.0)	(20.0, 775.0)	(21.0, 781.0)	(22.0, 784.0)	(23.0, 914.0)	(24.0, 1034.0)	(25.0, 1085.0)	(26.0, 1296.0)	(27.0, 1496.0)	(28.0, 1813.0)	(29.0, 2320.0)	(30.0, 2764.0)	(31.0, 3381.0)	(32.0, 4448.0)	(33.0, 6121.0)	(34.0, 8346.0)	(35.0, 12110.0)	(36.0, 19411.0)	(37.0, 35176.0)	(38.0, 98824.0)	(39.0, 593234.0)	(40.0, 78809.0)
PID-2861-35_R1	(16.0, 3.0)	(17.0, 12.0)	(18.0, 27.0)	(19.0, 39.0)	(20.0, 91.0)	(21.0, 157.0)	(22.0, 204.0)	(23.0, 258.0)	(24.0, 293.0)	(25.0, 413.0)	(26.0, 487.0)	(27.0, 643.0)	(28.0, 790.0)	(29.0, 984.0)	(30.0, 1338.0)	(31.0, 1727.0)	(32.0, 2317.0)	(33.0, 3153.0)	(34.0, 4650.0)	(35.0, 6881.0)	(36.0, 11228.0)	(37.0, 20080.0)	(38.0, 54896.0)	(39.0, 594308.0)	(40.0, 157652.0)			
PID-2861-35_R2	(13.0, 1.0)	(14.0, 66.0)	(15.0, 343.0)	(16.0, 985.0)	(17.0, 1104.0)	(18.0, 947.0)	(19.0, 860.0)	(20.0, 863.0)	(21.0, 885.0)	(22.0, 901.0)	(23.0, 960.0)	(24.0, 1088.0)	(25.0, 1252.0)	(26.0, 1394.0)	(27.0, 1646.0)	(28.0, 1998.0)	(29.0, 2462.0)	(30.0, 3007.0)	(31.0, 3691.0)	(32.0, 4921.0)	(33.0, 6441.0)	(34.0, 9248.0)	(35.0, 12970.0)	(36.0, 20948.0)	(37.0, 37624.0)	(38.0, 105122.0)	(39.0, 573901.0)	(40.0, 67003.0)
PID-2861-36_R1	(16.0, 4.0)	(17.0, 20.0)	(18.0, 43.0)	(19.0, 77.0)	(20.0, 163.0)	(21.0, 224.0)	(22.0, 334.0)	(23.0, 400.0)	(24.0, 475.0)	(25.0, 643.0)	(26.0, 863.0)	(27.0, 1008.0)	(28.0, 1212.0)	(29.0, 1626.0)	(30.0, 2013.0)	(31.0, 2647.0)	(32.0, 3583.0)	(33.0, 4578.0)	(34.0, 6608.0)	(35.0, 9336.0)	(36.0, 15054.0)	(37.0, 26262.0)	(38.0, 69749.0)	(39.0, 734009.0)	(40.0, 187527.0)			
PID-2861-36_R2	(13.0, 17.0)	(14.0, 67.0)	(15.0, 430.0)	(16.0, 1281.0)	(17.0, 1371.0)	(18.0, 1197.0)	(19.0, 1106.0)	(20.0, 1005.0)	(21.0, 1029.0)	(22.0, 1144.0)	(23.0, 1170.0)	(24.0, 1398.0)	(25.0, 1614.0)	(26.0, 1859.0)	(27.0, 2117.0)	(28.0, 2474.0)	(29.0, 3004.0)	(30.0, 3593.0)	(31.0, 4492.0)	(32.0, 5928.0)	(33.0, 7808.0)	(34.0, 10820.0)	(35.0, 15377.0)	(36.0, 24017.0)	(37.0, 42675.0)	(38.0, 120417.0)	(39.0, 718974.0)	(40.0, 92074.0)
PID-2861-37_R1	(17.0, 7.0)	(18.0, 5.0)	(19.0, 21.0)	(20.0, 39.0)	(21.0, 69.0)	(22.0, 123.0)	(23.0, 162.0)	(24.0, 231.0)	(25.0, 350.0)	(26.0, 524.0)	(27.0, 704.0)	(28.0, 1041.0)	(29.0, 1582.0)	(30.0, 2596.0)	(31.0, 4268.0)	(32.0, 7034.0)	(33.0, 12692.0)	(34.0, 22751.0)	(35.0, 39832.0)	(36.0, 69430.0)	(37.0, 103824.0)	(38.0, 117048.0)	(39.0, 59529.0)	(40.0, 1342.0)				
PID-2861-37_R2	(14.0, 8.0)	(15.0, 98.0)	(16.0, 388.0)	(17.0, 298.0)	(18.0, 169.0)	(19.0, 153.0)	(20.0, 135.0)	(21.0, 134.0)	(22.0, 116.0)	(23.0, 111.0)	(24.0, 150.0)	(25.0, 162.0)	(26.0, 184.0)	(27.0, 200.0)	(28.0, 235.0)	(29.0, 299.0)	(30.0, 396.0)	(31.0, 508.0)	(32.0, 636.0)	(33.0, 976.0)	(34.0, 1497.0)	(35.0, 2387.0)	(36.0, 4916.0)	(37.0, 11842.0)	(38.0, 49603.0)	(39.0, 333604.0)	(40.0, 35999.0)	
PID-2861-38_R1	(16.0, 2.0)	(17.0, 13.0)	(18.0, 34.0)	(19.0, 60.0)	(20.0, 125.0)	(21.0, 164.0)	(22.0, 256.0)	(23.0, 303.0)	(24.0, 429.0)	(25.0, 566.0)	(26.0, 744.0)	(27.0, 826.0)	(28.0, 1077.0)	(29.0, 1426.0)	(30.0, 1818.0)	(31.0, 2251.0)	(32.0, 3176.0)	(33.0, 4300.0)	(34.0, 6201.0)	(35.0, 9097.0)	(36.0, 14905.0)	(37.0, 26306.0)	(38.0, 72326.0)	(39.0, 750223.0)	(40.0, 194328.0)			
PID-2861-38_R2	(13.0, 6.0)	(14.0, 83.0)	(15.0, 389.0)	(16.0, 1188.0)	(17.0, 1284.0)	(18.0, 1120.0)	(19.0, 1043.0)	(20.0, 1009.0)	(21.0, 1050.0)	(22.0, 1101.0)	(23.0, 1241.0)	(24.0, 1351.0)	(25.0, 1655.0)	(26.0, 1833.0)	(27.0, 2101.0)	(28.0, 2679.0)	(29.0, 3029.0)	(30.0, 3770.0)	(31.0, 4639.0)	(32.0, 6347.0)	(33.0, 8156.0)	(34.0, 11285.0)	(35.0, 16039.0)	(36.0, 25569.0)	(37.0, 45361.0)	(38.0, 128001.0)	(39.0, 729966.0)	(40.0, 89661.0)
PID-2861-39_R1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 13.0)	(18.0, 42.0)	(19.0, 59.0)	(20.0, 124.0)	(21.0, 220.0)	(22.0, 271.0)	(23.0, 358.0)	(24.0, 464.0)	(25.0, 612.0)	(26.0, 766.0)	(27.0, 992.0)	(28.0, 1151.0)	(29.0, 1469.0)	(30.0, 1968.0)	(31.0, 2537.0)	(32.0, 3270.0)	(33.0, 4603.0)	(34.0, 6612.0)	(35.0, 9373.0)	(36.0, 14872.0)	(37.0, 26090.0)	(38.0, 68916.0)	(39.0, 715481.0)	(40.0, 186617.0)		
PID-2861-39_R2	(13.0, 9.0)	(14.0, 78.0)	(15.0, 494.0)	(16.0, 1461.0)	(17.0, 1659.0)	(18.0, 1454.0)	(19.0, 1219.0)	(20.0, 1236.0)	(21.0, 1371.0)	(22.0, 1382.0)	(23.0, 1551.0)	(24.0, 1780.0)	(25.0, 1935.0)	(26.0, 2226.0)	(27.0, 2560.0)	(28.0, 3052.0)	(29.0, 3753.0)	(30.0, 4451.0)	(31.0, 5316.0)	(32.0, 7232.0)	(33.0, 9243.0)	(34.0, 12974.0)	(35.0, 17708.0)	(36.0, 28265.0)	(37.0, 49563.0)	(38.0, 135802.0)	(39.0, 676341.0)	(40.0, 72768.0)
PID-2861-3_R1	(16.0, 3.0)	(17.0, 11.0)	(18.0, 28.0)	(19.0, 61.0)	(20.0, 108.0)	(21.0, 167.0)	(22.0, 229.0)	(23.0, 287.0)	(24.0, 405.0)	(25.0, 550.0)	(26.0, 701.0)	(27.0, 874.0)	(28.0, 1262.0)	(29.0, 1589.0)	(30.0, 2197.0)	(31.0, 2929.0)	(32.0, 4558.0)	(33.0, 6368.0)	(34.0, 10234.0)	(35.0, 16555.0)	(36.0, 30739.0)	(37.0, 65336.0)	(38.0, 200450.0)	(39.0, 513199.0)	(40.0, 22591.0)			
PID-2861-3_R2	(13.0, 4.0)	(14.0, 22.0)	(15.0, 215.0)	(16.0, 772.0)	(17.0, 722.0)	(18.0, 427.0)	(19.0, 356.0)	(20.0, 357.0)	(21.0, 303.0)	(22.0, 312.0)	(23.0, 355.0)	(24.0, 374.0)	(25.0, 495.0)	(26.0, 558.0)	(27.0, 600.0)	(28.0, 751.0)	(29.0, 910.0)	(30.0, 1149.0)	(31.0, 1494.0)	(32.0, 2071.0)	(33.0, 2886.0)	(34.0, 4425.0)	(35.0, 6818.0)	(36.0, 12443.0)	(37.0, 26305.0)	(38.0, 92951.0)	(39.0, 641594.0)	(40.0, 81762.0)
PID-2861-40_R1	(16.0, 5.0)	(17.0, 9.0)	(18.0, 26.0)	(19.0, 66.0)	(20.0, 102.0)	(21.0, 178.0)	(22.0, 232.0)	(23.0, 297.0)	(24.0, 382.0)	(25.0, 473.0)	(26.0, 624.0)	(27.0, 768.0)	(28.0, 951.0)	(29.0, 1213.0)	(30.0, 1605.0)	(31.0, 2000.0)	(32.0, 2726.0)	(33.0, 3735.0)	(34.0, 5551.0)	(35.0, 7927.0)	(36.0, 12955.0)	(37.0, 23391.0)	(38.0, 62001.0)	(39.0, 657298.0)	(40.0, 172168.0)			
PID-2861-40_R2	(13.0, 6.0)	(14.0, 63.0)	(15.0, 359.0)	(16.0, 1199.0)	(17.0, 1319.0)	(18.0, 1151.0)	(19.0, 1019.0)	(20.0, 1021.0)	(21.0, 1081.0)	(22.0, 1102.0)	(23.0, 1204.0)	(24.0, 1309.0)	(25.0, 1571.0)	(26.0, 1739.0)	(27.0, 1995.0)	(28.0, 2483.0)	(29.0, 2851.0)	(30.0, 3557.0)	(31.0, 4367.0)	(32.0, 5880.0)	(33.0, 7400.0)	(34.0, 10461.0)	(35.0, 14774.0)	(36.0, 23517.0)	(37.0, 41774.0)	(38.0, 115761.0)	(39.0, 632084.0)	(40.0, 75636.0)
PID-2861-4_R1	(16.0, 1.0)	(17.0, 10.0)	(18.0, 30.0)	(19.0, 40.0)	(20.0, 77.0)	(21.0, 126.0)	(22.0, 209.0)	(23.0, 219.0)	(24.0, 294.0)	(25.0, 369.0)	(26.0, 485.0)	(27.0, 576.0)	(28.0, 689.0)	(29.0, 952.0)	(30.0, 1234.0)	(31.0, 1638.0)	(32.0, 2248.0)	(33.0, 3111.0)	(34.0, 4482.0)	(35.0, 6587.0)	(36.0, 10934.0)	(37.0, 20204.0)	(38.0, 56560.0)	(39.0, 635092.0)	(40.0, 166072.0)			
PID-2861-4_R2	(13.0, 3.0)	(14.0, 82.0)	(15.0, 390.0)	(16.0, 1141.0)	(17.0, 1243.0)	(18.0, 967.0)	(19.0, 878.0)	(20.0, 883.0)	(21.0, 822.0)	(22.0, 893.0)	(23.0, 1003.0)	(24.0, 1042.0)	(25.0, 1182.0)	(26.0, 1455.0)	(27.0, 1635.0)	(28.0, 1927.0)	(29.0, 2253.0)	(30.0, 2934.0)	(31.0, 3566.0)	(32.0, 4879.0)	(33.0, 6166.0)	(34.0, 8725.0)	(35.0, 12672.0)	(36.0, 20365.0)	(37.0, 37597.0)	(38.0, 109145.0)	(39.0, 614242.0)	(40.0, 74149.0)
PID-2861-5_R1	(16.0, 1.0)	(17.0, 12.0)	(18.0, 20.0)	(19.0, 66.0)	(20.0, 89.0)	(21.0, 121.0)	(22.0, 181.0)	(23.0, 243.0)	(24.0, 300.0)	(25.0, 398.0)	(26.0, 469.0)	(27.0, 552.0)	(28.0, 737.0)	(29.0, 921.0)	(30.0, 1280.0)	(31.0, 1488.0)	(32.0, 2170.0)	(33.0, 2848.0)	(34.0, 4345.0)	(35.0, 6225.0)	(36.0, 10442.0)	(37.0, 18576.0)	(38.0, 51114.0)	(39.0, 585279.0)	(40.0, 169079.0)			
PID-2861-5_R2	(13.0, 8.0)	(14.0, 63.0)	(15.0, 348.0)	(16.0, 1106.0)	(17.0, 1193.0)	(18.0, 1056.0)	(19.0, 931.0)	(20.0, 934.0)	(21.0, 927.0)	(22.0, 916.0)	(23.0, 960.0)	(24.0, 1173.0)	(25.0, 1287.0)	(26.0, 1532.0)	(27.0, 1678.0)	(28.0, 2022.0)	(29.0, 2410.0)	(30.0, 2995.0)	(31.0, 3662.0)	(32.0, 4848.0)	(33.0, 6296.0)	(34.0, 8661.0)	(35.0, 12367.0)	(36.0, 19831.0)	(37.0, 35295.0)	(38.0, 98149.0)	(39.0, 572710.0)	(40.0, 73598.0)
PID-2861-6_R1	(16.0, 8.0)	(17.0, 15.0)	(18.0, 24.0)	(19.0, 66.0)	(20.0, 106.0)	(21.0, 158.0)	(22.0, 227.0)	(23.0, 296.0)	(24.0, 395.0)	(25.0, 502.0)	(26.0, 571.0)	(27.0, 751.0)	(28.0, 952.0)	(29.0, 1156.0)	(30.0, 1522.0)	(31.0, 1913.0)	(32.0, 2712.0)	(33.0, 3503.0)	(34.0, 5157.0)	(35.0, 7522.0)	(36.0, 12283.0)	(37.0, 21320.0)	(38.0, 57821.0)	(39.0, 624537.0)	(40.0, 165441.0)			
PID-2861-6_R2	(13.0, 3.0)	(14.0, 50.0)	(15.0, 304.0)	(16.0, 1052.0)	(17.0, 1261.0)	(18.0, 1092.0)	(19.0, 937.0)	(20.0, 965.0)	(21.0, 975.0)	(22.0, 1072.0)	(23.0, 1156.0)	(24.0, 1273.0)	(25.0, 1438.0)	(26.0, 1646.0)	(27.0, 1883.0)	(28.0, 2331.0)	(29.0, 2851.0)	(30.0, 3303.0)	(31.0, 4016.0)	(32.0, 5529.0)	(33.0, 7144.0)	(34.0, 9830.0)	(35.0, 13646.0)	(36.0, 21785.0)	(37.0, 38981.0)	(38.0, 107933.0)	(39.0, 602756.0)	(40.0, 73746.0)
PID-2861-7_R1	(16.0, 2.0)	(17.0, 12.0)	(18.0, 40.0)	(19.0, 57.0)	(20.0, 105.0)	(21.0, 160.0)	(22.0, 202.0)	(23.0, 272.0)	(24.0, 346.0)	(25.0, 466.0)	(26.0, 580.0)	(27.0, 674.0)	(28.0, 893.0)	(29.0, 1118.0)	(30.0, 1523.0)	(31.0, 1941.0)	(32.0, 2621.0)	(33.0, 3549.0)	(34.0, 5234.0)	(35.0, 7628.0)	(36.0, 12900.0)	(37.0, 22746.0)	(38.0, 61559.0)	(39.0, 666647.0)	(40.0, 177053.0)			
PID-2861-7_R2	(13.0, 7.0)	(14.0, 62.0)	(15.0, 375.0)	(16.0, 1158.0)	(17.0, 1347.0)	(18.0, 1165.0)	(19.0, 965.0)	(20.0, 955.0)	(21.0, 959.0)	(22.0, 1033.0)	(23.0, 1116.0)	(24.0, 1274.0)	(25.0, 1473.0)	(26.0, 1560.0)	(27.0, 1797.0)	(28.0, 2267.0)	(29.0, 2654.0)	(30.0, 3357.0)	(31.0, 4145.0)	(32.0, 5590.0)	(33.0, 7227.0)	(34.0, 10112.0)	(35.0, 14291.0)	(36.0, 22837.0)	(37.0, 40786.0)	(38.0, 114597.0)	(39.0, 646584.0)	(40.0, 78635.0)
PID-2861-8_R1	(16.0, 3.0)	(17.0, 19.0)	(18.0, 37.0)	(19.0, 68.0)	(20.0, 120.0)	(21.0, 181.0)	(22.0, 258.0)	(23.0, 303.0)	(24.0, 421.0)	(25.0, 563.0)	(26.0, 677.0)	(27.0, 786.0)	(28.0, 1170.0)	(29.0, 1398.0)	(30.0, 1880.0)	(31.0, 2354.0)	(32.0, 3082.0)	(33.0, 4306.0)	(34.0, 6207.0)	(35.0, 9082.0)	(36.0, 14740.0)	(37.0, 26414.0)	(38.0, 72327.0)	(39.0, 682000.0)	(40.0, 150899.0)			
PID-2861-8_R2	(13.0, 8.0)	(14.0, 93.0)	(15.0, 483.0)	(16.0, 1373.0)	(17.0, 1822.0)	(18.0, 1629.0)	(19.0, 1475.0)	(20.0, 1459.0)	(21.0, 1597.0)	(22.0, 1653.0)	(23.0, 1671.0)	(24.0, 1989.0)	(25.0, 2102.0)	(26.0, 2511.0)	(27.0, 2788.0)	(28.0, 3494.0)	(29.0, 4225.0)	(30.0, 5032.0)	(31.0, 6348.0)	(32.0, 8335.0)	(33.0, 10885.0)	(34.0, 15021.0)	(35.0, 21300.0)	(36.0, 34324.0)	(37.0, 61867.0)	(38.0, 171009.0)	(39.0, 574866.0)	(40.0, 39936.0)
PID-2861-9_R1	(15.0, 1.0)	(16.0, 3.0)	(17.0, 25.0)	(18.0, 40.0)	(19.0, 77.0)	(20.0, 168.0)	(21.0, 250.0)	(22.0, 291.0)	(23.0, 377.0)	(24.0, 498.0)	(25.0, 682.0)	(26.0, 839.0)	(27.0, 998.0)	(28.0, 1286.0)	(29.0, 1600.0)	(30.0, 2103.0)	(31.0, 2539.0)	(32.0, 3503.0)	(33.0, 4703.0)	(34.0, 6599.0)	(35.0, 9400.0)	(36.0, 15093.0)	(37.0, 26179.0)	(38.0, 69163.0)	(39.0, 716541.0)	(40.0, 181365.0)		
PID-2861-9_R2	(13.0, 10.0)	(14.0, 64.0)	(15.0, 382.0)	(16.0, 1202.0)	(17.0, 1439.0)	(18.0, 1258.0)	(19.0, 1103.0)	(20.0, 1141.0)	(21.0, 1180.0)	(22.0, 1284.0)	(23.0, 1358.0)	(24.0, 1598.0)	(25.0, 1772.0)	(26.0, 1977.0)	(27.0, 2344.0)	(28.0, 2819.0)	(29.0, 3291.0)	(30.0, 3984.0)	(31.0, 4907.0)	(32.0, 6421.0)	(33.0, 8326.0)	(34.0, 11953.0)	(35.0, 16252.0)	(36.0, 25835.0)	(37.0, 44924.0)	(38.0, 126673.0)	(39.0, 689585.0)	(40.0, 81241.0)
