Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PID-2861-15_R1	(1, 0.0)	(2, 0.02974296132820168)	(3, 0.0009914320442733894)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09331428711929714)	(35, 0.09474323749817573)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00015875781534957874)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.00011944629475602896)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.00011997725231296145)	(115, 0.00016019986535201317)	(120, 0.0006818437053793458)	(125, 8.035139271060201e-05)	(130, 0.0)	(135, 0.0)	(140, 4.04694947019361e-05)	(145, 0.0)	(150, 0.0)
PID-2861-15_R2	(1, 0.0003965728177093557)	(2, 0.0)	(3, 0.0027760097239654903)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0003569182252756797)	(35, 3.965811531945405e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00019844726918697347)	(65, 3.9703856872360436e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 3.978734460057883e-05)	(90, 0.00023889258951205792)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 4.004996633800329e-05)	(120, 0.0007219521586369543)	(125, 8.035139271060201e-05)	(130, 0.0)	(135, 4.0343321667389485e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0003919570415082507)
PID-2861-16_R1	(1, 0.0008227382924340986)	(2, 0.022625303041937713)	(3, 0.0015083535361291808)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09329998082989811)	(35, 0.0845261012047849)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 5.526455696062622e-05)	(115, 2.7668211659605743e-05)	(120, 0.00022163967926522012)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
PID-2861-16_R2	(1, 0.0)	(2, 0.0)	(3, 0.0010969843899121315)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00019197526919732122)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.7451689829945016e-05)	(65, 2.7462085844283385e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 2.7517477725977654e-05)	(90, 0.00011013479673108909)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.7668211659605743e-05)	(120, 0.0003047545589896777)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.00018024497094000456)
PID-2861-17_R1	(1, 0.0)	(2, 0.024801858281963258)	(3, 0.0017481486013718596)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09549497536907059)	(35, 0.08571042072190377)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 2.197979968489759e-05)	(95, 0.0)	(100, 0.0)	(105, 4.4119265846592464e-05)	(110, 4.417465510085847e-05)	(115, 2.212351692238871e-05)	(120, 0.0002880659804048657)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 6.708698901517642e-05)	(145, 0.0)	(150, 0.0)
PID-2861-17_R2	(1, 0.00010925928758574122)	(2, 0.0)	(3, 0.001529630026200377)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00026222876531552567)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.1883820547419393e-05)	(65, 2.1896744151215412e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 2.196124455251329e-05)	(90, 0.00015385859779428314)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00035454274511368083)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.00014423364696939867)
PID-2861-18_R1	(1, 0.00010166258999680779)	(2, 0.028668850379099796)	(3, 0.0026432273399170027)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09822859141297895)	(35, 0.09286572819480371)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.0725027667565674e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 4.109891934501475e-05)	(115, 2.0582852878090025e-05)	(120, 0.0004123394221434104)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 4.163962693392645e-05)	(145, 0.0)	(150, 0.0)
PID-2861-18_R2	(1, 0.00020332517999361558)	(2, 0.0)	(3, 0.0020332517999361558)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0003049945914292453)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.0362513833782837e-05)	(65, 2.0374765282703942e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 4.086711017016861e-05)	(90, 0.00010225195618217373)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0005772751910007746)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.00013431057709225658)
PID-2861-19_R1	(1, 0.00017859120116870084)	(2, 0.026877975775889473)	(3, 0.002321685615193111)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09099454086333549)	(35, 0.09355390717944972)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.365827832763602e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 5.389124423565778e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.805441963165373e-05)	(115, 0.0)	(120, 0.0003622878623422055)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 1.8292460963430994e-05)	(145, 0.0)	(150, 0.0)
PID-2861-19_R2	(1, 8.929560058435042e-05)	(2, 0.0)	(3, 0.0017859120116870083)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0003571915244880686)	(35, 1.786061610909693e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0001252026494311507)	(65, 1.7896166086443134e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.7948307438711914e-05)	(90, 0.00023352872502118376)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.808437300393733e-05)	(120, 0.00047097422104486723)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.00011811256127089117)
