strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
VU,stat,87501,-0.694474,303.5,230.5,0.39692976582634404,No substantial change
VU,stat,88501,-0.693995,406.5,315,0.36790352368774903,No substantial change
VU,stat,89501,-0.693517,387.5,324,0.2582024972769753,No substantial change
VU,stat,90501,-0.693039,471,367.5,0.3579828098890565,No substantial change
VU,stat,91501,-0.692561,393.5,326.5,0.2692806439610555,No substantial change
VU,stat,92501,-0.692082,402.5,310,0.3767205677277417,No substantial change
VU,stat,93501,-0.691604,473.5,340,0.47782967933068315,No substantial change
VU,stat,94501,-0.691126,419.5,326,0.3637988462087457,No substantial change
VU,stat,95501,-0.690647,395,332,0.2506694117175404,No substantial change
VU,stat,96501,-0.690169,442,353,0.32437818612025116,No substantial change
VU,stat,97501,-0.689691,445,327,0.44451470035567753,No substantial change
VU,stat,98501,-0.689213,434.5,284.5,0.6109275245078183,No substantial change
VU,stat,99501,-0.688734,470,366.5,0.3588475584311879,No substantial change
VU,stat,100501,-0.688256,427,361,0.24223723273331943,No substantial change
VU,stat,101501,-0.687778,447.5,327.5,0.4503927757268061,No substantial change
VU,stat,102501,-0.687299,298,229.5,0.3768181770483535,No substantial change
VU,stat,103501,-0.686821,348.5,282.5,0.3029077885658731,No substantial change
VU,stat,104501,-0.686343,403.5,332,0.2813854319308556,No substantial change
VU,stat,105501,-0.685864,305.5,322,-0.07588830829588739,No substantial change
VU,stat,106501,-0.685386,393.5,319,0.3028072117426171,No substantial change
VU,stat,107501,-0.684908,403.5,315,0.3572168448905014,No substantial change
VU,stat,108501,-0.68443,453.5,348.5,0.3799438946600993,No substantial change
VU,stat,109501,-0.683951,391.5,301,0.3792488205313386,No substantial change
VU,stat,110501,-0.683473,393.5,292,0.430395266627469,No substantial change
VU,stat,111501,-0.682995,426.5,307,0.4743070859481108,No substantial change
VU,stat,112501,-0.682516,399,270.5,0.5607601523955306,No substantial change
VU,stat,113501,-0.682038,313.5,235,0.4158046862370393,No substantial change
VU,stat,114501,-0.68156,334.5,278,0.2669213279179536,No substantial change
VU,stat,115501,-0.681082,365,283,0.36709441093549733,No substantial change
VU,stat,116501,-0.680603,328,290,0.17764291460314927,No substantial change
VU,stat,117501,-0.680125,320,266,0.2666456593861727,No substantial change
VU,stat,118501,-0.679647,333.5,289,0.2066172686839062,No substantial change
VU,stat,119501,-0.679168,525,417.5,0.3305412251920703,No substantial change
VU,stat,120501,-0.67869,464.5,356.5,0.3817765199387648,No substantial change
VU,stat,121501,-0.678212,442.5,388,0.18962080278323204,No substantial change
VU,stat,122501,-0.677734,445,342.5,0.377701348005871,No substantial change
VU,stat,123501,-0.677255,355,279,0.34755390256285673,No substantial change
VU,stat,124501,-0.676777,344,279,0.30214344287291045,No substantial change
VU,stat,125501,-0.676299,362,278,0.3809048143596978,No substantial change
VU,stat,126501,-0.67582,388,330.5,0.23140638067943592,No substantial change
VU,stat,127501,-0.675342,512.5,366,0.485708356108766,No substantial change
VU,stat,128501,-0.674864,449,316,0.506790886564044,No substantial change
VU,stat,129501,-0.674386,417.5,335.5,0.315463431161231,No substantial change
VU,stat,130501,-0.673907,370.5,348,0.0903862364571056,No substantial change
VU,stat,131501,-0.67342900000000006,430,327,0.3950460240913778,No substantial change
VU,stat,132501,-0.672951,417.5,332.5,0.32842185697286275,No substantial change
VU,stat,133501,-0.672472,342,269.5,0.3437110521333923,No substantial change
VU,stat,134501,-0.671994,346,284.5,0.28234338533014286,No substantial change
VU,stat,135501,-0.671516,531,448.5,0.24360387588489252,No substantial change
VU,stat,136501,-0.671038,384,310,0.3088380954469187,No substantial change
VU,stat,137501,-0.670559,367,283,0.3749780100113306,No substantial change
VU,stat,138501,-0.670081,379.5,272,0.48049323416512696,No substantial change
VU,stat,139501,-0.669603,356,298.5,0.2541463097015927,No substantial change
VU,stat,140501,-0.669124,321.5,290.5,0.14628057392341837,No substantial change
VU,stat,141501,-0.668646,351,309.5,0.18153162109029602,No substantial change
VU,stat,142501,-0.668168,357,292,0.28995570514908237,No substantial change
VU,stat,143501,-0.66769,362.5,294.5,0.29971336107183605,No substantial change
VU,stat,144501,-0.667211,391,342,0.1931722824214545,No substantial change
VU,stat,145501,-0.666733,440,343,0.3592949473518473,No substantial change
VU,stat,146501,-0.666255,355,274.5,0.37101287538684574,No substantial change
VU,stat,147501,-0.665776,400.5,311.5,0.36257007938470837,No substantial change
VU,stat,148501,-0.665298,323,257.5,0.32696173262334416,No substantial change
VU,stat,149501,-0.66482,326,248.5,0.3916261126687913,No substantial change
VU,stat,150501,-0.664342,319,247.5,0.3661278987978975,No substantial change
VU,stat,151501,-0.663863,334,283,0.23904604964216983,No substantial change
VU,stat,152501,-0.663385,345,276.5,0.31931688143082426,No substantial change
VU,stat,153501,-0.662907,461,365,0.33687028666195845,No substantial change
VU,stat,154501,-0.662428,418,333,0.3279807650096205,No substantial change
VU,stat,155501,-0.66195,422,321,0.3946697015848819,No substantial change
VU,stat,156501,-0.661472,374.5,303,0.3056479249858,No substantial change
VU,stat,157501,-0.660994,401,324,0.3076084235702955,No substantial change
VU,stat,158501,-0.660515,403.5,354,0.18881931319478298,No substantial change
VU,stat,159501,-0.660037,358.5,273.5,0.3904322859093481,No substantial change
VU,stat,160501,-0.659559,397,315,0.3337871787556789,No substantial change
VU,stat,161501,-0.65908,423,325,0.3802179452041329,No substantial change
VU,stat,162501,-0.658602,521,361.5,0.5272877253273904,No substantial change
VU,stat,163501,-0.658124,518,386,0.4243512504184736,No substantial change
VU,stat,164501,-0.657646,422.5,313,0.4327886842369283,No substantial change
VU,stat,165501,-0.657167,305,225.5,0.43568180919486765,No substantial change
VU,stat,166501,-0.656689,374,296.5,0.3350061653416331,No substantial change
VU,stat,167501,-0.656211,407.5,335,0.2826389637733052,No substantial change
VU,stat,168501,-0.655732,392.5,322,0.28563196566437243,No substantial change
VU,stat,169501,-0.655254,376,281.5,0.41759773959740776,No substantial change
VU,stat,170501,-0.654776,322.5,271.5,0.24834696250625488,No substantial change
VU,stat,171501,-0.654298,432.5,321,0.4301268354017839,No substantial change
VU,stat,172501,-0.653819,377.5,279.5,0.43362836136925126,No substantial change
VU,stat,173501,-0.653341,403,312,0.3692338096657191,No substantial change
VU,stat,174501,-0.652863,401,296,0.4380050608259706,No substantial change
VU,stat,175501,-0.652384,376,307,0.2924940063074581,No substantial change
VU,stat,176501,-0.651906,398.5,351,0.18310869368591112,No substantial change
VU,stat,177501,-0.651428,387,335,0.2081724707992756,No substantial change
VU,stat,178501,-0.650949,379,283,0.42139579533920934,No substantial change
VU,stat,179501,-0.650471,371.5,341.5,0.12147663224850562,No substantial change
VU,stat,180501,-0.649993,363.5,257.5,0.4973829318490136,No substantial change
VU,stat,181501,-0.649515,324.5,258.5,0.3280541976842038,No substantial change
VU,stat,182501,-0.649036,440.5,363.5,0.2771866550008193,No substantial change
