strain,phase,n_windows,n_excluded,t_test_p,mwu_p,n_up,n_down,n_ns
mff,stat,3857,0,0,0,0,0,3857
mff,exp,3857,0,0.05153043936613901,0.014958825709798248,0,0,3857
