strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
mff,stat,85501,-0.955683,243.5,316,-0.3760027860947608,No substantial change
mff,stat,86501,-0.955162,256.5,288.5,-0.16961249303842837,No substantial change
mff,stat,87501,-0.95464,283,329.5,-0.21947641217616934,No substantial change
mff,stat,88501,-0.954119,248.5,366.5,-0.5605673465715257,No substantial change
mff,stat,89501,-0.953597,282,351.5,-0.3178295266737417,No substantial change
mff,stat,90501,-0.953076,337.5,387.5,-0.19930880822340666,No substantial change
mff,stat,91501,-0.952555,324,398.5,-0.29858591110584703,No substantial change
mff,stat,92501,-0.952033,308,375.5,-0.28588255681937047,No substantial change
mff,stat,93501,-0.951512,289.5,338,-0.22345989829294774,No substantial change
mff,stat,94501,-0.950991,303.5,400.5,-0.4001057261530281,No substantial change
mff,stat,95501,-0.950469,318.5,357,-0.16463070177279923,No substantial change
mff,stat,96501,-0.949948,289,362,-0.3249202045825265,No substantial change
mff,stat,97501,-0.949426,283.5,341.5,-0.26853684334786165,No substantial change
mff,stat,98501,-0.948905,243,325,-0.419483404310036,No substantial change
mff,stat,99501,-0.948384,283,343.5,-0.2795080459862178,No substantial change
mff,stat,100501,-0.947862,240,336,-0.4854268271702417,No substantial change
mff,stat,101501,-0.947341,242,297,-0.29545588352617136,No substantial change
mff,stat,102501,-0.94682,245.5,328,-0.4179727903033905,No substantial change
mff,stat,103501,-0.946298,293.5,408.5,-0.47697557503563115,No substantial change
mff,stat,104501,-0.945777,288,359,-0.317915032380739,No substantial change
mff,stat,105501,-0.945255,301,368,-0.28994227929731076,No substantial change
mff,stat,106501,-0.944734,360,446.5,-0.3106632687915482,No substantial change
mff,stat,107501,-0.944213,343,401,-0.22539366028210794,No substantial change
mff,stat,108501,-0.943691,263.5,345,-0.3887934000283168,No substantial change
mff,stat,109501,-0.94317,302.5,410,-0.4386887673434892,No substantial change
mff,stat,110501,-0.942649,289.5,387.5,-0.42063296217236334,No substantial change
mff,stat,111501,-0.942127,286,358,-0.323944440485867,No substantial change
mff,stat,112501,-0.941606,263.5,348,-0.40128434421151365,No substantial change
mff,stat,113501,-0.941084,280,325.5,-0.21723071622066903,No substantial change
mff,stat,114501,-0.940563,250,319,-0.35162832910278236,No substantial change
mff,stat,115501,-0.940042,308,394,-0.3552652787614749,No substantial change
mff,stat,116501,-0.93952,218,334,-0.6155199676971258,No substantial change
mff,stat,117501,-0.938999,219.5,323.5,-0.5595447724571493,No substantial change
mff,stat,118501,-0.938478,301,384,-0.3513428239614542,No substantial change
mff,stat,119501,-0.937956,257,342,-0.4122279656920197,No substantial change
mff,stat,120501,-0.937435,350.5,422.5,-0.26953689715892354,No substantial change
mff,stat,121501,-0.936913,329,373,-0.18108804651999624,No substantial change
mff,stat,122501,-0.936392,243.5,313.5,-0.3645436707196968,No substantial change
mff,stat,123501,-0.935871,260.5,343,-0.39692520389430413,No substantial change
mff,stat,124501,-0.935349,265.5,343,-0.36949671536865863,No substantial change
mff,stat,125501,-0.934828,242,266.5,-0.1391284854845814,No substantial change
mff,stat,126501,-0.934307,232,333.5,-0.523561956057013,No substantial change
mff,stat,127501,-0.933785,372,473.5,-0.34806180436035367,No substantial change
