strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
mff,stat,50501,-0.973931,288.5,343.5,-0.25173878017261764,0.2528043304593192,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,51501,-0.97341,219,224.5,-0.035784575139973546,0.9197247521494509,0.9235559409113335,1,Not significant
mff,stat,52501,-0.972888,230.5,262.5,-0.1875506721241471,0.4266877822402507,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,53501,-0.972367,218.5,270,-0.3053261275502326,0.17678581491904125,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,54501,-0.971846,233,264.5,-0.18293776745974555,0.6234778410547025,0.6825870090684041,0.6666666666666666,Not significant
mff,stat,55501,-0.971324,202,276,-0.45031297402637427,0.251352446193326,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,56501,-0.970803,226.5,247,-0.12499999153844249,0.6947034718268222,0.7263408215874366,0.6666666666666666,Not significant
mff,stat,57501,-0.970282,347,412.5,-0.24945845655491727,0.326955831781653,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,58501,-0.96976,283.5,376,-0.4073839267354084,0.26864272898899333,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,59501,-0.969239,279,330,-0.2422009024166282,0.3716974452056068,0.6491329038022193,0.41421617824252505,Not significant
mff,stat,60501,-0.968717,300,327.5,-0.1265324059289318,0.740322504550315,0.7606350293155474,1,Not significant
mff,stat,61501,-0.968196,339.5,348.5,-0.037747081623691385,0.894260525608798,0.8996251557832899,1,Not significant
mff,stat,62501,-0.967675,249.5,296.5,-0.2489922892087431,0.6399079313758727,0.6892278389602738,0.6666666666666666,Not significant
mff,stat,63501,-0.967153,259.5,286,-0.14028060842050868,0.6973990078774106,0.7281281814938201,1,Not significant
mff,stat,64501,-0.966632,262,347.5,-0.4074461660734196,0.3028126069539595,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,65501,-0.966111,255.5,284,-0.15256763856706076,0.5511651943309595,0.651291632474818,1,Not significant
mff,stat,66501,-0.965589,240,262,-0.1265324059289318,0.4588498111347785,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,67501,-0.965068,245,290.5,-0.24575641440195822,0.5685952812179547,0.6575928034955476,0.6666666666666666,Not significant
mff,stat,68501,-0.964546,275,356,-0.3724456225543757,0.32813337931793557,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,69501,-0.964025,407,464.5,-0.1906498021164059,0.45113645080257236,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,70501,-0.963504,415.5,485,-0.2231362703041456,0.5134961102747594,0.6503465388653931,0.6666666666666666,Not significant
mff,stat,71501,-0.962982,375,398.5,-0.08768912860722851,0.7319898801241418,0.755495040845281,1,Not significant
mff,stat,72501,-0.962461,296,352,-0.24997825300834742,0.4575646976023427,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,73501,-0.96194,308.5,350,-0.18208443268291089,0.5610498984707954,0.6552207050910551,0.6666666666666666,Not significant
mff,stat,74501,-0.961418,277,342.5,-0.3062180117987008,0.41504678013680263,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,75501,-0.960897,263,360,-0.45293410703737247,0.14115467615057617,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,76501,-0.960375,299.5,342,-0.19144032209711215,0.3759006807221481,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,77501,-0.959854,388.5,476.5,-0.2945616155022319,0.3696065661721555,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,78501,-0.959333,342,453.5,-0.4071062256426246,0.20683077503864208,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,79501,-0.958811,343.5,427,-0.31392597080239026,0.47578347760868317,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,80501,-0.95829,270.5,343,-0.3425799823459971,0.3759930867422142,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,81501,-0.957769,276.5,327,-0.2420111552633755,0.602797518335951,0.6707992002947959,0.6666666666666666,Not significant
mff,stat,82501,-0.957247,257.5,323.5,-0.3291932799219268,0.5698333226469265,0.6580857840041593,1,Not significant
mff,stat,83501,-0.956726,256.5,332.5,-0.37439551478149785,0.3371942964677541,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,84501,-0.956204,303,340.5,-0.1683370045391202,0.6040418645707859,0.6716026150618395,0.6666666666666666,Not significant
mff,stat,85501,-0.955683,243.5,316,-0.3760027860947608,0.3421811954281795,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,86501,-0.955162,256.5,288.5,-0.16961249303842837,0.6031591546413797,0.6710080356076727,0.6666666666666666,Not significant
mff,stat,87501,-0.95464,283,329.5,-0.21947641217616934,0.5831359863935892,0.6613218169715006,0.6666666666666666,Not significant
mff,stat,88501,-0.954119,248.5,366.5,-0.5605673465715257,0.2155154259413519,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,89501,-0.953597,282,351.5,-0.3178295266737417,0.49481361071140184,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,90501,-0.953076,337.5,387.5,-0.19930880822340666,0.5975175929472604,0.6687827498542029,1,Not significant
mff,stat,91501,-0.952555,324,398.5,-0.29858591110584703,0.3591625635095107,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,92501,-0.952033,308,375.5,-0.28588255681937047,0.4150669086270812,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,93501,-0.951512,289.5,338,-0.22345989829294774,0.540377227291161,0.651291632474818,0.6666666666666666,Not significant
mff,stat,94501,-0.950991,303.5,400.5,-0.4001057261530281,0.2920756247498355,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,95501,-0.950469,318.5,357,-0.16463070177279923,0.6013709005364365,0.6699641433431333,1,Not significant
mff,stat,96501,-0.949948,289,362,-0.3249202045825265,0.40919720760378697,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,97501,-0.949426,283.5,341.5,-0.26853684334786165,0.285644139780245,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,98501,-0.948905,243,325,-0.419483404310036,0.1471925398799616,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,99501,-0.948384,283,343.5,-0.2795080459862178,0.3172832426566831,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,100501,-0.947862,240,336,-0.4854268271702417,0.20532991777442028,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,101501,-0.947341,242,297,-0.29545588352617136,0.4451299149351359,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,102501,-0.94682,245.5,328,-0.4179727903033905,0.29395416792423557,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,103501,-0.946298,293.5,408.5,-0.47697557503563115,0.3322040356054736,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,104501,-0.945777,288,359,-0.317915032380739,0.3983206824918848,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,105501,-0.945255,301,368,-0.28994227929731076,0.44877056312599306,0.6491329038022193,0.22067136191984676,Not significant
mff,stat,106501,-0.944734,360,446.5,-0.3106632687915482,0.3517175925988379,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,107501,-0.944213,343,401,-0.22539366028210794,0.4605962223483634,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,108501,-0.943691,263.5,345,-0.3887934000283168,0.41743791059001645,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,109501,-0.94317,302.5,410,-0.4386887673434892,0.2979667137175594,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,110501,-0.942649,289.5,387.5,-0.42063296217236334,0.3645963497580797,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,111501,-0.942127,286,358,-0.323944440485867,0.3266937596063862,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,112501,-0.941606,263.5,348,-0.40128434421151365,0.2591371591324743,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,113501,-0.941084,280,325.5,-0.21723071622066903,0.20439142050556533,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,114501,-0.940563,250,319,-0.35162832910278236,0.20893271081942805,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,115501,-0.940042,308,394,-0.3552652787614749,0.37679972398353023,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,116501,-0.93952,218,334,-0.6155199676971258,0.08396397415173659,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,117501,-0.938999,219.5,323.5,-0.5595447724571493,0.11107361852246043,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,118501,-0.938478,301,384,-0.3513428239614542,0.32597408257546884,0.6491329038022193,0.3333333333333333,Not significant
