window_start	window_end	window_mid	raw_count	norm_position	log2_ratio
1	1000	501	408.0	-0.736085	0.196692
1001	2000	1501	368.0	-0.735606	0.047829
2001	3000	2501	511.0	-0.735128	0.521446
3001	4000	3501	609.0	-0.734650	0.774565
4001	5000	4501	400.0	-0.734172	0.168123
5001	6000	5501	341.0	-0.733693	-0.062106
6001	7000	6501	313.0	-0.733215	-0.185715
7001	8000	7501	407.0	-0.732737	0.193152
8001	9000	8501	525.0	-0.732258	0.560440
9001	10000	9501	369.0	-0.731780	0.051744
10001	11000	10501	337.0	-0.731302	-0.079129
11001	12000	11501	260.0	-0.730824	-0.453366
12001	13000	12501	270.0	-0.730345	-0.398918
13001	14000	13501	356.0	-0.729867	0.000000
14001	15000	14501	366.0	-0.729389	0.039966
15001	16000	15501	361.0	-0.728910	0.020122
16001	17000	16501	312.0	-0.728432	-0.190331
17001	18000	17501	407.0	-0.727954	0.193152
18001	19000	18501	366.0	-0.727476	0.039966
19001	20000	19501	352.0	-0.726997	-0.016302
20001	21000	20501	305.0	-0.726519	-0.223068
21001	22000	21501	364.0	-0.726041	0.032061
22001	23000	22501	312.0	-0.725562	-0.190331
23001	24000	23501	388.0	-0.725084	0.124179
24001	25000	24501	360.0	-0.724606	0.016120
25001	26000	25501	333.0	-0.724128	-0.096355
26001	27000	26501	353.0	-0.723649	-0.012209
27001	28000	27501	313.0	-0.723171	-0.185715
28001	29000	28501	292.0	-0.722693	-0.285909
29001	30000	29501	424.0	-0.722214	0.252187
30001	31000	30501	356.0	-0.721736	0.000000
31001	32000	31501	389.0	-0.721258	0.127893
32001	33000	32501	409.0	-0.720779	0.200224
33001	34000	33501	357.0	-0.720301	0.004047
34001	35000	34501	336.0	-0.719823	-0.083416
35001	36000	35501	336.0	-0.719345	-0.083416
36001	37000	36501	381.0	-0.718866	0.097914
37001	38000	37501	282.0	-0.718388	-0.336182
38001	39000	38501	416.0	-0.717910	0.224706
39001	40000	39501	393.0	-0.717431	0.142652
40001	41000	40501	416.0	-0.716953	0.224706
41001	42000	41501	304.0	-0.716475	-0.227806
42001	43000	42501	344.0	-0.715997	-0.049469
43001	44000	43501	319.0	-0.715518	-0.158321
44001	45000	44501	263.0	-0.715040	-0.436814
45001	46000	45501	274.0	-0.714562	-0.377701
