strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
Lac-4,stat,80501,-0.933141,332,385.5,-0.21554761856810944,No substantial change
Lac-4,stat,81501,-0.932312,382,426,-0.15728079219008964,No substantial change
Lac-4,stat,82501,-0.931484,439.5,426.5,0.04331742382511401,No substantial change
Lac-4,stat,83501,-0.930655,356,429.5,-0.2707808901720658,No substantial change
Lac-4,stat,84501,-0.929826,319,412.5,-0.3708376953683088,No substantial change
Lac-4,stat,85501,-0.928998,361.5,385,-0.09086279863114585,No substantial change
Lac-4,stat,86501,-0.928169,392,387,0.01852008797079784,No substantial change
Lac-4,stat,87501,-0.92734,439.5,485,-0.14212158193108598,No substantial change
Lac-4,stat,88501,-0.926511,358.5,410.5,-0.19540910307590012,No substantial change
Lac-4,stat,89501,-0.925683,381,399,-0.06659774872902374,No substantial change
Lac-4,stat,90501,-0.924854,458,493.5,-0.10770248635945363,No substantial change
Lac-4,stat,91501,-0.924025,420,490,-0.22239242133644802,No substantial change
Lac-4,stat,92501,-0.923197,368,370,-0.007819504459299177,No substantial change
Lac-4,stat,93501,-0.922368,358.5,421.5,-0.23355951224017749,No substantial change
Lac-4,stat,94501,-0.921539,354,392,-0.14710429403221087,No substantial change
Lac-4,stat,95501,-0.92071,300.5,324,-0.10862882217343928,No substantial change
Lac-4,stat,96501,-0.919882,273,289.5,-0.08466239706938412,No substantial change
Lac-4,stat,97501,-0.919053,366.5,365,0.00591673436643219,No substantial change
Lac-4,stat,98501,-0.918224,420.5,443.5,-0.0768283040459196,No substantial change
Lac-4,stat,99501,-0.917395,403,452.5,-0.16713795344260038,No substantial change
Lac-4,stat,100501,-0.916567,336.5,389,-0.20916365037587475,No substantial change
Lac-4,stat,101501,-0.915738,359.5,362,-0.009997926643907487,No substantial change
Lac-4,stat,102501,-0.914909,373.5,437.5,-0.22817477393045396,No substantial change
Lac-4,stat,103501,-0.914081,377.5,365,0.04858018044506156,No substantial change
Lac-4,stat,104501,-0.913252,359,369.5,-0.04159052032309962,No substantial change
Lac-4,stat,105501,-0.912423,394.5,411.5,-0.060867130408167075,No substantial change
Lac-4,stat,106501,-0.911594,424,433.5,-0.031967728658635876,No substantial change
Lac-4,stat,107501,-0.910766,430.5,445.5,-0.049412194125077934,No substantial change
Lac-4,stat,108501,-0.909937,443,416,0.09072317041392629,No substantial change
Lac-4,stat,109501,-0.909108,371,403,-0.11936065190716404,No substantial change
Lac-4,stat,110501,-0.90828,362,358,0.01603010981894908,No substantial change
Lac-4,stat,111501,-0.907451,353.5,393.5,-0.15465342069808752,No substantial change
Lac-4,stat,112501,-0.906622,320,365.5,-0.191799501065075,No substantial change
Lac-4,stat,113501,-0.905793,279,274,0.026089228868660747,No substantial change
Lac-4,stat,114501,-0.904965,315.5,290,0.12158710496761455,No substantial change
Lac-4,stat,115501,-0.904136,417,323,0.3685132187507387,No substantial change
Lac-4,stat,116501,-0.903307,374,339.5,0.13962669564290497,No substantial change
Lac-4,stat,117501,-0.902478,361.5,326.5,0.14691265540468715,No substantial change
Lac-4,stat,118501,-0.90165,362.5,333.5,0.12029423371771175,No substantial change
Lac-4,stat,119501,-0.900821,287.5,308,-0.09936839486316384,No substantial change
Lac-4,stat,120501,-0.899992,329,289.5,0.18452423574600474,No substantial change
Lac-4,stat,121501,-0.899164,336.5,352.5,-0.06701675267583874,No substantial change
Lac-4,stat,122501,-0.898335,403,404,-0.003575454223827371,No substantial change
Lac-4,stat,123501,-0.897506,435.5,452.5,-0.055245073371703105,No substantial change
Lac-4,stat,124501,-0.896677,396,450.5,-0.1860266757339289,No substantial change
Lac-4,stat,125501,-0.895849,333,454,-0.44717012021965274,No substantial change
Lac-4,stat,126501,-0.89502,448.5,538.5,-0.26383835962494634,No substantial change
Lac-4,stat,127501,-0.894191,454,465.5,-0.03608887026787869,No substantial change
Lac-4,stat,128501,-0.893363,344,344.5,-0.002095418002193351,No substantial change
Lac-4,stat,129501,-0.892534,296.5,283.5,0.06468336960377497,No substantial change
Lac-4,stat,130501,-0.891705,337,385,-0.19210985440040532,No substantial change
Lac-4,stat,131501,-0.890876,314,371,-0.2406546277291763,No substantial change
Lac-4,stat,132501,-0.890048,313.5,396,-0.33703498727757075,No substantial change
Lac-4,stat,133501,-0.889219,298.5,360.5,-0.2722683279760175,No substantial change
Lac-4,stat,134501,-0.88839,299,320.5,-0.10017887242063592,No substantial change
Lac-4,stat,135501,-0.887561,299.5,370,-0.3049692677275266,No substantial change
Lac-4,stat,136501,-0.886733,299,312.5,-0.06371070535134438,No substantial change
Lac-4,stat,137501,-0.885904,340,352.5,-0.052088511148454225,No substantial change
Lac-4,stat,138501,-0.885075,296.5,341,-0.2017396344781688,No substantial change
Lac-4,stat,139501,-0.884247,264,337,-0.3522106618234051,No substantial change
Lac-4,stat,140501,-0.883418,276.5,292,-0.07868888864531026,No substantial change
Lac-4,stat,141501,-0.882589,293.5,314.5,-0.09969951376923705,No substantial change
Lac-4,stat,142501,-0.88176,499.5,493.5,0.017434593336020508,No substantial change
Lac-4,stat,143501,-0.880932,521,576.5,-0.1460372353732637,No substantial change
Lac-4,stat,144501,-0.880103,408,452.5,-0.14934863999907202,No substantial change
Lac-4,stat,145501,-0.879274,324.5,372.5,-0.19902194735038542,No substantial change
Lac-4,stat,146501,-0.878446,330,356,-0.1094112167205819,No substantial change
Lac-4,stat,147501,-0.877617,360.5,384,-0.09110705148033364,No substantial change
Lac-4,stat,148501,-0.876788,365.5,401.5,-0.13552858156487718,No substantial change
Lac-4,stat,149501,-0.875959,353,350.5,0.010253739260557166,No substantial change
Lac-4,stat,150501,-0.875131,385,435.5,-0.17781427301660083,No substantial change
Lac-4,stat,151501,-0.874302,355,400,-0.17218097538268035,No substantial change
Lac-4,stat,152501,-0.873473,342,385,-0.17086212069636592,No substantial change
Lac-4,stat,153501,-0.872644,379,384.5,-0.020785749790734793,No substantial change
Lac-4,stat,154501,-0.871816,351,380.5,-0.11642542319898479,No substantial change
Lac-4,stat,155501,-0.870987,389,422.5,-0.11918118618335471,No substantial change
Lac-4,stat,156501,-0.870158,338,388.5,-0.2008913521255258,No substantial change
Lac-4,stat,157501,-0.86933,360,383.5,-0.09122967117325866,No substantial change
Lac-4,stat,158501,-0.868501,371,379.5,-0.03268069879466305,No substantial change
Lac-4,stat,159501,-0.867672,327,372,-0.18601198560994886,No substantial change
Lac-4,stat,160501,-0.866843,328.5,372,-0.1794092507857018,No substantial change
Lac-4,stat,161501,-0.866015,312.5,351.5,-0.1696684995230859,No substantial change
Lac-4,stat,162501,-0.865186,349.5,440.5,-0.3338495635449773,No substantial change
Lac-4,stat,163501,-0.864357,405,493.5,-0.2851281766844107,No substantial change
Lac-4,stat,164501,-0.863529,347,418,-0.26856727950262194,No substantial change
Lac-4,stat,165501,-0.8627,329.5,370,-0.16724680550826038,No substantial change
Lac-4,stat,166501,-0.861871,304.5,327.5,-0.10505267851848016,No substantial change
Lac-4,stat,167501,-0.861042,374.5,409,-0.1271351244829977,No substantial change
Lac-4,stat,168501,-0.860214,419,416.5,0.008633748333803853,No substantial change
Lac-4,stat,169501,-0.859385,345.5,357,-0.04723836364084116,No substantial change
Lac-4,stat,170501,-0.858556,330.5,349,-0.07857676470196055,No substantial change
Lac-4,stat,171501,-0.857727,288.5,305.5,-0.0826010611732471,No substantial change
Lac-4,stat,172501,-0.856899,311,372,-0.2583880409774288,No substantial change
Lac-4,stat,173501,-0.85607,324.5,403,-0.3125613605288289,No substantial change
Lac-4,stat,174501,-0.855241,394,397,-0.01094337768658154,No substantial change
Lac-4,stat,175501,-0.854413,398.5,389,0.03480956900427995,No substantial change
Lac-4,stat,176501,-0.853584,379.5,371.5,0.030737674876869965,No substantial change
Lac-4,stat,177501,-0.852755,416,450,-0.11334147307594497,No substantial change
Lac-4,stat,178501,-0.851926,473.5,483,-0.028658763367388086,No substantial change
Lac-4,stat,179501,-0.851098,359.5,362.5,-0.011989224462998938,No substantial change
Lac-4,stat,180501,-0.850269,318,344.5,-0.1154772174199359,No substantial change
Lac-4,stat,181501,-0.84944,375,381,-0.02290040211007877,No substantial change
Lac-4,stat,182501,-0.848612,412.5,458,-0.15095347896376587,No substantial change
Lac-4,stat,183501,-0.847783,429,413.5,0.053090318328270866,No substantial change
Lac-4,stat,184501,-0.846954,409.5,435.5,-0.08880926695785589,No substantial change
Lac-4,stat,185501,-0.846125,394.5,437.5,-0.14925771670623267,No substantial change
Lac-4,stat,186501,-0.845297,464.5,492.5,-0.08444512796108573,No substantial change
Lac-4,stat,187501,-0.844468,411.5,410,0.0052685209161796405,No substantial change
Lac-4,stat,188501,-0.843639,392.5,397.5,-0.01826220639272835,No substantial change
Lac-4,stat,189501,-0.84281,319.5,368,-0.20388983511001835,No substantial change
