strain,phase,n_windows,n_excluded,t_test_p,mwu_p,n_up,n_down,n_ns
Lac-4,stat,3954,0,0.004842034332172967,1.2725349877876325e-9,0,0,3954
Lac-4,exp,3954,0,0,0,0,0,3954
