window_start	window_end	window_mid	raw_count	norm_position	log2_ratio
2670001	2680000	2675001	4682.0	0.534451	0.099822
2680001	2690000	2685001	5279.0	0.538091	0.272962
2690001	2700000	2695001	4258.0	0.541730	-0.037127
2700001	2710000	2705001	4492.0	0.545370	0.040055
2710001	2720000	2715001	4843.0	0.549009	0.148598
2720001	2730000	2725001	5211.0	0.552649	0.254257
2730001	2740000	2735001	4938.0	0.556288	0.176624
2740001	2750000	2745001	4417.0	0.559928	0.015764
2750001	2760000	2755001	4216.0	0.563567	-0.051428
2760001	2770000	2765001	4025.0	0.567206	-0.118314
2770001	2780000	2775001	5080.0	0.570846	0.217525
2780001	2790000	2785001	4952.0	0.574485	0.180708
2790001	2800000	2795001	4295.0	0.578125	-0.024645
2800001	2810000	2805001	4350.0	0.581764	-0.006288
2810001	2820000	2815001	4570.0	0.585404	0.064891
2820001	2830000	2825001	4786.0	0.589043	0.131517
2830001	2840000	2835001	3835.0	0.592682	-0.188077
2840001	2850000	2845001	4533.0	0.596322	0.053163
2850001	2860000	2855001	4959.0	0.599961	0.182746
2860001	2870000	2865001	4551.0	0.603601	0.058880
2870001	2880000	2875001	4889.0	0.607240	0.162236
2880001	2890000	2885001	5108.0	0.610880	0.225455
2890001	2900000	2895001	4938.0	0.614519	0.176624
2900001	2910000	2905001	4768.0	0.618159	0.126081
2910001	2920000	2915001	5019.0	0.621798	0.200097
2920001	2930000	2925001	4936.0	0.625437	0.176039
2930001	2940000	2935001	4999.0	0.629077	0.194336
2940001	2950000	2945001	5217.0	0.632716	0.255917
2950001	2960000	2955001	3789.0	0.636356	-0.205486
2960001	2970000	2965001	3907.0	0.639995	-0.161242
2970001	2980000	2975001	4223.0	0.643635	-0.049035
2980001	2990000	2985001	4495.0	0.647274	0.041018
2990001	3000000	2995001	3910.0	0.650913	-0.160134
3000001	3010000	3005001	3871.0	0.654553	-0.174597
3010001	3020000	3015001	4925.0	0.658192	0.172821
3020001	3030000	3025001	4328.0	0.661832	-0.013603
3030001	3040000	3035001	4517.0	0.665471	0.048062
3040001	3050000	3045001	4363.0	0.669111	-0.001983
3050001	3060000	3055001	4556.0	0.672750	0.060465
3060001	3070000	3065001	4544.0	0.676390	0.056660
3070001	3080000	3075001	4045.0	0.680029	-0.111163
3080001	3090000	3085001	4355.0	0.683668	-0.004630
3090001	3100000	3095001	4964.0	0.687308	0.184200
3100001	3110000	3105001	4878.0	0.690947	0.158987
3110001	3120000	3115001	4117.0	0.694587	-0.085710
3120001	3130000	3125001	4617.0	0.698226	0.079653
3130001	3140000	3135001	4181.0	0.701866	-0.063455
3140001	3150000	3145001	4105.0	0.705505	-0.089921
3150001	3160000	3155001	5049.0	0.709144	0.208695
3160001	3170000	3165001	4889.0	0.712784	0.162236
3170001	3180000	3175001	4141.0	0.716423	-0.077324
3180001	3190000	3185001	4188.0	0.720063	-0.061042
3190001	3200000	3195001	4885.0	0.723702	0.161055
3200001	3210000	3205001	4966.0	0.727342	0.184781
3210001	3220000	3215001	5255.0	0.730981	0.266388
3220001	3230000	3225001	4320.0	0.734621	-0.016272
3230001	3240000	3235001	4728.0	0.738260	0.113927
3240001	3250000	3245001	4120.0	0.741899	-0.084659
3250001	3260000	3255001	3698.0	0.745539	-0.240558
3260001	3270000	3265001	4292.0	0.749178	-0.025653
3270001	3280000	3275001	3832.0	0.752818	-0.189206
3280001	3290000	3285001	4291.0	0.756457	-0.025989
3290001	3300000	3295001	4183.0	0.760097	-0.062765
3300001	3310000	3305001	4330.0	0.763736	-0.012936
3310001	3320000	3315001	4446.0	0.767375	0.025205
3320001	3330000	3325001	4739.0	0.771015	0.117280
3330001	3340000	3335001	4500.0	0.774654	0.042622
3340001	3350000	3345001	4212.0	0.778294	-0.052798
3350001	3360000	3355001	4835.0	0.781933	0.146213
3360001	3370000	3365001	5580.0	0.785573	0.352962
3370001	3380000	3375001	4703.0	0.789212	0.106278
3380001	3390000	3385001	4242.0	0.792852	-0.042558
3390001	3400000	3395001	4721.0	0.796491	0.111789
3400001	3410000	3405001	4758.0	0.800130	0.123052
3410001	3420000	3415001	4376.0	0.803770	0.002310
3420001	3430000	3425001	3962.0	0.807409	-0.141074
3430001	3440000	3435001	4316.0	0.811049	-0.017608
3440001	3450000	3445001	4718.0	0.814688	0.110872
3450001	3460000	3455001	4858.0	0.818328	0.153059
3460001	3470000	3465001	3890.0	0.821967	-0.167533
3470001	3480000	3475001	3966.0	0.825607	-0.139618
3480001	3490000	3485001	3844.0	0.829246	-0.184695
3490001	3500000	3495001	4197.0	0.832885	-0.057945
3500001	3510000	3505001	4107.0	0.836525	-0.089218
3510001	3520000	3515001	3908.0	0.840164	-0.160873
3520001	3530000	3525001	3900.0	0.843804	-0.163829
3530001	3540000	3535001	3940.0	0.847443	-0.149107
3540001	3550000	3545001	4882.0	0.851083	0.160169
3550001	3560000	3555001	4733.0	0.854722	0.115452
3560001	3570000	3565001	3844.0	0.858361	-0.184695
3570001	3580000	3575001	4040.0	0.862001	-0.112948
3580001	3590000	3585001	4195.0	0.865640	-0.058632
3590001	3600000	3595001	4387.0	0.869280	0.005932
3600001	3610000	3605001	4484.0	0.872919	0.037483
3610001	3620000	3615001	4290.0	0.876559	-0.026325
3620001	3630000	3625001	4472.0	0.880198	0.033617
3630001	3640000	3635001	4112.0	0.883838	-0.087463
3640001	3650000	3645001	4239.0	0.887477	-0.043579
3650001	3660000	3655001	4609.0	0.891116	0.077151
3660001	3670000	3665001	5138.0	0.894756	0.233904
3670001	3680000	3675001	4534.0	0.898395	0.053481
3680001	3690000	3685001	4430.0	0.902035	0.020004
3690001	3700000	3695001	4095.0	0.905674	-0.093440
3700001	3710000	3705001	4741.0	0.909314	0.117888
3710001	3720000	3715001	3958.0	0.912953	-0.142531
3720001	3730000	3725001	4666.0	0.916592	0.094883
3730001	3740000	3735001	5059.0	0.920232	0.211549
3740001	3750000	3745001	4697.0	0.923871	0.104436
3750001	3760000	3755001	4385.0	0.927511	0.005274
3760001	3770000	3765001	4846.0	0.931150	0.149491
3770001	3780000	3775001	4035.0	0.934790	-0.114734
3780001	3790000	3785001	4343.0	0.938429	-0.008611
3790001	3800000	3795001	4697.0	0.942069	0.104436
3800001	3810000	3805001	5098.0	0.945708	0.222628
3810001	3820000	3815001	4981.0	0.949347	0.189132
3820001	3830000	3825001	4939.0	0.952987	0.176916
3830001	3840000	3835001	5360.0	0.956626	0.294930
3840001	3850000	3845001	5402.0	0.960266	0.306191
3850001	3860000	3855001	4987.0	0.963905	0.190869
3860001	3870000	3865001	4353.0	0.967545	-0.005293
3870001	3880000	3875001	4565.0	0.971184	0.063312
3880001	3890000	3885001	4925.0	0.974823	0.172821
3890001	3900000	3895001	5232.0	0.978463	0.260059
3900001	3910000	3905001	4711.0	0.982102	0.108730
3910001	3920000	3915001	4778.0	0.985742	0.129104
3920001	3930000	3925001	5038.0	0.989381	0.205548
3930001	3940000	3935001	5583.0	0.993021	0.353737
3940001	3950000	3945001	5364.0	0.996660	0.296006
