strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
AB30,stat,85501,-0.974272,352.5,266.5,0.40348772452698006,No substantial change
AB30,stat,86501,-0.973962,315.5,267.5,0.23810111369403963,No substantial change
AB30,stat,87501,-0.973652,327.5,235,0.4788341498598129,No substantial change
AB30,stat,88501,-0.973342,324,245.5,0.40027078856993176,No substantial change
AB30,stat,89501,-0.973032,347.5,291,0.2559938247025859,No substantial change
AB30,stat,90501,-0.972722,341,279.5,0.28692345618098236,No substantial change
AB30,stat,91501,-0.972412,423,299.5,0.498101660331164,No substantial change
AB30,stat,92501,-0.972102,347,258.5,0.4247713822633263,No substantial change
AB30,stat,93501,-0.971792,349.5,254.5,0.45762679929974126,No substantial change
AB30,stat,94501,-0.971482,421,290.5,0.5352820696618672,No substantial change
AB30,stat,95501,-0.971172,474,343.5,0.4645769600801591,No substantial change
AB30,stat,96501,-0.970862,328,208,0.6571122864769915,No substantial change
AB30,stat,97501,-0.970552,337.5,234.5,0.5252995794228167,No substantial change
AB30,stat,98501,-0.970242,325.5,219,0.571726673564462,No substantial change
AB30,stat,99501,-0.969932,328,248,0.40335569423120843,No substantial change
AB30,stat,100501,-0.969622,367,305,0.26697082039296405,No substantial change
AB30,stat,101501,-0.969312,357.5,304.5,0.23150101375941937,No substantial change
AB30,stat,102501,-0.969002,392.5,349,0.16946561756933723,No substantial change
AB30,stat,103501,-0.968692,360.5,339,0.08871398610447868,No substantial change
AB30,stat,104501,-0.968382,321.5,333.5,-0.052868023856637754,No substantial change
AB30,stat,105501,-0.968072,331,326.5,0.019748225260786866,No substantial change
AB30,stat,106501,-0.967762,291,286.5,0.022484014151379093,No substantial change
AB30,stat,107501,-0.967452,351,279,0.3312059084753731,No substantial change
AB30,stat,108501,-0.967142,354,255.5,0.47042606914537605,No substantial change
AB30,stat,109501,-0.966832,321,183,0.8107296488382606,No substantial change
AB30,stat,110501,-0.966522,360,256,0.4918530963296747,No substantial change
AB30,stat,111501,-0.966212,314.5,186.5,0.7538843866240514,No substantial change
AB30,stat,112501,-0.965902,374.5,215,0.8006290588692907,No substantial change
AB30,stat,113501,-0.965592,288.5,213.5,0.43433524902499204,No substantial change
AB30,stat,114501,-0.965282,317,252,0.33105910663949073,No substantial change
AB30,stat,115501,-0.964972,333.5,227.5,0.5518202160985263,No substantial change
AB30,stat,116501,-0.964662,345,210,0.7162070339994087,No substantial change
AB30,stat,117501,-0.964352,289,155.5,0.8941549123700764,No substantial change
AB30,stat,118501,-0.964042,300,162.5,0.8845227825800641,No substantial change
AB30,stat,119501,-0.963732,318.5,156.5,1.0251307153236822,Enriched in Meropenem
AB30,stat,120501,-0.963422,237,144,0.7188182474559467,No substantial change
AB30,stat,121501,-0.963112,327.5,189.5,0.789297058253721,No substantial change
AB30,stat,122501,-0.962802,232,140,0.7286979781826057,No substantial change
AB30,stat,123501,-0.962492,206,137.5,0.5832127187711965,No substantial change
AB30,stat,124501,-0.962182,370.5,289.5,0.3559101943165974,No substantial change
AB30,stat,125501,-0.961872,245.5,160,0.6176511194273308,No substantial change
AB30,stat,126501,-0.961562,298,160.5,0.8927390333398584,No substantial change
AB30,stat,127501,-0.961252,394.5,257.5,0.6154528679428777,No substantial change
AB30,stat,128501,-0.960942,395,251.5,0.6512942532589382,No substantial change
AB30,stat,129501,-0.960632,399,181,1.1403990491391403,Enriched in Meropenem
AB30,stat,130501,-0.960322,394,189.5,1.0559977812852845,Enriched in Meropenem
AB30,stat,131501,-0.960012,434.5,245.5,0.8236331524997071,No substantial change
AB30,stat,132501,-0.959702,341.5,179.5,0.927901734467039,No substantial change
AB30,stat,133501,-0.959392,330.5,159.5,1.0510938477428224,Enriched in Meropenem
AB30,stat,134501,-0.959082,346.5,151,1.1983068028121349,Enriched in Meropenem
AB30,stat,135501,-0.958772,407,164.5,1.3069412105310056,Enriched in Meropenem
AB30,stat,136501,-0.958462,365,144,1.3418276523250672,Enriched in Meropenem
AB30,stat,137501,-0.958153,370.5,178,1.057596301339436,Enriched in Meropenem
AB30,stat,138501,-0.957843,361,200,0.8519988371124463,No substantial change
AB30,stat,139501,-0.957533,332,237,0.4862961824486656,No substantial change
AB30,stat,140501,-0.957223,248,188.5,0.395775597118211,No substantial change
AB30,stat,141501,-0.956913,301,208.5,0.5297161033150384,No substantial change
AB30,stat,142501,-0.956603,370.5,283,0.38867148947395147,No substantial change
AB30,stat,143501,-0.956293,330,197.5,0.7406133711813505,No substantial change
AB30,stat,144501,-0.955983,400,216,0.8889686876112561,No substantial change
AB30,stat,145501,-0.955673,412,285.5,0.5291535918203756,No substantial change
AB30,stat,146501,-0.955363,314,270,0.21780515184079613,No substantial change
AB30,stat,147501,-0.955053,290.5,290.5,0,No substantial change
AB30,stat,148501,-0.954743,304,334.5,-0.13793488719787542,No substantial change
AB30,stat,149501,-0.954433,344.5,337,0.03175539152243294,No substantial change
AB30,stat,150501,-0.954123,354,359.5,-0.022242410356300386,No substantial change
AB30,stat,151501,-0.953813,429,440.5,-0.03816437142086799,No substantial change
AB30,stat,152501,-0.953503,330,318.5,0.051172651989515275,No substantial change
AB30,stat,153501,-0.953193,357.5,367,-0.037836821177461,No substantial change
AB30,stat,154501,-0.952883,388.5,383.5,0.018688020904776552,No substantial change
AB30,stat,155501,-0.952573,406,349.5,0.21618727180973982,No substantial change
AB30,stat,156501,-0.952263,366,277,0.401957672234854,No substantial change
AB30,stat,157501,-0.951953,366,317.5,0.20508705662451432,No substantial change
AB30,stat,158501,-0.951643,305,279.5,0.12596095960705858,No substantial change
AB30,stat,159501,-0.951333,310.5,231.5,0.42358107496024505,No substantial change
AB30,stat,160501,-0.951023,298.5,216.5,0.46336390653808013,No substantial change
AB30,stat,161501,-0.950713,294.5,275.5,0.09621531525930298,No substantial change
AB30,stat,162501,-0.950403,345,238.5,0.5326070956600197,No substantial change
AB30,stat,163501,-0.950093,355,287,0.30676828771635667,No substantial change
AB30,stat,164501,-0.949783,360,248.5,0.5347510547673885,No substantial change
AB30,stat,165501,-0.949473,346,238.5,0.536782771631213,No substantial change
AB30,stat,166501,-0.949163,381.5,275,0.47225143842250844,No substantial change
AB30,stat,167501,-0.948853,350.5,299.5,0.2268584412218375,No substantial change
AB30,stat,168501,-0.948543,350,310,0.1750867065580914,No substantial change
AB30,stat,169501,-0.948233,384,351.5,0.12758162164862105,No substantial change
AB30,stat,170501,-0.947923,351,319,0.13791460653969143,No substantial change
AB30,stat,171501,-0.947613,342,326.5,0.06691333333946695,No substantial change
AB30,stat,172501,-0.947303,315.5,326,-0.0472319592485286,No substantial change
AB30,stat,173501,-0.946993,330,294,0.16664986940945128,No substantial change
AB30,stat,174501,-0.946683,277.5,266,0.06106152573627861,No substantial change
AB30,stat,175501,-0.946373,309.5,287.5,0.10637745338252697,No substantial change
AB30,stat,176501,-0.946063,367.5,284,0.37185332021904466,No substantial change
AB30,stat,177501,-0.945753,384,293.5,0.3877458076111039,No substantial change
AB30,stat,178501,-0.945443,352,274,0.3613995356767705,No substantial change
AB30,stat,179501,-0.945133,384,269.5,0.5108210379686506,No substantial change
AB30,stat,180501,-0.944823,356.5,253.5,0.49191632944054764,No substantial change
AB30,stat,181501,-0.944513,325,236.5,0.45859953457642166,No substantial change
AB30,stat,182501,-0.944203,314.5,258.5,0.2828957365643545,No substantial change
AB30,stat,183501,-0.943893,316.5,264.5,0.2589377773143157,No substantial change
AB30,stat,184501,-0.943583,349,303.5,0.20153051995397028,No substantial change
AB30,stat,185501,-0.943273,396,302,0.39095188075453075,No substantial change
AB30,stat,186501,-0.942963,382,314,0.28280807914412165,No substantial change
AB30,stat,187501,-0.942653,390,400.5,-0.03832811865909936,No substantial change
AB30,stat,188501,-0.942343,439.5,447,-0.024411666039913744,No substantial change
AB30,stat,189501,-0.942033,400,325,0.29956028185890793,No substantial change
AB30,stat,190501,-0.941723,294.5,302,-0.03628091549461814,No substantial change
AB30,stat,191501,-0.941414,337,244,0.4658674436189721,No substantial change
AB30,stat,192501,-0.941104,355.5,297,0.25938662881864955,No substantial change
AB30,stat,193501,-0.940794,358.5,307,0.22373446333172545,No substantial change
AB30,stat,194501,-0.940484,294,293,0.004915490414116595,No substantial change
AB30,stat,195501,-0.940174,282,259.5,0.11996062404091261,No substantial change
AB30,stat,196501,-0.939864,338.5,300,0.17419333307911597,No substantial change
AB30,stat,197501,-0.939554,276,297.5,-0.10822140141713675,No substantial change
AB30,stat,198501,-0.939244,283.5,305.5,-0.10782364487650077,No substantial change
AB30,stat,199501,-0.938934,292,323,-0.14556579581390766,No substantial change
AB30,stat,200501,-0.938624,321.5,312.5,0.04096254777849784,No substantial change
AB30,stat,201501,-0.938314,255.5,304.5,-0.25311893696871113,No substantial change
AB30,stat,202501,-0.938004,290.5,340,-0.22699658273317297,No substantial change
AB30,stat,203501,-0.937694,404.5,431.5,-0.09322085674897741,No substantial change
AB30,stat,204501,-0.937384,490,453,0.11327069895633544,No substantial change
AB30,stat,205501,-0.937074,428.5,430,-0.005041455476960391,No substantial change
AB30,stat,206501,-0.936764,333.5,283.5,0.23433802624235614,No substantial change
AB30,stat,207501,-0.936454,291,250.5,0.21620854971307552,No substantial change
AB30,stat,208501,-0.936144,297.5,276.5,0.10561018796059878,No substantial change
AB30,stat,209501,-0.935834,403,315,0.3554280101406884,No substantial change
