strain,phase,n_windows,n_excluded,t_test_p,mwu_p,n_up,n_down,n_ns
AB30,stat,4335,0,0,0,137,0,4198
AB30,exp,4335,0,1.0063144399361842e-6,1.0770824420165177e-10,0,0,4335
