Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
PID-2861-12_S207_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0001337112905813767)	(5, 0.0001337112905813767)	(6, 0.0001337112905813767)	(7, 0.0001337112905813767)	(8, 0.0001337112905813767)	(9, 0.0001337112905813767)	(10, 0.0001337112905813767)	(15, 0.00034764935551157944)	(20, 0.00040113387174413003)	(25, 0.0004546183879766808)	(30, 0.001497566454511419)	(35, 0.004974060009627213)	(40, 0.013638551639300422)	(45, 0.03174306038401883)	(50, 0.050435898807295286)	(55, 0.07824784724822165)	(60, 0.1048563940739156)	(65, 0.14603947157297964)	(70, 0.18313098358025354)	(75, 0.23567952077873455)	(80, 0.2872385944269134)	(85, 0.3657538642562978)	(90, 0.4310317163181259)	(95, 0.5237738674653688)	(100, 0.6138150505428678)	(105, 0.729502059153875)	(110, 0.8344119377440231)	(115, 0.9712520725250041)	(120, 1.108386372145264)	(125, 1.259533615018452)	(130, 1.424426378563406)	(135, 1.6044820024602877)	(140, 1.6895758677862758)
PID-2861-12_S207_R2_001 - polyg	(1, 0.336150184521581)	(2, 0.33695245226506926)	(3, 0.3385569877520458)	(4, 0.3401615232390223)	(5, 0.34270203776006847)	(6, 0.34564368615285873)	(7, 0.3484516232550677)	(8, 0.35045729261378833)	(9, 0.35179440551960206)	(10, 0.3571695994009734)	(15, 0.3616088142482751)	(20, 0.363052896186554)	(25, 0.3636679681232283)	(30, 0.3642562978017863)	(35, 0.36476440070599564)	(40, 0.36521901909397225)	(45, 0.3653259881264374)	(50, 0.36570037974006525)	(55, 0.3661282558699256)	(60, 0.3666363587741349)	(65, 0.36687703909718133)	(70, 0.36714446167834414)	(75, 0.36757233780820453)	(80, 0.3680269561961812)	(85, 0.36837460555169277)	(90, 0.368588543616623)	(95, 0.36893619297213454)	(100, 0.36931058458576244)	(105, 0.3698989142643205)	(110, 0.372278975236669)	(115, 0.3776809113761566)	(120, 0.39450179173129374)	(125, 0.41100176498903573)	(130, 0.4382521260095202)	(135, 0.46387120928491204)	(140, 0.4844360057763277)
PID-2861-13_S208_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00010915207394398097)	(5, 0.00010915207394398097)	(6, 0.00010915207394398097)	(7, 0.00010915207394398097)	(8, 0.00010915207394398097)	(9, 0.00010915207394398097)	(10, 0.0003274562218319429)	(15, 0.0003274562218319429)	(20, 0.00048026912535351627)	(25, 0.0006985732732414782)	(30, 0.0014189769612717527)	(35, 0.00475903042395757)	(40, 0.010937037809186891)	(45, 0.02388247377894304)	(50, 0.03905461205715639)	(55, 0.06426874113821601)	(60, 0.09057439095871542)	(65, 0.12661640577501793)	(70, 0.16091198740821674)	(75, 0.21177685386611186)	(80, 0.25323281155003585)	(85, 0.31577694991993693)	(90, 0.37334375371799255)	(95, 0.45435642299921525)	(100, 0.536002174309313)	(105, 0.6429057155300479)	(110, 0.7445699572014718)	(115, 0.8768622708215768)	(120, 1.008586993657173)	(125, 1.154064877809711)	(130, 1.3110037297263666)	(135, 1.4956890388395823)	(140, 1.5889267404025311)
PID-2861-13_S208_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00010915207394398097)	(5, 0.0003274562218319429)	(6, 0.0004366082957759239)	(7, 0.0004366082957759239)	(8, 0.0004366082957759239)	(9, 0.0004366082957759239)	(10, 0.0006985732732414782)	(15, 0.0007640645176078668)	(20, 0.0008295557619742554)	(25, 0.0008732165915518477)	(30, 0.0012006728133837907)	(35, 0.0015281290352157336)	(40, 0.0017464331831036953)	(45, 0.0019647373309916575)	(50, 0.002052058990146843)	(55, 0.0022048718936684155)	(60, 0.002510497700711562)	(65, 0.0026633106042331356)	(70, 0.0029689364112762823)	(75, 0.0032745622183194293)	(80, 0.004693539179591181)	(85, 0.008644844256363294)	(90, 0.017311518927515382)	(95, 0.03086820651135782)	(100, 0.04662976598886867)	(105, 0.06566588768469897)	(110, 0.09454752645027632)	(115, 0.13423522053630782)	(120, 0.18114878191743083)	(125, 0.23568115805984374)	(130, 0.2868953111543596)	(135, 0.3403579969721215)	(140, 0.36893400993065567)
PID-2861-13_S208_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00021830414788796192)	(15, 0.00021830414788796192)	(20, 0.0004147778809871277)	(25, 0.0006330820288750896)	(30, 0.0013098248873277716)	(35, 0.004802691253535162)	(40, 0.011111681127497264)	(45, 0.02420993000077498)	(50, 0.03925108579025556)	(55, 0.06466168860441433)	(60, 0.09031242598124986)	(65, 0.12646359287149636)	(70, 0.1615668998518806)	(75, 0.21295569626470687)	(80, 0.2550883968070835)	(85, 0.3171522660516311)	(90, 0.3741951398947556)	(95, 0.4558408912048534)	(100, 0.5375957945888951)	(105, 0.6444338445652635)	(110, 0.7464037120437307)	(115, 0.8781720957089044)	(120, 1.0086306544867507)	(125, 1.1521438013082967)	(130, 1.3065066642798746)	(135, 1.4881793761522366)	(140, 1.5810677910785644)
PID-2861-13_S208_R2_001 - polyg	(1, 0.48441690416338756)	(2, 0.48463520831127554)	(3, 0.4867090977162112)	(4, 0.48834637882537085)	(5, 0.4909660286000264)	(6, 0.49456804704017776)	(7, 0.4967510885190574)	(8, 0.4993707382937129)	(9, 0.5013354756247046)	(10, 0.5069677226402141)	(15, 0.5120542092860036)	(20, 0.5136696599803744)	(25, 0.514586537401504)	(30, 0.5147175198902367)	(35, 0.5154379235782669)	(40, 0.5162674793402412)	(45, 0.5166822572212283)	(50, 0.5169442221986938)	(55, 0.5173808304944699)	(60, 0.5176209650571465)	(65, 0.5179484212789786)	(70, 0.5182758775008105)	(75, 0.5184505208191208)	(80, 0.518756146626164)	(85, 0.5192582461663063)	(90, 0.519607532802927)	(95, 0.519825836950815)	(100, 0.5202624452465908)	(105, 0.5208518664458884)	(110, 0.5234060249761776)	(115, 0.5283396987184454)	(120, 0.5399098185565074)	(125, 0.5534446757255611)	(130, 0.5763011200094307)	(135, 0.6030652085404948)	(140, 0.6200929320757559)
PID-2861-14_S209_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00012985003403152975)	(15, 0.0002597000680630595)	(20, 0.000367908429756001)	(25, 0.0006276084978190605)	(30, 0.00266192569764636)	(35, 0.006903693476009666)	(40, 0.016772296062405927)	(45, 0.03391250055456785)	(50, 0.05397433081243921)	(55, 0.08699952280112494)	(60, 0.11840158936441654)	(65, 0.1689348942750202)	(70, 0.20949138823753466)	(75, 0.26649555317737617)	(80, 0.3193228753558703)	(85, 0.3960426037961658)	(90, 0.4625041795479704)	(95, 0.5595887216588775)	(100, 0.6487307700215226)	(105, 0.7668726593178761)	(110, 0.8779377217595112)	(115, 1.0162929330201063)	(120, 1.1584570786122927)	(125, 1.326764364389494)	(130, 1.4959806004049157)	(135, 1.682055699172098)	(140, 1.774292506679161)
PID-2861-14_S209_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00021641672338588292)	(4, 0.00021641672338588292)	(5, 0.0007574585318505902)	(6, 0.0007574585318505902)	(7, 0.0007574585318505902)	(8, 0.0007574585318505902)	(9, 0.0007574585318505902)	(10, 0.0007574585318505902)	(15, 0.0009089502382207083)	(20, 0.0010820836169294146)	(25, 0.0010820836169294146)	(30, 0.0011253669616065913)	(35, 0.0013850670296696507)	(40, 0.00177461713176424)	(45, 0.0021641672338588293)	(50, 0.0023156589402289476)	(55, 0.0026186423529691834)	(60, 0.0030298341274023607)	(65, 0.0032462508507882437)	(70, 0.0035059509188513035)	(75, 0.004371617812394835)	(80, 0.0076178686631830795)	(85, 0.013179778454200269)	(90, 0.026424481925416306)	(95, 0.04319677798782223)	(100, 0.06672127581986771)	(105, 0.09585096678760754)	(110, 0.1343515018779561)	(115, 0.18802284927765509)	(120, 0.238123320741487)	(125, 0.29913119506396735)	(130, 0.3674755963092292)	(135, 0.4393259484733423)	(140, 0.4770906667041789)
PID-2861-14_S209_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00012985003403152975)	(15, 0.00028134174040164776)	(20, 0.00047611679144894247)	(25, 0.000735816859512002)	(30, 0.0028567007486936546)	(35, 0.007488018629151549)	(40, 0.017010354458130397)	(45, 0.03469160075875703)	(50, 0.05499148941235286)	(55, 0.08933682341369246)	(60, 0.12099859004504714)	(65, 0.17176995335137527)	(70, 0.21284584745001583)	(75, 0.2697850873728417)	(80, 0.32272061791302864)	(85, 0.40132317184678123)	(90, 0.46815265602834194)	(95, 0.566708831858273)	(100, 0.6568680388208319)	(105, 0.778234537295635)	(110, 0.8905548167329081)	(115, 1.0283906278573771)	(120, 1.1709876068963354)	(125, 1.338991909260796)	(130, 1.5066499448678399)	(135, 1.6940019023029986)	(140, 1.7869528849972354)
PID-2861-14_S209_R2_001 - polyg	(1, 0.6296644566912264)	(2, 0.6300972901379981)	(3, 0.6320450406484711)	(4, 0.6346420413291016)	(5, 0.6398360426903629)	(6, 0.643298710264537)	(7, 0.6470860029237899)	(8, 0.65076508722135)	(9, 0.6540113380721382)	(10, 0.6610448815821793)	(15, 0.6684896168666536)	(20, 0.6712813925983316)	(25, 0.6725366095939698)	(30, 0.6733806348151747)	(35, 0.6741597350193639)	(40, 0.674570926793797)	(45, 0.67483062686186)	(50, 0.6751336102746004)	(55, 0.6754798770320178)	(60, 0.6760642021851597)	(65, 0.6763888272702384)	(70, 0.6764537522872542)	(75, 0.6765836023212858)	(80, 0.6769515107510419)	(85, 0.6772761358361207)	(90, 0.6778604609892624)	(95, 0.6781418027296641)	(100, 0.6784447861424043)	(105, 0.6797865698273968)	(110, 0.6835522208143112)	(115, 0.6908238227200768)	(120, 0.7075311937654669)	(125, 0.7255370651511724)	(130, 0.7548398894976209)	(135, 0.7880598565373541)	(140, 0.8076672116761151)
