Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PID-2861-15_S210_R1_001	(1, 0.0)	(2, 0.02974207671076425)	(3, 0.0009914025570254752)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09331080866723772)	(35, 0.09473842834935439)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.000158624409124076)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.00011896830684305702)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.00011896830684305702)	(115, 0.000158624409124076)	(120, 0.0006741537387773231)	(125, 7.9312204562038e-05)	(130, 0.0)	(135, 0.0)	(140, 3.965687287315234e-05)	(145, 0.0)	(150, 0.0)
PID-2861-15_S210_R2_001	(1, 0.00039656102281019007)	(2, 0.0)	(3, 0.00277592715967133)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.000356904920529171)	(35, 3.9656102281019e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00019828051140509504)	(65, 3.9656102281019e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 3.9656102281019e-05)	(90, 0.00023793661368611403)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 3.9656102281019e-05)	(120, 0.000713809841058342)	(125, 7.9312204562038e-05)	(130, 0.0)	(135, 3.9656102281019e-05)	(140, 0.0)	(145, 0.0)	(150, 0.00038155802861685216)
PID-2861-16_S211_R1_001	(1, 0.0008227292672224661)	(2, 0.022625054848617817)	(3, 0.0015083369899078544)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09329749890302765)	(35, 0.08452172005265468)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 5.484861781483107e-05)	(115, 2.7424308907415534e-05)	(120, 0.00021939447125932427)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
PID-2861-16_S211_R2_001	(1, 0.0)	(2, 0.0)	(3, 0.0010969723562966214)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00019197016235190874)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.7424308907415534e-05)	(65, 2.7424308907415534e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 2.7424308907415534e-05)	(90, 0.00010969723562966213)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.7424308907415534e-05)	(120, 0.00030166739798157086)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0001760650172895847)
PID-2861-17_S212_R1_001	(1, 0.0)	(2, 0.024801018262071376)	(3, 0.0017480893929213304)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09548938308832769)	(35, 0.08570008248796823)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 2.185111741151663e-05)	(95, 0.0)	(100, 0.0)	(105, 4.370223482303326e-05)	(110, 4.370223482303326e-05)	(115, 2.185111741151663e-05)	(120, 0.0002840645263497162)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 6.555382493457727e-05)	(145, 0.0)	(150, 0.0)
PID-2861-17_S212_R2_001	(1, 0.00010925558705758315)	(2, 0.0)	(3, 0.0015295782188061641)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00026221340893819957)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.185111741151663e-05)	(65, 2.185111741151663e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 2.185111741151663e-05)	(90, 0.0001529578218806164)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0003496178785842661)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.00014005180516272968)
PID-2861-18_S213_R1_001	(1, 0.00010166165982992005)	(2, 0.02866858807203745)	(3, 0.002643203155577921)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09822549572766875)	(35, 0.09285776008864896)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.066466393196802e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 2.033233196598401e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 4.066466393196802e-05)	(115, 2.033233196598401e-05)	(120, 0.0004269789712856642)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 4.0664887171204056e-05)	(145, 0.0)	(150, 0.0)
PID-2861-18_S213_R2_001	(1, 0.0002033233196598401)	(2, 0.0)	(3, 0.002033233196598401)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00030498497948976014)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.033233196598401e-05)	(65, 2.033233196598401e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 4.066466393196802e-05)	(90, 0.00012199399179590405)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0005896376270135362)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0001302238482840078)
PID-2861-19_S214_R1_001	(1, 0.0001785889685594121)	(2, 0.02687763976819152)	(3, 0.002321656591272357)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09099107948102046)	(35, 0.09359847842198787)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.3576690567823624e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 5.3576690567823624e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 1.7858896855941208e-05)	(115, 0.0)	(120, 0.00037503683397476536)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 1.785901167515029e-05)	(145, 0.0)	(150, 0.0)
PID-2861-19_S214_R2_001	(1, 8.929448427970605e-05)	(2, 0.0)	(3, 0.001785889685594121)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0003571779371188242)	(35, 1.7858896855941208e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00012501227799158844)	(65, 1.7858896855941208e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 1.7858896855941208e-05)	(90, 0.0002321656591272357)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.7858896855941208e-05)	(120, 0.0005000491119663537)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.00011432621843167293)
