Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PID-2861-15_S210_R1_001	(1, 39.240395292027536)	(2, 38.6566098791282)	(3, 39.01395498239269)	(4, 38.81011071983757)	(5, 39.12393325084864)	(6, 39.16222518321119)	(7, 39.16147171726785)	(8, 39.24739855969037)	(9, 39.19022239142159)	(10, 39.196998826179374)	(15, 39.39749214809175)	(20, 39.46245518860442)	(25, 39.45541860981568)	(30, 39.41760968877891)	(35, 39.42767123504965)	(40, 39.44519368040354)	(45, 39.46694267313854)	(50, 39.48356016623838)	(55, 39.46031534532534)	(60, 39.447192347958506)	(65, 39.45782018336981)	(70, 39.43191047238349)	(75, 39.41871926652073)	(80, 39.35952222327971)	(85, 39.33164398337617)	(90, 39.359646743440884)	(95, 39.400310903841884)	(100, 39.38138225310111)	(105, 39.353581739158024)	(110, 39.28410504108372)	(115, 39.2622426318962)	(120, 39.18967751657625)	(125, 38.98780495542654)	(130, 38.92112242631896)	(135, 39.12584467497858)	(140, 39.156906900324046)	(145, 39.20427721168308)	(150, 38.96544745386049)
PID-2861-15_S210_R2_001	(1, 38.83349988896291)	(2, 38.22322419973985)	(3, 38.62262459947337)	(4, 38.308326195234926)	(5, 38.604676247580976)	(6, 38.89108054947496)	(7, 38.76242822245487)	(8, 39.049903239110435)	(9, 38.819144379937185)	(10, 38.854246375432254)	(15, 38.95737286253609)	(20, 39.00998382031027)	(25, 39.050942228990195)	(30, 39.04185860220171)	(35, 39.01585054408172)	(40, 38.999029218616165)	(45, 39.018774785063925)	(50, 39.05859268424225)	(55, 39.01842105263158)	(60, 38.947356524221945)	(65, 38.93871625265696)	(70, 38.86631134799023)	(75, 38.79909266837981)	(80, 38.785146410329624)	(85, 38.81035420830557)	(90, 38.777112084007484)	(95, 38.790089146917936)	(100, 38.74942577963897)	(105, 38.70477459471463)	(110, 38.65001586244092)	(115, 38.5555494749532)	(120, 38.53729735731734)	(125, 38.55848481964405)	(130, 38.467351924114084)	(135, 38.37024919894674)	(140, 38.115681786345014)	(145, 38.29436188070647)	(150, 37.98332575456429)
PID-2861-16_S211_R1_001	(1, 38.767392496709085)	(2, 37.7683057261957)	(3, 38.30452226853883)	(4, 37.891800131636685)	(5, 38.48064940763493)	(6, 38.59693944712593)	(7, 38.57659609477841)	(8, 38.81247257569109)	(9, 38.68753839403247)	(10, 38.72020403685828)	(15, 39.052942079859584)	(20, 39.17235300570426)	(25, 39.18896774901272)	(30, 39.16229047827994)	(35, 39.19226853883282)	(40, 39.201332821412905)	(45, 39.24058358929355)	(50, 39.269684071961386)	(55, 39.2500351031154)	(60, 39.22751096972356)	(65, 39.247633830627464)	(70, 39.21212483545414)	(75, 39.19137889425186)	(80, 39.127140193067135)	(85, 39.08483655111891)	(90, 39.12850592365073)	(95, 39.186996489688454)	(100, 39.16216213251427)	(105, 39.13956998683633)	(110, 39.05178038613427)	(115, 39.038708315050464)	(120, 38.93266893374287)	(125, 38.633150504607286)	(130, 38.52310552874067)	(135, 38.84942189556823)	(140, 38.919787421949515)	(145, 38.99311415651253)	(150, 38.73900267499164)
PID-2861-16_S211_R2_001	(1, 38.87392496709083)	(2, 38.29774023694603)	(3, 38.73010092145678)	(4, 38.3807152259763)	(5, 38.80053751645458)	(6, 38.863788942518646)	(7, 38.90424528301887)	(8, 39.128603554190434)	(9, 38.9576129881527)	(10, 38.99041355857833)	(15, 39.07387231241773)	(20, 39.12419811320755)	(25, 39.17435168933743)	(30, 39.17660761298815)	(35, 39.154258446687145)	(40, 39.14717200526547)	(45, 39.16414874945151)	(50, 39.193183413777966)	(55, 39.161548924967086)	(60, 39.092172553751645)	(65, 39.09016838525669)	(70, 39.02069328652918)	(75, 38.95575691092584)	(80, 38.941619131197896)	(85, 38.97165258885476)	(90, 38.92951513821852)	(95, 38.94673211935059)	(100, 38.91116937253181)	(105, 38.86743856954804)	(110, 38.81546401930672)	(115, 38.724402698552)	(120, 38.69828927161036)	(125, 38.718615620886354)	(130, 38.63301886792453)	(135, 38.540787626151825)	(140, 38.287087131377916)	(145, 38.45629357034112)	(150, 38.167613509664605)
PID-2861-17_S212_R1_001	(1, 38.67731253106956)	(2, 37.68953058337021)	(3, 38.272354512528885)	(4, 37.982132341292605)	(5, 38.489502176917576)	(6, 38.564814238188106)	(7, 38.55747226273784)	(8, 38.79280879725987)	(9, 38.58730777845152)	(10, 38.68926771442775)	(15, 39.04433263956035)	(20, 39.158063335463815)	(25, 39.16831500570861)	(30, 39.145029580950194)	(35, 39.17630202614485)	(40, 39.18777211469652)	(45, 39.23033459523536)	(50, 39.2527739447276)	(55, 39.22972713417133)	(60, 39.212636064176735)	(65, 39.2358821569238)	(70, 39.204241738911925)	(75, 39.17946257176727)	(80, 39.11278432400837)	(85, 39.07111074692582)	(90, 39.113213042931974)	(95, 39.16716563693276)	(100, 39.141481833527266)	(105, 39.114552516429306)	(110, 39.02092747067853)	(115, 39.00785482117592)	(120, 38.89996798811299)	(125, 38.58946754289648)	(130, 38.476583796303885)	(135, 38.80397821443594)	(140, 38.86633367282151)	(145, 38.93626421647661)	(150, 38.677750756608845)
PID-2861-17_S212_R2_001	(1, 38.917585233014854)	(2, 38.34344930813899)	(3, 38.77906444440803)	(4, 38.55675554608674)	(5, 38.83736759588543)	(6, 39.023062761871984)	(7, 38.95441092118848)	(8, 39.20647230097729)	(9, 38.997890274613916)	(10, 39.04714881157235)	(15, 39.14432335283546)	(20, 39.20230398181987)	(25, 39.244810523498145)	(30, 39.238795347897096)	(35, 39.21208891219675)	(40, 39.19534046772317)	(45, 39.21420584845158)	(50, 39.24279060620462)	(55, 39.20979716700263)	(60, 39.14766701082176)	(65, 39.14101815281579)	(70, 39.07630694264628)	(75, 39.01447614677396)	(80, 38.99586598709691)	(85, 39.01699907679029)	(90, 38.98057763428877)	(95, 38.99355151674069)	(100, 38.95823836291429)	(105, 38.923862185002484)	(110, 38.86672413510546)	(115, 38.77895606286567)	(120, 38.75312454590646)	(125, 38.770143944235954)	(130, 38.68377783968928)	(135, 38.605665339211285)	(140, 38.35833336716372)	(145, 38.52288554298623)	(150, 38.2395300791567)
PID-2861-18_S213_R1_001	(1, 39.22608434867916)	(2, 38.56478948411791)	(3, 38.974026462530055)	(4, 38.77661578500592)	(5, 39.123326776156276)	(6, 39.15392286929869)	(7, 39.117007487381244)	(8, 39.27529062527004)	(9, 39.13613614529484)	(10, 39.19243881238849)	(15, 39.376989696590776)	(20, 39.4511994550935)	(25, 39.4413838185136)	(30, 39.401283173470375)	(35, 39.42169276829783)	(40, 39.438035490085454)	(45, 39.458637022126666)	(50, 39.47369840035378)	(55, 39.45005108498406)	(60, 39.43572573717411)	(65, 39.45003563241177)	(70, 39.420674931759606)	(75, 39.40444566438437)	(80, 39.34645948020393)	(85, 39.319370307679016)	(90, 39.34857607596159)	(95, 39.38850104965664)	(100, 39.36842897153982)	(105, 39.342795593983666)	(110, 39.271425042316665)	(115, 39.25112646202175)	(120, 39.17602696067219)	(125, 38.972947222349305)	(130, 38.90863280316778)	(135, 39.114682281897615)	(140, 39.14604474831178)	(145, 39.201137762918776)	(150, 38.97137502998665)
PID-2861-18_S213_R2_001	(1, 38.64410184465082)	(2, 37.95020408578211)	(3, 38.42822940970157)	(4, 38.10384738551626)	(5, 38.60160727084191)	(6, 38.77680284246001)	(7, 38.6899553197005)	(8, 39.000336500094036)	(9, 38.746312477443816)	(10, 38.80868719215578)	(15, 38.93454188714539)	(20, 39.00574734027683)	(25, 39.05798598085711)	(30, 39.04780964870814)	(35, 39.02283463206104)	(40, 39.006222303551546)	(45, 39.026406616140825)	(50, 39.061548205417544)	(55, 39.021216178436546)	(60, 38.944950007878774)	(65, 38.946979174608984)	(70, 38.86655382222425)	(75, 38.80625056549298)	(80, 38.79732792493303)	(85, 38.81464863188822)	(90, 38.780464288800445)	(95, 38.795104381109226)	(100, 38.74469727699244)	(105, 38.70336977903838)	(110, 38.64891166110069)	(115, 38.56025700067605)	(120, 38.53432067137361)	(125, 38.55801881757323)	(130, 38.46544815001194)	(135, 38.364828318871965)	(140, 38.100090874656395)	(145, 38.278769266749975)	(150, 37.98666253576002)
PID-2861-19_S214_R1_001	(1, 39.228938556465366)	(2, 38.57826929430569)	(3, 39.01128860870264)	(4, 38.793206475636)	(5, 39.12268169195189)	(6, 39.056582342908676)	(7, 39.08433149684344)	(8, 39.265192117082925)	(9, 39.129921688737284)	(10, 39.19010188500657)	(15, 39.3867361973051)	(20, 39.452163337470644)	(25, 39.44213378099634)	(30, 39.40897802462742)	(35, 39.422875103804834)	(40, 39.4365946655475)	(45, 39.458202502031455)	(50, 39.47314325514113)	(55, 39.44988882836707)	(60, 39.43710364410791)	(65, 39.44808436542875)	(70, 39.42119958210181)	(75, 39.401235478484494)	(80, 39.34598433774745)	(85, 39.31772870549786)	(90, 39.3467469126432)	(95, 39.38699193670807)	(100, 39.362561680165015)	(105, 39.34010804632598)	(110, 39.26576324460437)	(115, 39.24748323496058)	(120, 39.17189188223843)	(125, 38.965509826857996)	(130, 38.900820616310526)	(135, 39.10612435149881)	(140, 39.14304287218927)	(145, 39.191479951600215)	(150, 38.961380904793415)
PID-2861-19_S214_R2_001	(1, 38.629385028886766)	(2, 37.97098286438847)	(3, 38.49811320754717)	(4, 38.01402994937003)	(5, 38.5428747466269)	(6, 38.65052460509514)	(7, 38.671626677620125)	(8, 38.9658591468805)	(9, 38.7382010733197)	(10, 38.78867388761396)	(15, 38.9033308628526)	(20, 38.967885060139835)	(25, 39.017732098688256)	(30, 39.003584280598986)	(35, 38.98123744296315)	(40, 38.963176740572735)	(45, 38.98453026636544)	(50, 39.022649010170646)	(55, 38.98601469787211)	(60, 38.911707757011854)	(65, 38.913105751457735)	(70, 38.8395245961657)	(75, 38.771372188339924)	(80, 38.761168329032316)	(85, 38.790221539615494)	(90, 38.75633249694166)	(95, 38.77392243881095)	(100, 38.72945950048666)	(105, 38.688336890230296)	(110, 38.63451160381823)	(115, 38.539672646420634)	(120, 38.521146898356086)	(125, 38.5413774567145)	(130, 38.44837403673576)	(135, 38.356711462732946)	(140, 38.09619480966533)	(145, 38.274808361221496)	(150, 37.99898350438136)
