phase,panel,series,ori_ter_ratio
stat,Meropenem-treated: replicate A vs B,drug_A,1.452496615800689
stat,Meropenem-treated: replicate A vs B,drug_B,1.0797821163147765
stat,Untreated (no drug): replicate A vs B,ND_A,1.1324450067228131
stat,Untreated (no drug): replicate A vs B,ND_B,1.0769483274007645
stat,Meropenem-treated vs untreated (averaged),drug_avg,1.2382291840066861
stat,Meropenem-treated vs untreated (averaged),ND_avg,1.0902223473932346
exp,Meropenem-treated: replicate A vs B,drug_A,1.190237216563043
exp,Meropenem-treated: replicate A vs B,drug_B,1.1876916730477085
exp,Untreated (no drug): replicate A vs B,ND_A,1.0292186721725334
exp,Untreated (no drug): replicate A vs B,ND_B,1.138484177766469
exp,Meropenem-treated vs untreated (averaged),drug_avg,1.1927219780894125
exp,Meropenem-treated vs untreated (averaged),ND_avg,1.0745169734935214
