strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
AB42,stat,501,0.998955,256.5,344.5,-0.4255451570972374,No substantial change
AB42,stat,1501,0.999477,225.5,327.5,-0.5383674731694317,No substantial change
AB42,stat,2501,1,238,301.5,-0.34119642859214133,No substantial change
AB42,stat,3501,-0.999522,195,284,-0.5424168057550715,No substantial change
AB42,stat,4501,-0.999044,196.5,274,-0.4796465807019203,No substantial change
AB42,stat,5501,-0.998565,181,260.5,-0.5252936751953029,No substantial change
AB42,stat,6501,-0.998087,210.5,315,-0.5815315953208828,No substantial change
AB42,stat,7501,-0.997609,253,388.5,-0.6187772137134,No substantial change
AB42,stat,8501,-0.997131,222.5,376.5,-0.758844528818168,No substantial change
AB42,stat,9501,-0.996652,274,449.5,-0.7141452225539207,No substantial change
AB42,stat,10501,-0.996174,262,415.5,-0.6652816652328942,No substantial change
AB42,stat,11501,-0.995696,246,399.5,-0.6995371875887371,No substantial change
AB42,stat,12501,-0.995218,227.5,423,-0.894791118033891,No substantial change
AB42,stat,13501,-0.994739,198.5,418,-1.074363934937925,Depleted in Meropenem
AB42,stat,14501,-0.994261,250.5,422,-0.7524323955119766,No substantial change
AB42,stat,15501,-0.993783,286.5,471,-0.7171919208558784,No substantial change
AB42,stat,16501,-0.993305,261.5,409,-0.6452898966948074,No substantial change
AB42,stat,17501,-0.992826,307.5,482,-0.6484467360033594,No substantial change
AB42,stat,18501,-0.992348,395.5,601,-0.6036872962383937,No substantial change
AB42,stat,19501,-0.99187,276.5,447,-0.6929953509486106,No substantial change
AB42,stat,20501,-0.991392,297.5,497,-0.7403561833669804,No substantial change
AB42,stat,21501,-0.990913,249,432,-0.7948855700953877,No substantial change
AB42,stat,22501,-0.990435,245.5,438.5,-0.8368538181300401,No substantial change
AB42,stat,23501,-0.989957,285.5,481.5,-0.7540450524806165,No substantial change
AB42,stat,24501,-0.989479,215,444.5,-1.0478467592403098,Depleted in Meropenem
AB42,stat,25501,-0.989,188.5,388.5,-1.0433500751390459,Depleted in Meropenem
AB42,stat,26501,-0.988522,219,403,-0.8798489689267939,No substantial change
AB42,stat,27501,-0.988044,194.5,361.5,-0.894225491964926,No substantial change
AB42,stat,28501,-0.987566,199.5,370,-0.8911365242939663,No substantial change
AB42,stat,29501,-0.987088,154.5,357,-1.208317236124725,Depleted in Meropenem
AB42,stat,30501,-0.986609,181.5,380.5,-1.0679269055077947,Depleted in Meropenem
AB42,stat,31501,-0.986131,221.5,438,-0.9836241710461552,No substantial change
AB42,stat,32501,-0.985653,192,366,-0.9307373375628862,No substantial change
AB42,stat,33501,-0.985175,244.5,485.5,-0.9896368304669586,No substantial change
AB42,stat,34501,-0.984696,315,582.5,-0.8869062211543637,No substantial change
AB42,stat,35501,-0.984218,216.5,451,-1.0587604085286562,Depleted in Meropenem
AB42,stat,36501,-0.98374,205.5,414,-1.0104923738176423,Depleted in Meropenem
AB42,stat,37501,-0.983262,284.5,569.5,-1.00126718940153,Depleted in Meropenem
AB42,stat,38501,-0.982783,327.5,510,-0.6390023404340452,No substantial change
AB42,stat,39501,-0.982305,184.5,339.5,-0.8797907581843358,No substantial change
AB42,stat,40501,-0.981827,179,302,-0.7545889620608224,No substantial change
AB42,stat,41501,-0.981349,165.5,313,-0.9193314401254006,No substantial change
AB42,stat,42501,-0.98087,165,305.5,-0.8887063555729136,No substantial change
AB42,stat,43501,-0.980392,173.5,313.5,-0.8535297802237781,No substantial change
AB42,stat,44501,-0.979914,213,376.5,-0.8217964344460897,No substantial change
AB42,stat,45501,-0.979436,208,362.5,-0.8013974667612047,No substantial change
AB42,stat,46501,-0.978957,203,283.5,-0.48186900775705266,No substantial change
AB42,stat,47501,-0.978479,192,307.5,-0.6794800995054461,No substantial change
AB42,stat,48501,-0.978001,200.5,365,-0.8642942273124592,No substantial change
AB42,stat,49501,-0.977523,268.5,444,-0.7256375883646934,No substantial change
AB42,stat,50501,-0.977044,226.5,383,-0.757833341878722,No substantial change
AB42,stat,51501,-0.976566,245,399.5,-0.7054137539254063,No substantial change
AB42,stat,52501,-0.976088,231.5,368,-0.6686935727967765,No substantial change
AB42,stat,53501,-0.97561,262.5,386,-0.5562834247145955,No substantial change
AB42,stat,54501,-0.975132,263,366.5,-0.4787503988415096,No substantial change
AB42,stat,55501,-0.974653,287.5,399.5,-0.47463354709623917,No substantial change
AB42,stat,56501,-0.974175,315.5,480,-0.6053944006259694,No substantial change
AB42,stat,57501,-0.973697,290,428.5,-0.5632423040975655,No substantial change
AB42,stat,58501,-0.973219,289,424.5,-0.5546950610523598,No substantial change
AB42,stat,59501,-0.97274,335,438.5,-0.38841574709959825,No substantial change
AB42,stat,60501,-0.972262,319,403,-0.3372234147630979,No substantial change
AB42,stat,61501,-0.971784,377.5,458,-0.2788709538845028,No substantial change
AB42,stat,62501,-0.971306,284,359.5,-0.34010084093461573,No substantial change
AB42,stat,63501,-0.970827,315,421,-0.41846840467911717,No substantial change
AB42,stat,64501,-0.970349,284.5,397.5,-0.4825262078651359,No substantial change
AB42,stat,65501,-0.969871,233.5,347,-0.571513112868599,No substantial change
AB42,stat,66501,-0.969393,279.5,429,-0.6181293646563556,No substantial change
AB42,stat,67501,-0.968914,253.5,482,-0.927047399226621,No substantial change
AB42,stat,68501,-0.968436,299.5,469,-0.6470319197265908,No substantial change
AB42,stat,69501,-0.967958,227,387,-0.7696412688534954,No substantial change
AB42,stat,70501,-0.96748,232.5,364,-0.6467077342033026,No substantial change
AB42,stat,71501,-0.967001,198.5,310.5,-0.6454542610775237,No substantial change
AB42,stat,72501,-0.966523,258.5,317,-0.2943185598244726,No substantial change
AB42,stat,73501,-0.966045,265,383,-0.5313520324743956,No substantial change
AB42,stat,74501,-0.965567,365.5,462.5,-0.3395819594512371,No substantial change
AB42,stat,75501,-0.965088,296,398,-0.42717125491469904,No substantial change
AB42,stat,76501,-0.96461,342.5,546,-0.6727969630719633,No substantial change
AB42,stat,77501,-0.964132,283.5,483.5,-0.7701671545346124,No substantial change
AB42,stat,78501,-0.963654,365.5,566,-0.6309306468794449,No substantial change
AB42,stat,79501,-0.963176,491.5,699.5,-0.5091326408241726,No substantial change
AB42,stat,80501,-0.962697,277.5,449,-0.6942276735036786,No substantial change
AB42,stat,81501,-0.962219,305.5,495,-0.6962561451482425,No substantial change
AB42,stat,82501,-0.961741,238.5,378,-0.6643969682155612,No substantial change
AB42,stat,83501,-0.961263,290,479.5,-0.7254779150031962,No substantial change
AB42,stat,84501,-0.960784,273.5,426.5,-0.6410049085257338,No substantial change
AB42,stat,85501,-0.960306,258.5,417.5,-0.6916119170464798,No substantial change
AB42,stat,86501,-0.959828,246.5,400.5,-0.7002145960307987,No substantial change
AB42,stat,87501,-0.95935,209,397,-0.9256360650620749,No substantial change
AB42,stat,88501,-0.958871,243.5,443,-0.8633849264726761,No substantial change
AB42,stat,89501,-0.958393,266,408,-0.617142906470306,No substantial change
AB42,stat,90501,-0.957915,336.5,525.5,-0.6430842593518612,No substantial change
AB42,stat,91501,-0.957437,286,556,-0.9590697359451179,No substantial change
AB42,stat,92501,-0.956958,269.5,479.5,-0.8312455422656254,No substantial change
AB42,stat,93501,-0.95648,240,482,-1.005998740621443,Depleted in Meropenem
AB42,stat,94501,-0.956002,183.5,369,-1.0078407532171834,Depleted in Meropenem
AB42,stat,95501,-0.955524,228.5,391,-0.7749744422492826,No substantial change
AB42,stat,96501,-0.955045,296.5,457.5,-0.6257396386254012,No substantial change
AB42,stat,97501,-0.954567,250.5,404,-0.6895446895565863,No substantial change
AB42,stat,98501,-0.954089,314,506.5,-0.6897977099095111,No substantial change
AB42,stat,99501,-0.953611,230,371.5,-0.6917283495942209,No substantial change
AB42,stat,100501,-0.953132,240,382,-0.6705382324272302,No substantial change
AB42,stat,101501,-0.952654,323,496.5,-0.6202595528344491,No substantial change
AB42,stat,102501,-0.952176,367.5,498.5,-0.43984925467446906,No substantial change
AB42,stat,103501,-0.951698,301,431.5,-0.5195970724192529,No substantial change
AB42,stat,104501,-0.95122,332.5,454.5,-0.4509259538055551,No substantial change
AB42,stat,105501,-0.950741,331.5,442.5,-0.41666858485777214,No substantial change
AB42,stat,106501,-0.950263,344.5,458,-0.4108436153926527,No substantial change
AB42,stat,107501,-0.949785,391.5,537,-0.4559097806943719,No substantial change
AB42,stat,108501,-0.949307,285.5,441,-0.6272879101946778,No substantial change
AB42,stat,109501,-0.948828,360.5,430.5,-0.2560139781560215,No substantial change
