strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
AB42,stat,501,0.998955,256.5,344.5,-0.4255451570972374,0.4650703323694244,0.6578959438247323,0.6666666666666666,Not significant
AB42,stat,1501,0.999477,225.5,327.5,-0.5383674731694317,0.4797020014598917,0.6627888574780959,0.6666666666666666,Not significant
AB42,stat,2501,1,238,301.5,-0.34119642859214133,0.6786350133257739,0.7980288398184127,1,Not significant
AB42,stat,3501,-0.999522,195,284,-0.5424168057550715,0.5321319582338405,0.6930970595134713,0.6666666666666666,Not significant
AB42,stat,4501,-0.999044,196.5,274,-0.4796465807019203,0.5769341531799326,0.7235429546393797,1,Not significant
AB42,stat,5501,-0.998565,181,260.5,-0.5252936751953029,0.40171847561076984,0.6292513764095771,0.6666666666666666,Not significant
AB42,stat,6501,-0.998087,210.5,315,-0.5815315953208828,0.4072336378182744,0.6310907356857671,0.3333333333333333,Not significant
AB42,stat,7501,-0.997609,253,388.5,-0.6187772137134,0.41538117577150746,0.6336813455058024,0.3333333333333333,Not significant
AB42,stat,8501,-0.997131,222.5,376.5,-0.758844528818168,0.3380015914720033,0.6121850216008876,0.3333333333333333,Not significant
AB42,stat,9501,-0.996652,274,449.5,-0.7141452225539207,0.3064577982021537,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,10501,-0.996174,262,415.5,-0.6652816652328942,0.25849632178358567,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,11501,-0.995696,246,399.5,-0.6995371875887371,0.2849629867839116,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,12501,-0.995218,227.5,423,-0.894791118033891,0.07097854755163786,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,13501,-0.994739,198.5,418,-1.074363934937925,0.04996241313537495,0.6116357597452545,0.3333333333333333,Down (Meropenem-depleted)
AB42,stat,14501,-0.994261,250.5,422,-0.7524323955119766,0.1350052512522985,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,15501,-0.993783,286.5,471,-0.7171919208558784,0.12693218778418838,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,16501,-0.993305,261.5,409,-0.6452898966948074,0.2729581379676788,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,17501,-0.992826,307.5,482,-0.6484467360033594,0.30164281856021113,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,18501,-0.992348,395.5,601,-0.6036872962383937,0.38763468278284396,0.6233605509795949,0.3333333333333333,Not significant
AB42,stat,19501,-0.99187,276.5,447,-0.6929953509486106,0.3675960051250442,0.6148336854656107,0.3333333333333333,Not significant
AB42,stat,20501,-0.991392,297.5,497,-0.7403561833669804,0.3508597030595626,0.6137953835010413,0.3333333333333333,Not significant
AB42,stat,21501,-0.990913,249,432,-0.7948855700953877,0.21595293233098903,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,22501,-0.990435,245.5,438.5,-0.8368538181300401,0.30116795587461653,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,23501,-0.989957,285.5,481.5,-0.7540450524806165,0.31787369495915035,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,24501,-0.989479,215,444.5,-1.0478467592403098,0.1943240178889835,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,25501,-0.989,188.5,388.5,-1.0433500751390459,0.13382440481012414,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,26501,-0.988522,219,403,-0.8798489689267939,0.2401231778336795,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,27501,-0.988044,194.5,361.5,-0.894225491964926,0.2152443107508014,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,28501,-0.987566,199.5,370,-0.8911365242939663,0.24302397273225662,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,29501,-0.987088,154.5,357,-1.208317236124725,0.1286894212466283,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,30501,-0.986609,181.5,380.5,-1.0679269055077947,0.1491733665454841,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,31501,-0.986131,221.5,438,-0.9836241710461552,0.15181805307680116,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,32501,-0.985653,192,366,-0.9307373375628862,0.17366913807248976,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,33501,-0.985175,244.5,485.5,-0.9896368304669586,0.23173548936643482,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,34501,-0.984696,315,582.5,-0.8869062211543637,0.23499295860806932,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,35501,-0.984218,216.5,451,-1.0587604085286562,0.20854225264599865,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,36501,-0.98374,205.5,414,-1.0104923738176423,0.22290376574538523,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,37501,-0.983262,284.5,569.5,-1.00126718940153,0.26221106572483094,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,38501,-0.982783,327.5,510,-0.6390023404340452,0.4366850198103041,0.6444514909762633,0.3333333333333333,Not significant
AB42,stat,39501,-0.982305,184.5,339.5,-0.8797907581843358,0.2709655726901439,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,40501,-0.981827,179,302,-0.7545889620608224,0.38614213288358723,0.6233605509795949,0.3333333333333333,Not significant
AB42,stat,41501,-0.981349,165.5,313,-0.9193314401254006,0.2719432326497327,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,42501,-0.98087,165,305.5,-0.8887063555729136,0.3226075916060197,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,43501,-0.980392,173.5,313.5,-0.8535297802237781,0.26630237790855193,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,44501,-0.979914,213,376.5,-0.8217964344460897,0.3340756239532412,0.6121850216008876,0.3333333333333333,Not significant
AB42,stat,45501,-0.979436,208,362.5,-0.8013974667612047,0.3652805767333388,0.6148336854656107,0.3333333333333333,Not significant
AB42,stat,46501,-0.978957,203,283.5,-0.48186900775705266,0.5909237419756026,0.7332068989371902,1,Not significant
AB42,stat,47501,-0.978479,192,307.5,-0.6794800995054461,0.41795144839998233,0.6338930300733066,0.3333333333333333,Not significant
AB42,stat,48501,-0.978001,200.5,365,-0.8642942273124592,0.2121278527792267,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,49501,-0.977523,268.5,444,-0.7256375883646934,0.3506843851193781,0.6137953835010413,0.3333333333333333,Not significant
AB42,stat,50501,-0.977044,226.5,383,-0.757833341878722,0.29705273558177986,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,51501,-0.976566,245,399.5,-0.7054137539254063,0.3056951363878922,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,52501,-0.976088,231.5,368,-0.6686935727967765,0.15024406870066218,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,53501,-0.97561,262.5,386,-0.5562834247145955,0.2784570862688404,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,54501,-0.975132,263,366.5,-0.4787503988415096,0.33181239624979797,0.6118541356940291,0.3333333333333333,Not significant
AB42,stat,55501,-0.974653,287.5,399.5,-0.47463354709623917,0.10947727238501291,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,56501,-0.974175,315.5,480,-0.6053944006259694,0.05192448305692234,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,57501,-0.973697,290,428.5,-0.5632423040975655,0.06571309449205533,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,58501,-0.973219,289,424.5,-0.5546950610523598,0.04631036381626691,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,59501,-0.97274,335,438.5,-0.38841574709959825,0.3294871666365742,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,60501,-0.972262,319,403,-0.3372234147630979,0.4588948266229525,0.6541170828758639,0.3333333333333333,Not significant
AB42,stat,61501,-0.971784,377.5,458,-0.2788709538845028,0.5562549727360584,0.7086366245100788,1,Not significant
AB42,stat,62501,-0.971306,284,359.5,-0.34010084093461573,0.23959216102268674,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,63501,-0.970827,315,421,-0.41846840467911717,0.043148356211173494,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,64501,-0.970349,284.5,397.5,-0.4825262078651359,0.1922127320469481,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,65501,-0.969871,233.5,347,-0.571513112868599,0.15231369700977965,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,66501,-0.969393,279.5,429,-0.6181293646563556,0.16289494288125778,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,67501,-0.968914,253.5,482,-0.927047399226621,0.13092121519780348,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,68501,-0.968436,299.5,469,-0.6470319197265908,0.3542576183251275,0.6137953835010413,0.3333333333333333,Not significant
AB42,stat,69501,-0.967958,227,387,-0.7696412688534954,0.16841931088482276,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,70501,-0.96748,232.5,364,-0.6467077342033026,0.31913855354814696,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,71501,-0.967001,198.5,310.5,-0.6454542610775237,0.4029472435130034,0.62955118064297,0.41421617824252505,Not significant
AB42,stat,72501,-0.966523,258.5,317,-0.2943185598244726,0.7061639827594218,0.8169548069831624,1,Not significant
AB42,stat,73501,-0.966045,265,383,-0.5313520324743956,0.35748522335774935,0.6137953835010413,0.6666666666666666,Not significant
AB42,stat,74501,-0.965567,365.5,462.5,-0.3395819594512371,0.642637379689529,0.7730964110234094,0.6666666666666666,Not significant
AB42,stat,75501,-0.965088,296,398,-0.42717125491469904,0.48671651021708584,0.666006553736805,0.6666666666666666,Not significant
AB42,stat,76501,-0.96461,342.5,546,-0.6727969630719633,0.19497591909589307,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,77501,-0.964132,283.5,483.5,-0.7701671545346124,0.2698702333828367,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,78501,-0.963654,365.5,566,-0.6309306468794449,0.28439369788648605,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,79501,-0.963176,491.5,699.5,-0.5091326408241726,0.06249959719461313,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,80501,-0.962697,277.5,449,-0.6942276735036786,0.003068683224331262,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,81501,-0.962219,305.5,495,-0.6962561451482425,0.07801468563455162,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,82501,-0.961741,238.5,378,-0.6643969682155612,0.138639251233245,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,83501,-0.961263,290,479.5,-0.7254779150031962,0.14564860884387745,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,84501,-0.960784,273.5,426.5,-0.6410049085257338,0.19288258241885384,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,85501,-0.960306,258.5,417.5,-0.6916119170464798,0.16419327518896332,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,86501,-0.959828,246.5,400.5,-0.7002145960307987,0.24908411009155315,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,87501,-0.95935,209,397,-0.9256360650620749,0.06653451534680037,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,88501,-0.958871,243.5,443,-0.8633849264726761,0.028875778712929786,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,89501,-0.958393,266,408,-0.617142906470306,0.01794001226579505,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,90501,-0.957915,336.5,525.5,-0.6430842593518612,0.15485708836312043,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,91501,-0.957437,286,556,-0.9590697359451179,0.053495715551729224,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,92501,-0.956958,269.5,479.5,-0.8312455422656254,0.05964646666956328,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,93501,-0.95648,240,482,-1.005998740621443,0.03838134248221651,0.6116357597452545,0.3333333333333333,Down (Meropenem-depleted)
AB42,stat,94501,-0.956002,183.5,369,-1.0078407532171834,0.08656527477121223,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,95501,-0.955524,228.5,391,-0.7749744422492826,0.13509813171383248,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,96501,-0.955045,296.5,457.5,-0.6257396386254012,0.1190881135181762,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,97501,-0.954567,250.5,404,-0.6895446895565863,0.19331736368383953,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,98501,-0.954089,314,506.5,-0.6897977099095111,0.22546703814965027,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,99501,-0.953611,230,371.5,-0.6917283495942209,0.05846482649545191,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,100501,-0.953132,240,382,-0.6705382324272302,0.04752934115520038,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,101501,-0.952654,323,496.5,-0.6202595528344491,0.12395386235788401,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,102501,-0.952176,367.5,498.5,-0.43984925467446906,0.028038792707812385,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,103501,-0.951698,301,431.5,-0.5195970724192529,0.29997634160964626,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,104501,-0.95122,332.5,454.5,-0.4509259538055551,0.30149072301540564,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,105501,-0.950741,331.5,442.5,-0.41666858485777214,0.17468323226891677,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,106501,-0.950263,344.5,458,-0.4108436153926527,0.22043591570637905,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,107501,-0.949785,391.5,537,-0.4559097806943719,0.2083447614626644,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,108501,-0.949307,285.5,441,-0.6272879101946778,0.04428602006151577,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,109501,-0.948828,360.5,430.5,-0.2560139781560215,0.10445839951335899,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,110501,-0.94835,411,507.5,-0.30426942839085563,0.08623479892169014,0.6116357597452545,0.3333333333333333,Not significant
AB42,stat,111501,-0.947872,351,429,-0.28950661719498483,0.3441302019676023,0.6137953835010413,0.3333333333333333,Not significant
AB42,stat,112501,-0.947394,297.5,353,-0.24677851507587453,0.3104584241355479,0.6116357597452545,0.3333333333333333,Not significant
